object_id,wordpress_id,title,authors,periods,genres,languages,source_publisher,source_publication_place,source_publication_date,source_identifier,family_key,canonical_status,canonical_object_id,role,role_reason,estimated_characters,estimated_min_tokens,estimated_max_tokens,landing_page_url,xml_url
bibit001301,137454,Orlando Furioso,"Ariosto, Ludovico",500,Poesia,ita,G. Einaudi,Torino,[1966],IT\ICCU\TO0\0036355,ariosto ludovico::orlando furioso,alternate,bibit001135,excluded,alternate edition; retain exactly one canonical record per work,24066,6016,8022,http://www.bibliotecaitaliana.it/scheda/bibit001301,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001301
bibit000553,136036,Orlando Furioso 1516,"Ariosto, Ludovico",500,Poesia,ita,Giovanni Mazzocco dal Bondeno,Ferrara,1516,IT\ICCU\CFIE\001471,ariosto ludovico::orlando furioso,alternate,bibit001135,excluded,alternate edition; retain exactly one canonical record per work,24066,6016,8022,http://www.bibliotecaitaliana.it/scheda/bibit000553,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000553
bibit000319,135592,Orlando Furioso 1521,"Ariosto, Ludovico",500,Poesia,ita,Giouanni Battista da la Pigna,Ferrara,1521,IT\ICCU\CNCE\002542,ariosto ludovico::orlando furioso,alternate,bibit001135,excluded,alternate edition; retain exactly one canonical record per work,24066,6016,8022,http://www.bibliotecaitaliana.it/scheda/bibit000319,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000319
bibit000033,135030,Sonetti,"Belli, Giuseppe Gioachino",800,Poesia,ita,A. Mondadori,Milano,1952,IT\ICCU\RAV\0077472,belli giuseppe gioachino::sonetti,selected,bibit000033,excluded,dialect-heavy source; keep outside the standard-Italian core,79778,19944,26593,http://www.bibliotecaitaliana.it/scheda/bibit000033,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000033
bibit000153,135266,Pisa illustrata nelle arti del disegno,"Da Morrona, Alessandro",700,Trattati,ita,presso Giovanni Marenigh,Livorno,1812,IT\ICCU\VEAE\005950,da morrona alessandro::pisa illustrata nelle arti del disegno,alternate,bibit000155,excluded,alternate edition; retain exactly one canonical record per work,445095,111273,148365,http://www.bibliotecaitaliana.it/scheda/bibit000153,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000153
bibit000484,135904,I promessi sposi [redazione 1827],"Manzoni, Alessandro",800,Narrativa,ita,Mondadori,Milano,2002,IT\ICCU\VEA\0135083,manzoni alessandro::promessi sposi,alternate,bibit000666,excluded,alternate edition; retain exactly one canonical record per work,495550,123887,165184,http://www.bibliotecaitaliana.it/scheda/bibit000484,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000484
bibit001179,137228,Antichi testi siciliani in volgare,Non definito,400,Documenti,ita,Pacini,Pisa,1953,IT\ICCU\MIL\0054482,non definito::antichi testi siciliani in volgare,selected,bibit001179,excluded,dialect-heavy source; keep outside the standard-Italian core,26718,6679,8906,http://www.bibliotecaitaliana.it/scheda/bibit001179,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001179
bibit000976,136844,Esopo veneto,Non definito,300,Narrativa,ita,Antenore,Padova,1992,IT\ICCU\CFI\0211631,non definito::esopo veneto,selected,bibit000976,excluded,dialect-heavy source; keep outside the standard-Italian core,519826,129956,173276,http://www.bibliotecaitaliana.it/scheda/bibit000976,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000976
bibit000964,136820,I Brevi del Comune e del popolo di Pisa dell'anno 1287,Non definito,200,Documenti,ita,nella sede dell'Istituto,Roma,1998,IT\ICCU\RMR\0015591,non definito::i brevi del comune e del popolo di pisa dell anno 1287,selected,bibit000964,excluded,rendered catalog sample contains no primary text,157674,39418,52558,http://www.bibliotecaitaliana.it/scheda/bibit000964,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000964
bibit000362,135670,Il Libro di messer Tristano (Tristano Veneto),Non definito,300,Narrativa,ita,Marsilio,Venezia,1994,IT\ICCU\BVE\0054402,non definito::il libro di messer tristano tristano veneto,selected,bibit000362,excluded,dialect-heavy source; keep outside the standard-Italian core,1370754,342688,456918,http://www.bibliotecaitaliana.it/scheda/bibit000362,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000362
