object_id,title,authors,assigned_role,audited_route,source_audit_status,source_audit_flags,decision,final_role,cleaning_policy,included_characters,duplicate_of_object_id,reason,landing_page_url,tei_sha256
bibit001546,Della dissimulazione onesta,"Accetto, Torquato",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,46455,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001546,5752ca480557aff28b76ff70dd12eccd98dc0b9e457119152857a6381caea4b9
bibit000001,Tragedia di Antigone,"Alamanni, Luigi",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,64483,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000001,f8abb8a372e3a485d9dcfeb8c2a15953869bdf6b437a43e323ea2408d2df1453
bibit000003,Cena familiaris,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,24016,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000003,6ab5f9431bdfa176b89c37cd73cb2cd56ee9491bd062303136c4ba53f2ff5400
bibit001200,De amore,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,35038,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001200,6b18e53bbf042031daf9b59e9ac3e95bf15591aefa6913dd55b73583c708d562
bibit000004,De commodis litterarum atque incommodis,"Alberti, Leon Battista",historical_general,historical_general,review_required,review_non_italian_language,exclude_non_italian,excluded,preserve_rendered_tei_text,0,,TEI language metadata identifies a non-Italian work,http://www.bibliotecaitaliana.it/scheda/bibit000004,cacae9fbb52e277caa0cc42f4ff7799a07e5d9455b973d99e95ad4128e5420f9
bibit001255,De iciarchia,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,219761,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001255,bbf6d7e340322481000d94219c78ae349016250d161d635745e306280482281d
bibit000882,De iure,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,27387,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000882,59fb67da9a209a110be412b87d157cb1a56e6993b6599e4a2df06f1f55f802ae
bibit000005,De pictura [Redazione volgare],"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,96849,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000005,2c4a74bc837ad3f50c61696f6a497e3dd9b3a6b76e36b1d1ca29825e1ba43242
bibit000625,Deifira,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,45443,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000625,73f901280fca6840518ab4919bc99cbb34a9858e6025f3e9ec12807b7707ba11
bibit001155,Ecatonfilea,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,48903,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001155,29517819a18cb73c2b2d5ed68411487d20b426e4d9698af420ec2e4fb7397bf9
bibit000006,Epistola consolatoria,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,14317,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000006,29ae77318ae014c57b8e19f70225e1557d9cf3165030af6970b196a99428fd65
bibit000010,I libri della famiglia,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,702142,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000010,fdabe612e8d2198f06a7c5d5d9e61ef730b19512e225b78850b00690aa888490
bibit000854,Istorietta amorosa fra Leonora de' Bardi e Ippolito Bondelmonti,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,29082,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000854,3cf7230173723485ec3f534904433e4b51ddec769a3335c8d3a64d379de22f27
bibit000008,Naufragus,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,15412,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000008,287b1b9dcae0e36ead9b8b3f4a213725217f7e983ab76b9ca1b7307c69094b7d
bibit000368,Proemio al libro III dei Libri della famiglia,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,6508,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000368,e4348d044efef2c591a7458cddead6a5d3093e5be16e934ca1e645384cb17945
bibit000536,Profugiorum ab aerumna libri III,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,167869,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000536,6bc106eaafc5e789fa4ef432081800c68ba1038e5d6036a633d07bd81f7812db
bibit000703,Protesta,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,12106,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000703,333286a96390f882d5e85bed3a0b62bc00133ac06c4acd57ed6de0a31c73442d
bibit000009,Sentenze pitagoriche,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,3080,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000009,eefd6bf189ebef9b6f5a17e3b241668a165853d86bba2384e921617883a042ee
bibit000848,Sofrona,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,9975,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000848,c12101fb7a13d1d952500c61ebea2ccbdf9fdffd75aa7a2e4c9e8a49ada6e298
bibit000517,Theogenius,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,110225,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000517,f81c7f392feb4105f569035ff1d492abf9d020fb40f2bcc7423dcb0bcb409ad0
bibit000512,Uxoria,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,29271,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000512,78679727b5451a7034ceb19055c5a28465e311ecc64a5052bbf8af81b5194e73
bibit001441,Villa,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,9168,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001441,c3803ecfa07fbfb820cc997be4ddc9b4ba770e1b1425dbf8d3f9baf7425e3116
bibit000200,Volgarizzamento della Dissuasio Valerii,"Alberti, Leon Battista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,12143,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000200,1163a4a131c188e4e35b4b199bf1c6c717f2b5996168e57baa847ca0f3bbc697
bibit000017,Agamennone,"Alfieri, Vittorio",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,59371,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000017,3ae22e8da6910b81767b58fb9705ce7d1c62ca0ba461a0b703da7a0535ae16a2
bibit000013,Antigone,"Alfieri, Vittorio",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,56595,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000013,78ce4703e1cbe47cca6f3e47bba5842bc45b7e01ad7382a326f84c4d066269f3
bibit000015,Bruto primo,"Alfieri, Vittorio",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,58094,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000015,158f700844f5062473c25582ab9beec624db9848daf2fc307328360ff2e3cb05
bibit000016,Bruto secondo,"Alfieri, Vittorio",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,61593,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000016,c097f538b34f3c6dcc204db8413760be99683a29445692f5aebac1c4443f3afd
bibit001543,Della tirannide,"Alfieri, Vittorio",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,200153,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001543,74baee3d5aa7903a414e6db5bd5f125bbf6eba85d6bb581393529631da38065a
