object_id,title,authors,periods,genres,assigned_role,route,audit_status,audit_flags,duplicate_of_object_id,cache_status,tei_sha256,body_characters,candidate_safe_characters,routed_training_characters,residual_characters,non_sonnet_verse_characters,explicit_sonnet_count,structural_14_line_candidate_count,structural_sonnet_variant_count,eligible_new_sonnet_count,held_out_text_hits,bracketed_text_markers,editorial_reference_markers,digital_title,digital_authors,source_titles,source_editors,source_publisher,source_publication_place,source_publication_date,source_identifier,availability,tei_languages,tei_genres,revision_count,landing_page_url,xml_url,error
bibit001546,Della dissimulazione onesta,"Accetto, Torquato",600,Trattati,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,5752ca480557aff28b76ff70dd12eccd98dc0b9e457119152857a6381caea4b9,46455,46455,46455,43058,3397,0,0,0,0,,0,0,Della dissimulazione onesta,Torquato Accetto,Della dissimulazione onesta,"Nigro, Salvatore Silvano;Manganelli, Giorgio",Costa e Nolan,Genova,1990,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino;Greco,858.5 - Scritti miscellanei italiani. 1585-1748.;Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit001546,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001546,
bibit000001,Tragedia di Antigone,"Alamanni, Luigi",500,Letteratura teatrale,historical_general,historical_general,activation_candidate,,,hit,f8abb8a372e3a485d9dcfeb8c2a15953869bdf6b437a43e323ea2408d2df1453,64483,64483,64483,64483,0,0,0,0,0,,0,0,Tragedia di Antigone,Luigi Alamanni,Tragedia di Antigone,,Res,[San Mauro Torinese],1997,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,852.3 - Letteratura drammatica italiana. 1492-1542.;Letteratura teatrale,4,http://www.bibliotecaitaliana.it/scheda/bibit000001,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000001,
bibit000003,Cena familiaris,"Alberti, Leon Battista",400,Trattati,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,6ab5f9431bdfa176b89c37cd73cb2cd56ee9491bd062303136c4ba53f2ff5400,24016,24016,24016,24016,0,0,0,0,0,,1,0,Cena familiaris,Leon Battista Alberti,Opere volgari;I libri della famiglia ; Cena familiaris ; Villa,"Grayson, Cecil",Laterza,Bari,1960,,"Questa risorsa digitale è liberamente accessibile per uso personale o scientifico. Ogni uso commerciale è
 vietato",Italiano;Latino,Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit000003,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000003,
bibit001200,De amore,"Alberti, Leon Battista",400,Trattati,historical_general,historical_general,activation_candidate,,,hit,6b18e53bbf042031daf9b59e9ac3e95bf15591aefa6913dd55b73583c708d562,35038,35038,35038,35038,0,0,0,0,0,,0,0,De amore,Leon Battista Alberti,Opere volgari;Trattati d'arte ; Ludi rerum mathematicarum ; Grammatica della lingua toscana ; Opuscoli amatori ; Lettere,"Grayson, Cecil",Laterza,Bari,1973,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,858 - Scritti miscellanei italiani;Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit001200,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001200,
bibit000004,De commodis litterarum atque incommodis,"Alberti, Leon Battista",400,Trattati,historical_general,historical_general,review_required,review_non_italian_language,,hit,cacae9fbb52e277caa0cc42f4ff7799a07e5d9455b973d99e95ad4128e5420f9,98718,98718,98718,98718,0,0,0,0,0,,0,0,De commodis litterarum atque incommodis,Leon Battista Alberti,De commodis litterarum atque incommodis,"Goggi Carotti, Laura",L. S. Olschki,Firenze,1976,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Latino,Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit000004,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000004,
bibit001255,De iciarchia,"Alberti, Leon Battista",400,Trattati,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,bbf6d7e340322481000d94219c78ae349016250d161d635745e306280482281d,219761,219761,219761,219761,0,0,0,0,0,,0,0,De iciarchia,Leon Battista Alberti,Opere volgari;Rime e trattati morali,"Grayson, Cecil",Laterza,Bari,1966,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit001255,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001255,
bibit000882,De iure,"Alberti, Leon Battista",400,Trattati,historical_general,historical_general,activation_candidate,,,hit,59fb67da9a209a110be412b87d157cb1a56e6993b6599e4a2df06f1f55f802ae,27387,27387,27387,27387,0,0,0,0,0,,0,0,De iure,Leon Battista Alberti,Tradizione classica e letteratura umanistica : per Alessandro Perosa,"Cardini , Roberto",Bulzoni,Roma,1985,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,870.9004 - LETTERATURE ITALICHE LETTERATURA LATINA. 1350-;Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit000882,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000882,
bibit000005,De pictura [Redazione volgare],"Alberti, Leon Battista",400,Trattati,historical_general,historical_general,activation_candidate,,,hit,2c4a74bc837ad3f50c61696f6a497e3dd9b3a6b76e36b1d1ca29825e1ba43242,96849,96849,96849,96849,0,0,0,0,0,,0,0,De pictura [Redazione volgare],Leon Battista Alberti,Opere volgari;Trattati d'arte ; Ludi rerum mathematicarum ; Grammatica della lingua toscana ; Opuscoli amatori ; Lettere,"Grayson, Cecil",Laterza,Bari,1973,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit000005,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000005,
bibit000625,Deifira,"Alberti, Leon Battista",400,Narrativa,historical_general,historical_general,activation_candidate,,,hit,73f901280fca6840518ab4919bc99cbb34a9858e6025f3e9ec12807b7707ba11,45443,45443,45443,45443,0,0,0,0,0,,0,0,Deifira,Leon Battista Alberti,Opere volgari;Ludi rerum mathematicarum ; Grammatica della lingua toscana ; Opuscoli amatori ; Lettere,"Grayson, Cecil",Laterza,Bari,1973,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Narrativa,4,http://www.bibliotecaitaliana.it/scheda/bibit000625,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000625,
bibit001155,Ecatonfilea,"Alberti, Leon Battista",400,Narrativa,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,29517819a18cb73c2b2d5ed68411487d20b426e4d9698af420ec2e4fb7397bf9,48903,48903,48903,48903,0,0,0,0,0,,0,0,Ecatonfilea,Leon Battista Alberti,"Opere volgari;Trattati d'arte, Ludi rerum mathematicarum, Grammatica della lingua toscana, Opuscoli amatori, Lettere","Grayson, Cecil",Laterza,Bari,1973,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Narrativa,4,http://www.bibliotecaitaliana.it/scheda/bibit001155,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001155,
