evidence_id,candidate_id,evidence_type,authority,source_url,resolved_url,retrieval_date,http_status,content_type,content_sha256,evidence_quote,supports_decision,limitation,verification_status
github_embedding_repo,github_word_embedding_literature,repository_scope_and_access,official_first_party,https://api.github.com/repos/giocoal/word-embedding-italian-literature,https://api.github.com/repos/giocoal/word-embedding-italian-literature,2026-08-11,200,application/json,71a76d3d7a207e8da2621e960efa658568e1955d6df4341455cbdc84df289578,The repository publishes analysis/code under MIT but no primary corpus payload.,Documents a corpus-discovery lead found by the GitHub query.,A code license does not license uncommitted source texts.,content_needles_verified
ilc_alfieri,ilc_cnr_alfieri,item_access_and_overlap,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/8ed4e1fd-05b1-4fb5-b836-0f865a5794f6,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/8ed4e1fd-05b1-4fb5-b836-0f865a5794f6,2026-08-11,200,application/hal+json,4f3966e4bfe9b972a43539027119aa186168f045647dce071177633bef5e3afe,The Alfieri service lists 19 tragedies but publishes no downloadable files and overlaps Biblioteca Italiana lineage.,Documents a named historical lead and its concrete access/overlap blockers.,A service page is not a reusable bulk primary-text archive.,content_needles_verified
ilc_bellini,ilc_cnr_bellini,item_scope_terms_and_access,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/2e6fe73a-db5c-48aa-ad0a-dcaecc0baddb,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/2e6fe73a-db5c-48aa-ad0a-dcaecc0baddb,2026-08-11,200,application/hal+json,7a91f2d739b7fd87183c157ec7593ac2f3bb1106fd2ab5370c159c58784f6f91,Bellini Digital Correspondence exposes 40 Italian letters as TEI XML under CC BY-NC 4.0.,Establishes compatible terms and an underrepresented epistolary register.,Forty letters do not pass the approved work threshold and cleaned characters are unmeasured.,content_needles_verified
ilc_bellini_bitstream,ilc_cnr_bellini,bitstream_format_and_size,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/bitstreams/ca4201ea-d874-4169-983e-9e3e0feeac1c,https://dspace-clarin-it.ilc.cnr.it/server/api/core/bitstreams/ca4201ea-d874-4169-983e-9e3e0feeac1c,2026-08-11,200,application/hal+json,461249b1522311ae3e70522bbe2fbf32be9f88a5ab2741580f0592faf0e00aaa,"The downloadable Bellini correspondence TEI ZIP is 407,671 bytes.",Pins the machine-readable format and compressed byte size.,Compressed bytes do not establish cleaned primary-text characters.,content_needles_verified
ilc_bruno,ilc_cnr_bruno,item_access_and_overlap,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/9a62878c-a2f9-4544-b513-381094c825f7,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/9a62878c-a2f9-4544-b513-381094c825f7,2026-08-11,200,application/hal+json,dc45fb53dd098a85bb56a229ab3b0fcdba39b39c8321fef4bcc33baa5f13bee0,"The Giordano Bruno corpus advertises 334,854 tokens but publishes no downloadable files and overlaps canonical editions already inventoried.",Documents material scale but no reusable bulk-access route.,The repository record states no item content license and exposes no files.,content_needles_verified
ilc_libretti,ilc_cnr_opera_libretti,item_scope_terms_and_access,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/5c8f43f9-d039-4475-b930-fa13d35b583c,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/5c8f43f9-d039-4475-b930-fa13d35b583c,2026-08-11,200,application/hal+json,c65c1516c21f9dcc7b40870dc0c49b8d57ed4de0b1d81f02c20338c6161d5fc3,The CC BY 4.0 digital edition contains 56 Italian opera libretti from 1636-1705 in one downloadable XML resource.,"Establishes a core-compatible, underrepresented historical verse/drama candidate.",XML size includes markup; cleaned primary characters and sonnet boundaries remain unmeasured.,content_needles_verified
ilc_libretti_bitstream,ilc_cnr_opera_libretti,bitstream_format_and_size,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/bitstreams/0422a142-25b6-4bf8-af9b-8ad17f18b31f,https://dspace-clarin-it.ilc.cnr.it/server/api/core/bitstreams/0422a142-25b6-4bf8-af9b-8ad17f18b31f,2026-08-11,200,application/hal+json,a3611616497ec6c55ca223ea195728fd5250e6477d492790c79cc05e7333d3e2,"The downloadable libretti XML bitstream is 2,737,739 bytes.",Pins the machine-readable format and byte-scale materiality evidence.,XML bytes include TEI markup and are not cleaned primary-text characters.,content_needles_verified
ilc_pelavicino,ilc_cnr_codice_pelavicino,item_scope_terms_and_access,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/776f944f-c44b-4230-9960-f13a861593da,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/776f944f-c44b-4230-9960-f13a861593da,2026-08-11,200,application/hal+json,4ec6c2ae63a200c167929e0954da8ad74c69a9b6da4e54412d61a010af006850,Codice Pelavicino provides 536 CC BY 4.0 XML files spanning the tenth-thirteenth centuries in Italian and Latin.,Establishes material scale for a separately conditioned medieval-document experiment.,The source is mixed Italian/Latin and cannot enter the standard-Italian queue.,content_needles_verified
ilc_rosmini,ilc_cnr_rosmini,item_scope_terms_and_access,official_first_party,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/30dcd581-aa78-4470-9fc9-9f6bd385b97f,https://dspace-clarin-it.ilc.cnr.it/server/api/core/items/30dcd581-aa78-4470-9fc9-9f6bd385b97f,2026-08-11,200,application/hal+json,ee9b8157980bd3b6d36c37885a233c6d624edf62466244945b3f2cf3f1d14075,"Corpus Antonio Rosmini contains 4,311,182 Italian words and is CC BY-NC-SA 4.0 with one downloadable corpus archive.",Passes the broad-text materiality floor and establishes explicit non-commercial terms.,It is a single-author nineteenth-century philosophical corpus with unresolved overlap and concentration.,content_needles_verified
itadracor_readme,itadracor,scope_lineage_and_reuse_notice,official_first_party,https://raw.githubusercontent.com/dracor-org/itadracor/main/README.md,https://raw.githubusercontent.com/dracor-org/itadracor/main/README.md,2026-08-11,200,text/plain,6724865dde286420b791079c9a4e5daf25ba395525cad1534925f07216957549,"ItaDraCor contains 157 Italian plays, mostly retrieved from Biblioteca Italiana, under the source's personal/scientific-use notice.",Establishes measured scope and direct canonical lineage overlap.,No independent corpus-text license or unique-value claim is established.,content_needles_verified
ota_by_nc_sa_item,oxford_text_archive_italian,item_terms_and_access,official_first_party,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0302?show=full,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0302?show=full,2026-08-11,200,text/html,68a466180c911a34419b2c0a7db2087efc548d881cc2962628375f4509decb38,A canonical Italian item is publicly downloadable as text under CC BY-NC-SA 3.0.,Confirms the archive's item-level compatible non-commercial license route.,Canonical works have high BibIt/Gutenberg overlap and require item-level deduplication.,content_needles_verified
ota_cc0_early_modern,oxford_text_archive_italian,item_terms_and_access,official_first_party,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/A14166?show=full,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/A14166?show=full,2026-08-11,200,text/html,8f3daad060054537fbd36cbe5299f1ec0628a1eb6ec229243017872565ab1122,"An early-modern Italian poetry item is public, downloadable as XML, and dedicated under CC0 1.0.",Confirms reusable keyboarded Italian primary text in the early-modern subset.,Page images and supplementary files can retain separate restrictions.,content_needles_verified
postdata_bibit_repo,postdata_biblioteca_italiana,derivative_repository_lineage,official_first_party,https://api.github.com/repos/linhd-postdata/biblioteca_italiana,https://api.github.com/repos/linhd-postdata/biblioteca_italiana,2026-08-11,200,application/json,8bbaf8eee4dd834746929d8c2a6bf60d56b4c368770bfc0f07db4a31355154a1,The POSTDATA repository is explicitly a poetry corpus from Biblioteca Italiana.,Identifies a derivative mirror of an already-complete archive.,Repository/code licensing cannot replace the upstream edition terms.,content_needles_verified
re3data_ilc_cnr,ilc_cnr_repository,repository_scope_and_terms,curated_repository_registry,https://www.re3data.org/api/beta/repository/r3d100012262,https://www.re3data.org/api/beta/repository/r3d100012262,2026-08-11,200,text/xml,cff5db7c9990b52b53a0bb8cd5c8969e69e3141655e6a165257ebd40f045e955,re3data identifies ILC-CNR for CLARIN-IT as an open repository with CC0 repository metadata.,Establishes the independent repository boundary and open metadata layer.,Repository-level CC0 does not replace each deposit's content license.,content_needles_verified
zenodo_eneide,zenodo_eneide,dataset_scope_terms_and_lineage,official_first_party,https://zenodo.org/api/records/17407356,https://zenodo.org/api/records/17407356,2026-08-11,200,application/json,e71b29447f5d466ea34b383005b587b43dbebdd3c29f75aaf710c40d719cadd7,ENEIDE is a CC BY-NC-SA 4.0 NER dataset derived from Zibaldone and Aldo Moro digital editions.,Establishes annotation scope and mixed historical/modern source lineage.,It is not an independent historical primary-text archive and includes post-1900 material.,content_needles_verified
zenodo_htromance,zenodo_htromance,dataset_scope_terms_and_language,official_first_party,https://zenodo.org/api/records/14718897,https://zenodo.org/api/records/14718897,2026-08-11,200,application/json,35f7324e4aeef46d4e199d034685f657ad2eb9b00e21a50e05698022205d17f9,HTRomance is a CC BY 4.0 medieval Italian/Venetian HTR and layout-segmentation ground-truth package.,Identifies a permitted but conditioned HTR dataset.,Primary-text character scale and standard-Italian compatibility are not established.,content_needles_verified
