query_id,surface_id,authority,query_text,endpoint_url,result_boundary,response_format,purpose,retrieval_date,http_status,content_type,content_sha256,result_count,verification_status
clarin_family_01,clarin_resource_family,official_clarin_curated_overview,Italian literary corpora,https://www.clarin.eu/resource-families/literary-corpora,complete curated literary-corpora overview,html,Check CLARIN's curated literary-corpus family for Italian coverage.,2026-08-11,200,text/html,fbd8c6dd2bc09fa8874c6e6da9761f4b1495fe8eeae5aea6509f22027ab77473,0,official_or_curated_metadata_response_verified
clarin_it_01,clarin_it,official_national_clarin_repository,historical Italian,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=historical+Italian&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,85532e8314f6f1fdf85fb1cba56976a7786d2384bab0b5f5b0e72b1229fe9509,2,official_or_curated_metadata_response_verified
clarin_it_02,clarin_it,official_national_clarin_repository,Italian literature,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=Italian+literature&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,730146afda3f667519e4c19fc08b1377e5cb937dc567060de99fa5bd5b40555f,2,official_or_curated_metadata_response_verified
clarin_it_03,clarin_it,official_national_clarin_repository,Italian literary,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=Italian+literary&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,565f6e24e9bb1115abb74962bf4795edec5b5f114df25f6a61d2689a9514e75c,1,official_or_curated_metadata_response_verified
clarin_it_04,clarin_it,official_national_clarin_repository,medieval Italian,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=medieval+Italian&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,35fabedbd5b1e94a16df364b7890899e405495442b9086e90e236cdcf61240c9,3,official_or_curated_metadata_response_verified
clarin_it_05,clarin_it,official_national_clarin_repository,old Italian,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=old+Italian&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,36dd97be75fc19b272e4140e07fddaea33559686ba6f628e0d90b1c56736d9f5,1,official_or_curated_metadata_response_verified
clarin_it_06,clarin_it,official_national_clarin_repository,Italian corpus,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=Italian+corpus&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,cf1abdee0415b81483f0609fe9dfde7c8c7c422717df77f93be978bf3b26faf1,49,official_or_curated_metadata_response_verified
clarin_it_07,clarin_it,official_national_clarin_repository,sonnet Italian,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=sonnet+Italian&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,9c0327fc4078b812c9c2b871e110442b2ec73298ae0ff5849f9fbd63c7d8aee0,0,official_or_curated_metadata_response_verified
clarin_it_08,clarin_it,official_national_clarin_repository,poetry Italian,https://dspace-clarin-it.ilc.cnr.it/server/api/discover/search/objects?query=poetry+Italian&size=100,all matches up to 100 records,json,Find machine-readable Italian historical resources in CLARIN-IT.,2026-08-11,200,application/hal+json,260dabbbd76a7ca6e1d1d70b7388bb31587e2b281cf9e4f0e1574bf04e718371,2,official_or_curated_metadata_response_verified
dalia_01,dalia,official_cnr_ckan_repository,letteratura italiana,https://dalia-bo.cnr.it/api/3/action/package_search?q=letteratura+italiana&rows=100,all matches up to 100 datasets,json,Check the CNR DALIA open-data catalog for historical text datasets.,2026-08-11,200,application/json,f37235d817953a01c596fa3a499180059d4ee3935cb85ba4dcb42d776ccfa071,0,official_or_curated_metadata_response_verified
dalia_02,dalia,official_cnr_ckan_repository,testi storici,https://dalia-bo.cnr.it/api/3/action/package_search?q=testi+storici&rows=100,all matches up to 100 datasets,json,Check the CNR DALIA open-data catalog for historical text datasets.,2026-08-11,200,application/json,f37235d817953a01c596fa3a499180059d4ee3935cb85ba4dcb42d776ccfa071,0,official_or_curated_metadata_response_verified
dalia_03,dalia,official_cnr_ckan_repository,corpus italiano,https://dalia-bo.cnr.it/api/3/action/package_search?q=corpus+italiano&rows=100,all matches up to 100 datasets,json,Check the CNR DALIA open-data catalog for historical text datasets.,2026-08-11,200,application/json,f37235d817953a01c596fa3a499180059d4ee3935cb85ba4dcb42d776ccfa071,0,official_or_curated_metadata_response_verified
dalia_04,dalia,official_cnr_ckan_repository,manoscritti,https://dalia-bo.cnr.it/api/3/action/package_search?q=manoscritti&rows=100,all matches up to 100 datasets,json,Check the CNR DALIA open-data catalog for historical text datasets.,2026-08-11,200,application/json,f37235d817953a01c596fa3a499180059d4ee3935cb85ba4dcb42d776ccfa071,0,official_or_curated_metadata_response_verified
