archive_id,archive_name,frozen_input_status,official_evidence_ids,training_permission,reuse_obligations,bulk_access_route,assigned_corpus_role,final_status,measured_scope,value_assessment,blocking_condition,next_action,activation_status
bibit_scrittori_italia,Biblioteca Italiana - Scrittori d'Italia,inventory_pending,bibit_scrittori_scope,not_established_for_corpus_text,Retain Biblioteca Italiana/Laterza provenance; image availability only.,image_only_no_ocr_or_transcription,excluded,closed_excluded_scan_only_overlap_risk,"179 works; 287 volumes; 125,171 image-text pages",Low expected unique text after overlap with the completed BibIt and Wikisource/Laterza holdings.,No reusable transcription layer; OCR would duplicate higher-quality canonical text.,No further extraction; retain as edition/source-scan reference.,inactive_metadata_only
bibit_incunaboli,Biblioteca Italiana - Incunaboli in volgare,inventory_pending,bibit_incunaboli_scope,not_established_for_corpus_text,Record library and item provenance for any future scan use.,image_only_no_ocr_or_transcription,auxiliary_ocr_candidate,blocked_ocr_and_item_rights_gate,"More than 1,600 incunabula; about 70 libraries; more than 200,000 images","Potentially high unique medieval value, but only after a separately approved OCR sample.","No corrected text layer, corpus reuse grant, or measured OCR quality.",Do not audit pages now; require a later approved OCR-quality and item-rights experiment.,inactive_metadata_only
eltec_italian,ELTeC Italian novel collection,terms_audit_pending,eltec_release_terms,permitted_with_conditions,Texts are public domain; attribute CC BY 4.0 markup and named contributors.,git_tei_release_bounded_inventory,auxiliary_capped_ottocento_bridge,eligible_bounded_inventory_inactive,36 level-1 novels,Moderate bridge value; likely substantial overlap because declared sources include BibIt and CLiGS Textbox.,"No blocker to metadata/source inventory; record-level dates, sources, and duplicate status remain unresolved.",Checkpoint 6B may inventory the 36 records without activating or downloading corpus text through this decision alone.,inactive_metadata_only
internet_archive,Internet Archive,rights_and_quality_gate_required,internet_archive_automation;internet_archive_historical_italian_count,item_level_only_not_established,"Honor each item license/rights field, source credit, rate limits, and removal duties.",advanced_search_metadata_only,core_training_candidate,eligible_bounded_inventory_inactive,"99,424 broad language/date metadata hits in the pinned 2026-08-11 query",Potentially high recall but low precision and high duplicate/OCR risk.,"No blanket corpus license; item rights, corrected-text availability, and OCR quality must pass separately.","Checkpoint 6B may run a bounded metadata inventory only, prioritizing explicit reusable rights and corrected OCR.",inactive_metadata_only
gallica,Gallica / Bibliothèque nationale de France,terms_audit_pending,gallica_api_access;gallica_api_terms,metadata_only_text_not_established,Credit BnF and metadata update date under Etalab 2.0; obey exact Gallica/item content terms.,sru_metadata_only,core_training_candidate,eligible_bounded_inventory_inactive,SRU inventory supports language/type queries and 0-100 OCR-quality metadata; candidate count not retrievable during this audit,"Potentially high historical value, with OCR quality measurable before text acquisition.",Digitized-document reuse requires exact Gallica content terms or rights-holder authorization.,Checkpoint 6B may inventory metadata only; no OCR/full text until content and item rights pass.,inactive_metadata_only
internet_culturale,Internet Culturale,terms_and_access_audit_pending,internet_culturale_terms;internet_culturale_scope,permitted_noncommercial_with_item_override,Attribute Internet Culturale and owning institutions; non-commercial use; ShareAlike; retain item-specific terms.,collection_then_item_metadata_inventory,core_training_candidate,eligible_bounded_inventory_inactive,291 digital collections in the official directory,Moderate-to-high discovery value; unique corrected text availability is unknown.,Partner/item terms and actual primary-text download formats remain unresolved.,Checkpoint 6B may inventory text-bearing collections and item terms without acquiring corpus text.,inactive_metadata_only
beic,BEIC Digital Library,terms_and_access_audit_pending,beic_terms;beic_scope,permitted_subject_to_work_status,"Preserve BEIC/source credit and exact public-domain, CC BY-SA, or item-specific status; metadata is CC0.",oai_pmh_and_catalog_metadata_inventory,core_training_candidate,eligible_bounded_inventory_inactive,"39,821 digital resources; 98,327 bibliographic records; 5,617 authors",Moderate value after language/literature filtering; high scan overlap with Wikisource and other archives.,Corrected OCR/full-text availability and work-level eligibility are not measured.,Checkpoint 6B may inventory Italian literary records and text formats without acquiring corpus text.,inactive_metadata_only
hathitrust,HathiTrust Digital Library,blocked_pending_permission,hathitrust_terms_access,not_established,None may be inferred while official terms evidence is inaccessible.,access_and_terms_blocked,core_training_candidate,blocked_official_terms_and_bulk_access,Large Italian holdings stated by registry; no auditable count pinned,"Potentially high, but lower immediate value than open archives because access and redistribution are unresolved.",Official terms could not be pinned; full-view is not bulk reuse permission.,Keep blocked; obtain accessible official terms or direct research-corpus permission before any inventory/acquisition.,inactive_metadata_only
google_books,Google Books,discovery_only,google_books_api_terms;google_books_api_access,discovery_only_no_corpus_grant,Comply with Books/API terms and content-removal duties; do not redistribute previews.,api_metadata_discovery_only,excluded,discovery_only_closed,Large catalog; no corpus-eligible record count claimed,"Useful for edition identification, not as a corpus source.",No blanket bulk-download or model-training permission for book content.,Use only to locate the same edition in a reusable archive.,inactive_metadata_only
ovi_tlio,OVI / TLIO,terms_and_access_audit_pending,ovi_tlio_access,not_established,No reuse obligations can be finalized without official permission terms.,query_only,core_training_candidate,blocked_bulk_and_training_permission,Official query interface confirmed; bulk scope not published,Very high potential medieval-language value if a reusable release is authorized.,"Public query access does not establish bulk text, training, or redistribution permission.",Request or locate explicit official bulk/research-training permission and a source list.,inactive_metadata_only
midia,MIDIA historical Italian corpus,terms_and_access_audit_pending,midia_terms_and_scope;midia_result_access,permitted_noncommercial_with_attribution,CC BY-NC 4.0; cite MIDIA and preserve source/work metadata.,bounded_source_and_access_inventory,core_training_candidate,eligible_bounded_inventory_inactive,About 800 texts and 7.8 million occurrences from the 13th to mid-20th century,"High period/genre balancing value, but exact overlap and pre-1901 share are unknown.",Bulk release/access method and record-level period/source lineage require verification.,"Checkpoint 6B may inventory the source list, periods, and access routes; this status alone does not authorize corpus-text download.",inactive_metadata_only
diacoris,DiaCORIS historical corpus,terms_and_access_audit_pending,diacoris_access_terms,research_query_only_not_training,Scientific-research query access only; no economic benefit.,query_only,auxiliary_capped_ottocento_bridge,blocked_bulk_and_training_permission,Five time slices from 1861-2001; six subcorpus genres; no record/token count pinned,"Potentially useful 1861-1900 bridge slice, but later material is out of scope or preservation-only.","No bulk text, derivative-dataset, redistribution, or training permission.",Seek explicit permission and isolate the 1861-1900 source list before any acquisition.,inactive_metadata_only
