evidence_id,archive_id,evidence_type,authority,source_url,resolved_url,retrieval_date,http_status,content_type,content_sha256,evidence_quote,supports_decision,limitation,verification_status
beic_scope,beic,collection_scope,official_first_party,https://www.beic.it/wp-json/wp/v2/pages/2881,https://www.beic.it/wp-json/wp/v2/pages/2881,2026-08-11,200,application/json; charset=UTF-8,33ddfddd106a359e6887c616c6a0acdc9b272c035c6072a696416acde0c01e00,"BEIC reports 39,821 digital resources, 98,327 bibliographic records, and 5,617 authors.",Measures the broad digital-library ceiling.,"The total is multidisciplinary and includes non-text, non-Italian, and in-copyright material.",verified_official_evidence
beic_terms,beic,digital_library_terms,official_first_party,https://www.beic.it/wp-json/wp/v2/pages/2886,https://www.beic.it/wp-json/wp/v2/pages/2886,2026-08-11,200,application/json; charset=UTF-8,b9a56b29d1ad83fd6f61f5441264c52e063979eaef5efaab9ee6999bc89bbf47,"BEIC states that its digital-library images are freely accessible, downloadable, and reusable; public-domain reproductions remain public domain, copyrighted BEIC-held works are CC BY-SA, and catalog/OAI-PMH metadata is CC0.",Establishes reusable digital objects and open metadata subject to exact work status.,The image license does not establish corrected OCR or identify Italian literary text automatically.,verified_official_evidence
bibit_incunaboli_scope,bibit_incunaboli,scope_and_access,official_first_party,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/pages,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/pages,2026-08-11,200,application/json; charset=UTF-8,2846cbc877cbe354b835e0b59775fa3d507d3e5aeb944885c09147ea320f11c2,"Incunaboli in volgare contains more than 1,600 incunabula from about 70 libraries and more than 200,000 freely consultable images with technical and management metadata.",Pins the archive-scale image inventory and confirms metadata availability.,"No corrected transcription, OCR download, or corpus-text reuse grant is advertised.",verified_official_evidence
bibit_scrittori_scope,bibit_scrittori_italia,scope_and_access,official_first_party,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/pages,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/pages,2026-08-11,200,application/json; charset=UTF-8,2846cbc877cbe354b835e0b59775fa3d507d3e5aeb944885c09147ea320f11c2,"Scrittori d’Italia comprises 287 volumes, 179 works, and 125,171 image-text pages; the images are freely available under Laterza's permission.",Pins the complete advertised scope and confirms an image rather than transcription layer.,Image availability does not establish an OCR/full-text layer or avoid overlap with BibIt.,verified_official_evidence
diacoris_access_terms,diacoris,query_terms_and_scope,official_first_party,https://corpora.ficlit.unibo.it/DiaCORIS/,https://corpora.ficlit.unibo.it/DiaCORIS/,2026-08-11,200,text/html,1afabb46d438ebee9614f484c96392375106301be9456d85597355d3730e568a,DiaCORIS exposes 1861-2001 sections and grants query access exclusively for scientific research with no economic benefit.,Confirms the historical slice and non-commercial research query route.,"It does not grant bulk text, redistribution, derivative-dataset, or model-training permission.",verified_official_evidence
eltec_release_terms,eltec_italian,release_terms_and_scope,official_first_party,https://raw.githubusercontent.com/COST-ELTeC/ELTeC-ita/master/README.md,https://raw.githubusercontent.com/COST-ELTeC/ELTeC-ita/master/README.md,2026-08-11,200,text/plain; charset=utf-8,b24299b6288359d6c3892d4f40662cccff2b5562f6ff3c48e63b60d2e8f91950,The ELTeC Italian release contains 36 level-1 novels; all included texts are public domain and the textual markup is CC BY 4.0.,"Establishes release size, text status, markup license, contributors, and source families.","The release overlaps BibIt/CLiGS sources and includes early-twentieth-century material, so it requires capped, record-level inventory.",verified_official_evidence
gallica_api_access,gallica,metadata_and_ocr_access,official_first_party,https://api.bnf.fr/fr/api-gallica-de-recherche,https://api.bnf.fr/fr/api-gallica-de-recherche,2026-08-11,200,text/html; charset=UTF-8,6856983c6738569033ab1db7eada0d566c1da2b73a8b82f8455fb8631674469f,Gallica's SRU API searches the digital collection and exposes OCR-quality values from 0 to 100.,Supports a metadata-only inventory and a later measured OCR-quality gate.,API access does not itself permit reuse of digitized documents.,verified_official_evidence
gallica_api_terms,gallica,api_terms,official_first_party,https://api.bnf.fr/fr/conditions-generales-dutilisation-du-site-bnf-api-et-jeux-de-donnees,https://api.bnf.fr/fr/conditions-generales-dutilisation-du-site-bnf-api-et-jeux-de-donnees,2026-08-11,200,text/html; charset=UTF-8,4ae4c11213d29f71b194b9657cbcf7480dedabeaaa8485ab7c835deb0eb780e3,BnF API terms permit dataset downloads but require separate Gallica content terms or prior authorization for digitized-document reuse; BnF metadata is Etalab Open Licence 2.0 with source and update-date credit.,Permits bounded metadata discovery with attribution.,Corpus-text training remains blocked until the exact Gallica content and item rights pass.,verified_official_evidence
google_books_api_access,google_books,metadata_access,official_first_party,https://developers.google.com/books/docs/v1/using,https://developers.google.com/books/docs/v1/using,2026-08-11,200,text/html; charset=utf-8,1a07df042d9f8051649f7cf5a48d85e734e0439011cfb168dd576f9a4266309f,"The Books API is a search and access interface; availability varies with copyright, contract, legal restrictions, and user location.",Supports discovery of editions that can be located in reusable archives.,API discovery and preview availability are not reusable corpus-text provenance.,verified_official_evidence
google_books_api_terms,google_books,api_terms,official_first_party,https://developers.google.com/books/terms,https://developers.google.com/books/terms,2026-08-11,200,text/html; charset=utf-8,1afbf509616debf436bbda1c4eacdb19df81e38cce00790477adfbdf8434ba64,"Google Books API use is governed by the Books API and Google APIs terms, with removal duties for supplied content.",Supports metadata discovery under the API terms.,The terms do not grant a blanket corpus-text training or bulk-download right.,verified_official_evidence
