left_unit_id,right_unit_id,pair_scope,left_containment,right_containment,matching_shingles,exact_normalized_text,preferred_unit_id,decision_effect
bibit:record:bibit000034,existing:record:ll_bembo_prose_volgar_lingua,same_role,0.998957,0.991089,67063,false,existing:record:ll_bembo_prose_volgar_lingua,exclude_lower_priority:bibit:record:bibit000034
bibit:record:bibit000042,existing:record:ll_boccaccio_filocolo,same_role,0.999806,0.999810,210884,false,existing:record:ll_boccaccio_filocolo,exclude_lower_priority:bibit:record:bibit000042
bibit:record:bibit000051,bibit:record:bibit001643,same_role,0.922807,0.364455,2104,false,bibit:record:bibit000051,quarantine_left_span_from_right
bibit:record:bibit000067,bibit:record:bibit000225,same_role,0.068804,0.863781,7045,false,bibit:record:bibit000067,exclude_right
bibit:record:bibit000067,bibit:record:bibit001424,same_role,0.051098,0.906131,5232,false,bibit:record:bibit000067,exclude_right
bibit:record:bibit000099,bibit:record:bibit001217,same_role,0.046417,0.900530,3911,false,bibit:record:bibit000099,exclude_right
bibit:record:bibit000101,existing:record:ll_boccaccio_trattatello,same_role,0.899761,0.891675,18455,false,existing:record:ll_boccaccio_trattatello,exclude_lower_priority:bibit:record:bibit000101
bibit:record:bibit000135,existing:record:ll_castiglione_cortegiano,same_role,0.979701,0.858529,112069,false,existing:record:ll_castiglione_cortegiano,exclude_lower_priority:bibit:record:bibit000135
bibit:record:bibit000136,existing:record:ll_guicciardini_storia_italia,same_role,0.994707,0.968897,601318,false,existing:record:ll_guicciardini_storia_italia,exclude_lower_priority:bibit:record:bibit000136
bibit:record:bibit000140,existing:record:ll_dino_compagni_cronica,same_role,0.942865,0.886235,33170,false,existing:record:ll_dino_compagni_cronica,exclude_lower_priority:bibit:record:bibit000140
bibit:record:bibit000161,existing:record:ll_sacchetti_trecentonovelle,same_role,0.991129,0.954030,178209,false,existing:record:ll_sacchetti_trecentonovelle,exclude_lower_priority:bibit:record:bibit000161
bibit:record:bibit000188,existing:record:ws_galileo_dialogo,same_role,0.942449,0.900707,168443,false,existing:record:ws_galileo_dialogo,exclude_lower_priority:bibit:record:bibit000188
bibit:record:bibit000253,bibit:record:bibit001643,same_role,0.872165,0.146544,846,false,bibit:record:bibit000253,quarantine_left_span_from_right
bibit:record:bibit000256,bibit:record:bibit001390,same_role,0.862348,0.880165,213,false,bibit:record:bibit000256,exclude_lower_priority:bibit:record:bibit001390
bibit:record:bibit000267,existing:record:ll_boccaccio_decameron_mondadori,same_role,0.985508,0.966376,260393,false,existing:record:ll_boccaccio_decameron_mondadori,exclude_lower_priority:bibit:record:bibit000267
bibit:record:bibit000293,existing:record:ll_giovanni_villani_nuova_cronica,same_role,0.976310,0.804207,390150,false,existing:record:ll_giovanni_villani_nuova_cronica,exclude_lower_priority:bibit:record:bibit000293
bibit:record:bibit000303,bibit:record:bibit000797,same_role,0.024042,0.960023,5019,false,bibit:record:bibit000303,exclude_right
bibit:record:bibit000305,existing:record:ll_machiavelli_istorie_fiorentine,same_role,0.985945,0.968704,143592,false,existing:record:ll_machiavelli_istorie_fiorentine,exclude_lower_priority:bibit:record:bibit000305
bibit:record:bibit000369,bibit:record:bibit001190,same_role,0.956881,0.444681,2086,false,bibit:record:bibit000369,quarantine_left_span_from_right
bibit:record:bibit000469,bibit:record:bibit000850,same_role,0.975430,0.887061,21835,false,bibit:record:bibit000469,exclude_lower_priority:bibit:record:bibit000850
bibit:record:bibit000535,existing:record:ll_machiavelli_arte_guerra,same_role,0.998710,0.983560,61921,false,existing:record:ll_machiavelli_arte_guerra,exclude_lower_priority:bibit:record:bibit000535
bibit:record:bibit000600,bibit:record:bibit001364,same_role,0.007515,0.889820,1381,false,bibit:record:bibit000600,exclude_right
bibit:record:bibit000600,bibit:record:bibit001533,same_role,0.012614,0.860431,2318,false,bibit:record:bibit000600,exclude_right
bibit:record:bibit000646,bibit:record:bibit001643,same_role,0.899425,0.216872,1252,false,bibit:record:bibit000646,quarantine_left_span_from_right
bibit:record:bibit000709,bibit:record:bibit001585,same_role,0.015605,0.902149,2351,false,bibit:record:bibit000709,exclude_right
bibit:record:bibit000733,bibit:record:bibit001106,same_role,0.859182,0.882698,903,false,bibit:record:bibit000733,exclude_lower_priority:bibit:record:bibit001106
bibit:record:bibit000747,existing:record:ll_machiavelli_discorsi,same_role,0.999164,0.995313,119566,false,existing:record:ll_machiavelli_discorsi,exclude_lower_priority:bibit:record:bibit000747
bibit:record:bibit000826,existing:record:ll_guicciardini_ricordi,same_role,0.802377,0.474291,13772,false,existing:record:ll_guicciardini_ricordi,exclude_left
bibit:record:bibit000897,bibit:record:bibit001533,same_role,0.071705,0.978099,2635,false,bibit:record:bibit000897,exclude_right
bibit:record:bibit000925,bibit:record:bibit001494,same_role,0.021427,0.891326,2723,false,bibit:record:bibit000925,exclude_right
bibit:record:bibit000985,bibit:record:bibit001120,same_role,0.847231,0.310567,2601,false,bibit:record:bibit000985,quarantine_left_span_from_right
bibit:record:bibit001083,existing:record:ll_vico_principj_scienza_nuova,same_role,0.979834,0.885218,137701,false,existing:record:ll_vico_principj_scienza_nuova,exclude_lower_priority:bibit:record:bibit001083
bibit:record:bibit001323,existing:record:ll_ramusio_navigazioni_viaggi,same_role,0.987622,0.959668,2009691,false,existing:record:ll_ramusio_navigazioni_viaggi,exclude_lower_priority:bibit:record:bibit001323
bibit:record:bibit001453,bibit:record:bibit001465,same_role,0.973419,0.727076,19482,false,bibit:record:bibit001453,quarantine_left_span_from_right
bibit:sonnet:bibit000038:sonnet_0028,bibit:sonnet:bibit001146:sonnet_0608,same_role,0.919192,0.919192,91,false,bibit:sonnet:bibit000038:sonnet_0028,exclude_lower_priority:bibit:sonnet:bibit001146:sonnet_0608
bibit:sonnet:bibit000040:sonnet_0153,bibit:sonnet:bibit000509:structural_0097,same_role,0.824176,0.824176,75,false,bibit:sonnet:bibit000040:sonnet_0153,exclude_lower_priority:bibit:sonnet:bibit000509:structural_0097
bibit:sonnet:bibit000099:sonnet_0001,bibit:sonnet:bibit001217:structural_0001,same_role,0.833333,0.833333,85,false,bibit:sonnet:bibit000099:sonnet_0001,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0001
bibit:sonnet:bibit000099:sonnet_0002,bibit:sonnet:bibit001217:structural_0002,same_role,1.000000,1.000000,94,true,bibit:sonnet:bibit000099:sonnet_0002,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0002
bibit:sonnet:bibit000099:sonnet_0003,bibit:sonnet:bibit001217:structural_0003,same_role,1.000000,1.000000,99,true,bibit:sonnet:bibit000099:sonnet_0003,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0003
bibit:sonnet:bibit000099:sonnet_0004,bibit:sonnet:bibit001217:structural_0004,same_role,1.000000,1.000000,93,true,bibit:sonnet:bibit000099:sonnet_0004,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0004
bibit:sonnet:bibit000099:sonnet_0005,bibit:sonnet:bibit001217:structural_0005,same_role,1.000000,1.000000,100,true,bibit:sonnet:bibit000099:sonnet_0005,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0005
bibit:sonnet:bibit000099:sonnet_0006,bibit:sonnet:bibit001217:structural_0006,same_role,1.000000,1.000000,106,true,bibit:sonnet:bibit000099:sonnet_0006,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0006
bibit:sonnet:bibit000099:sonnet_0007,bibit:sonnet:bibit001217:structural_0007,same_role,1.000000,1.000000,90,true,bibit:sonnet:bibit000099:sonnet_0007,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0007
bibit:sonnet:bibit000099:sonnet_0008,bibit:sonnet:bibit001217:structural_0008,same_role,1.000000,1.000000,105,true,bibit:sonnet:bibit000099:sonnet_0008,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0008
bibit:sonnet:bibit000099:sonnet_0009,bibit:sonnet:bibit001217:structural_0009,same_role,1.000000,1.000000,103,true,bibit:sonnet:bibit000099:sonnet_0009,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0009
bibit:sonnet:bibit000099:sonnet_0010,bibit:sonnet:bibit001217:structural_0010,same_role,1.000000,1.000000,110,true,bibit:sonnet:bibit000099:sonnet_0010,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0010
bibit:sonnet:bibit000099:sonnet_0011,bibit:sonnet:bibit001217:structural_0011,same_role,1.000000,1.000000,98,true,bibit:sonnet:bibit000099:sonnet_0011,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0011
bibit:sonnet:bibit000099:sonnet_0012,bibit:sonnet:bibit001217:structural_0014,same_role,1.000000,1.000000,103,true,bibit:sonnet:bibit000099:sonnet_0012,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0014
bibit:sonnet:bibit000099:sonnet_0013,bibit:sonnet:bibit001217:structural_0015,same_role,0.920792,0.920792,93,false,bibit:sonnet:bibit000099:sonnet_0013,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0015
bibit:sonnet:bibit000099:sonnet_0014,bibit:sonnet:bibit001217:structural_0016,same_role,1.000000,1.000000,97,true,bibit:sonnet:bibit000099:sonnet_0014,exclude_lower_priority:bibit:sonnet:bibit001217:structural_0016
