range_id,review_id,unit_id,reference_id,review_type,source_sha256,reference_sha256,localization_method,reference_token_count,matched_reference_token_count,reference_coverage,source_token_start,source_token_end,character_start,character_end,removed_character_count,removed_sha256,line_expanded,range_decision,verification_status
review:bibit:record:bibit000118:bibit:sonnet:bibit001304:structural_0005:occurrence_01,review:bibit:record:bibit000118:bibit:sonnet:bibit001304:structural_0005,bibit:record:bibit000118,bibit:sonnet:bibit001304:structural_0005,sonnet_segment_quarantine,21178049f009d4d51396ba504253293b136fc72b574d5e67f7954a730f1afced,ec331bdd49e86c98199266a373fcaaa8f06b048adaa4ed7e95f60a1646eda7f4,contiguous_shingle_window_alignment,112,111,0.991071,18817,18929,97907,98450,543,a54bdf67b7ee784502ecc161419d5dd24dbff7dd5f1ccc83e86dee60bd8af67c,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000278:bibit:sonnet:bibit001629:structural_0011:occurrence_01,review:bibit:record:bibit000278:bibit:sonnet:bibit001629:structural_0011,bibit:record:bibit000278,bibit:sonnet:bibit001629:structural_0011,sonnet_segment_quarantine,181957846bdecb0e7fc323a454b6a9a15c860ed91bab49578bfa1fb99f2b9de3,448f8e25991fc6d99a7094edcc989b39e5e71febce8f526f073fa3b6f7ddc449,contiguous_shingle_window_alignment,98,97,0.989796,1370,1468,7841,8332,491,83459177b0f2dc33dc75391347a5bbc0e5f5eb2de98e58c89ec6819a23814160,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000682:bibit:sonnet:bibit000099:structural_0006:occurrence_01,review:bibit:record:bibit000682:bibit:sonnet:bibit000099:structural_0006,bibit:record:bibit000682,bibit:sonnet:bibit000099:structural_0006,sonnet_segment_quarantine,6313ad447d1401d1cdce4192ca6ad20ed0f689620a7dd6eca21ec1657d93e3b8,1dcbaa8144db02517f941e239e300038775bbb34648c4bde5f1612fe2dff635a,contiguous_shingle_window_alignment,103,101,0.980583,573,677,2753,3270,517,47cd1bcaf40a1a7f9e75dc1c0ecb5c13bbe784b867ccf60452ca00b86400cf6c,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0002:occurrence_01,review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0002,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0002,sonnet_segment_quarantine,00e9c14395c6c38ad49e176ae20dfa1dd33278540e7edfb91acf38ad8eb860a0,d0ad1a1329afc7c9d4505b03bb8a09e49bc25c011365dceb94430ffeb1857578,contiguous_shingle_window_alignment,95,95,1.000000,136478,136573,701389,701875,486,c9eede352074de8cd69b527cff48b6c7c8c9ba7c669e94349e2402c49b705f92,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0003:occurrence_01,review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0003,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0003,sonnet_segment_quarantine,00e9c14395c6c38ad49e176ae20dfa1dd33278540e7edfb91acf38ad8eb860a0,b725ecfe90ee29e84b1e17b70571c6abe9c5864049e85f929c3a83b16abc03a1,contiguous_shingle_window_alignment,94,94,1.000000,136573,136667,701875,702353,478,ccafad884c5a8cf8c371a48be8ac7e9ce620cea7e874d18edb0023e37c77ec4e,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0004:occurrence_01,review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0004,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0004,sonnet_segment_quarantine,00e9c14395c6c38ad49e176ae20dfa1dd33278540e7edfb91acf38ad8eb860a0,3235c4e766e1a3c1ce3ff495593385355a96ce053594cf8ee30379f2a063d280,contiguous_shingle_window_alignment,93,93,1.000000,136667,136760,702353,702817,464,92e9776b165f2adf662f48b94d6196b75aade89f1bd7b8b38731d2d8656155b0,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0006:occurrence_01,review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0006,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0006,sonnet_segment_quarantine,00e9c14395c6c38ad49e176ae20dfa1dd33278540e7edfb91acf38ad8eb860a0,2a853d5823adecbc4ba4ea17ff1a4cbba6c0f5ea1e052518948fb1fb1973dfef,contiguous_shingle_window_alignment,98,97,0.989796,137585,137684,707068,707587,519,6e24a7bcd2d38b278ea3961cec4d40a504bf26a36f081c02ee620b0d931f7096,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0007:occurrence_01,review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0007,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0007,sonnet_segment_quarantine,00e9c14395c6c38ad49e176ae20dfa1dd33278540e7edfb91acf38ad8eb860a0,9d84adadf664882d219f8d2e0b8e0435453d8f2586c284291cf3402a989c8cf7,contiguous_shingle_window_alignment,86,85,0.988372,137684,137770,707587,708098,511,68c8ec372e6509645ceee5b768220958879ffa7d6644422d20be1c4c871bd136,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0010:occurrence_01,review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0010,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0010,sonnet_segment_quarantine,00e9c14395c6c38ad49e176ae20dfa1dd33278540e7edfb91acf38ad8eb860a0,eaf6428b0165f622d20ebd8b4c81017c4d920fc84eb540e912f12dd8fdba3b06,contiguous_shingle_window_alignment,94,94,1.000000,137961,138055,709127,709656,529,5a182240766c43569b32bb002bfdd4c68971f873a3fa762bc35603719268353d,true,remove_verified_occurrence,residual_reference_below_threshold
review:bibit:record:bibit000709:wikisource:sonnet:itws:260006:sonnet0001:occurrence_01,review:bibit:record:bibit000709:wikisource:sonnet:itws:260006:sonnet0001,bibit:record:bibit000709,wikisource:sonnet:itws:260006:sonnet0001,sonnet_segment_quarantine,00e9c14395c6c38ad49e176ae20dfa1dd33278540e7edfb91acf38ad8eb860a0,b8162dd99b3eea396f0d2d16e82d180732e63fc8ac68e732638778c8e6de414b,contiguous_shingle_window_alignment,70,68,0.971429,139032,139102,714688,715070,382,adce76374488b60c3183e4888967b9703511616358825ab629e575d06a4edf57,true,remove_verified_occurrence,residual_reference_below_threshold
