routing_id,source_unit_id,reference_unit_id,candidate_id,source_group,source_title,poem_author,character_start,character_end,line_count,source_text_sha256,cleaned_character_count,cleaned_sha256,form_evidence,language_evidence,overlap_reference_ids,routing_decision,final_role,activation_status
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0019,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R00,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0019,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Opuscoli morali Vol.II,Antonio Rosmini,17067,18018,14,5f06a637f82108c850d4c6a8909004cfb19d35ebd7fc173294982866a049d163,951,3055c9bfb23c7d162c4c02180d21512a0cdd591c863429adc87ea2ba8a41d8f4,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0074,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R00,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0074,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Opuscoli morali Vol.II,Antonio Rosmini,71648,72641,14,5f06a637f82108c850d4c6a8909004cfb19d35ebd7fc173294982866a049d163,993,1b0d98fd00082688f8f10ab34fbda3efda7786e2085128562ac7c76575f5986a,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0089,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R00,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0089,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Opuscoli morali Vol.II,Antonio Rosmini,97759,98749,14,5f06a637f82108c850d4c6a8909004cfb19d35ebd7fc173294982866a049d163,990,7d4c05d7be0018a951fb5b9f441179bb56997ab4b26bbca64fa3a5551dc6ef25,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0105,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R00,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0105,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Opuscoli morali Vol.II,Antonio Rosmini,113575,114416,14,5f06a637f82108c850d4c6a8909004cfb19d35ebd7fc173294982866a049d163,841,08516045cde6117ee2e14d2e0b8757d5769ba0b90bc4b34516aa48b9251cdcee,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0150,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R00,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0150,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Opuscoli morali Vol.II,Antonio Rosmini,144833,145585,14,5f06a637f82108c850d4c6a8909004cfb19d35ebd7fc173294982866a049d163,752,589cc83bee241a61fc1e131b0a256a29f2d708ae0d8d6b03466c53e4630c3a70,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0206,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R00,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0206,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Opuscoli morali Vol.II,Antonio Rosmini,193221,194174,14,5f06a637f82108c850d4c6a8909004cfb19d35ebd7fc173294982866a049d163,953,8537e00a0cfb29e4c2606dc531c755ab25bee911351f965c63dbbeb71f4dc6bf,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0259,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R00,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R00:block_0259,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Opuscoli morali Vol.II,Antonio Rosmini,235171,236150,14,5f06a637f82108c850d4c6a8909004cfb19d35ebd7fc173294982866a049d163,979,e49f596ab5c2999620f15a08418520ee1e8b2e19d2b866884b4b76efdfdd1ed3,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R01:block_0010,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R01,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R01:block_0010,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Andropologia in servizio della scienza morale,Antonio Rosmini,14225,15180,14,eef01bd5cf26e795088c72265d9a52bf3607a9b338b4844f734d3c492af14499,955,6218f7baadfa4a34554912a14eac8e389947722351765ab015c3221cc9798c26,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R01:block_0045,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R01,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R01:block_0045,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Andropologia in servizio della scienza morale,Antonio Rosmini,44327,45198,14,eef01bd5cf26e795088c72265d9a52bf3607a9b338b4844f734d3c492af14499,871,a54845eda5b0c853ee1dd2c6186c29615b86820eb4111121660c64a931a374e2,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
route:ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R01:block_0137,ilc_ota:record:ilc_rosmini:Antonio_Rosmini_R01,,ilc_ota:sonnet:ilc_rosmini:Antonio_Rosmini_R01:block_0137,ilc_ota,Versione elettronica di testi relativi al periodo 800 - 900 Andropologia in servizio della scienza morale,Antonio Rosmini,165731,166630,14,eef01bd5cf26e795088c72265d9a52bf3607a9b338b4844f734d3c492af14499,899,c62904a7c1e7eaccc8f8a56d72aabdddddaf6b94e9e1561b683c34b30b581737,raw 14-line blank-separated block; full-length sonnet layout failed,checkpoint-6D standard-Italian unit gate,,hold_14_line_block_insufficient_sonnet_or_attribution_evidence,conditioned_or_inactive_hold,inactive_hold
