record_id,archive_id,source_item_id,title,creator,created_date,created_year,period_bucket,language,source_type,landing_page_url,rights_text,license_url,format,extent,bitstream_url,metadata_sha256,metadata_cache_path,metadata_decision,metadata_rationale,assigned_role,activation_status
ilc_bellini,ilc_cnr_historical_corpora,2e6fe73a-db5c-48aa-ad0a-dcaecc0baddb,Bellini Digital Correspondence,Vincenzo Bellini,1819-1835,1819,ottocento_bridge,Italian,Text corpus,https://hdl.handle.net/20.500.11752/OPEN-1000,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,application/zip,407671 bytes,https://dspace-clarin-it.ilc.cnr.it/server/api/core/bitstreams/ca4201ea-d874-4169-983e-9e3e0feeac1c/content,7a91f2d739b7fd87183c157ec7593ac2f3bb1106fd2ab5370c159c58784f6f91,data/local/archive_discovery_v1/evidence/ilc_bellini.bin,eligible_text_probe_inactive,"checkpoint-6C compatible item terms, role, and materiality gate",ottocento_bridge_capped,inactive_metadata_only
ilc_libretti,ilc_cnr_historical_corpora,5c8f43f9-d039-4475-b930-fa13d35b583c,Digital edition of opera libretti,ILC-CNR digital edition,1636-1705,1636,1501_to_1700,Italian,Text corpus,https://hdl.handle.net/20.500.11752/OPEN-979,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,text/xml,2737739 bytes,https://dspace-clarin-it.ilc.cnr.it/server/api/core/bitstreams/0422a142-25b6-4bf8-af9b-8ad17f18b31f/content,c65c1516c21f9dcc7b40870dc0c49b8d57ed4de0b1d81f02c20338c6161d5fc3,data/local/archive_discovery_v1/evidence/ilc_libretti.bin,eligible_text_probe_inactive,"checkpoint-6C compatible item terms, role, and materiality gate",historical_non_sonnet_poetry,inactive_metadata_only
ilc_rosmini,ilc_cnr_historical_corpora,30dcd581-aa78-4470-9fc9-9f6bd385b97f,Corpus Antonio Rosmini - Serbati,Antonio Rosmini-Serbati,nineteenth century,1850,ottocento_bridge,Italian,Text corpus,https://hdl.handle.net/20.500.11752/ILC-57,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,application/zip,10302816 bytes,https://dspace-clarin-it.ilc.cnr.it/server/api/core/bitstreams/db6dadd7-0241-4d92-a24f-e5fef782ecb9/content,ee9b8157980bd3b6d36c37885a233c6d624edf62466244945b3f2cf3f1d14075,data/local/archive_discovery_v1/evidence/ilc_rosmini.bin,eligible_text_probe_inactive,"checkpoint-6C compatible item terms, role, and materiality gate",ottocento_bridge_capped,inactive_metadata_only
ota_0302,oxford_text_archive,0302,Il libro del cortegiano  / compiled by J.R. Woodhouse,"Castiglione, Baldassare,  conte,  1478-1529",1528,1528,1501_to_1700,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0302,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data between 512 KB and 1 MB Contains markup characters,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0302/cortegiano-0302.txt?sequence=4&isAllowed=y,48f487fba313a9d0cb9609bcd02ec50980b5560af269b548966fa7364e9fa92a,data/local/ilc_ota_source_audit_v1/metadata/ota_0302.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_general,inactive_metadata_only
ota_0303,oxford_text_archive,0303,Discorso o Dialogo intorno alla nostra lingua / Nicolò Machiavelli,"Machiavelli, Niccolò, 1469-1527",1524,1524,1501_to_1700,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0303,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (1 file : ca. 27 KB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0303/mach-0303.txt?sequence=4&isAllowed=y,afe1eb0037f9a429852060b58eedcaae3316c8329c3af9e5ff46b0e568bf9a3a,data/local/ilc_ota_source_audit_v1/metadata/ota_0303.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_general,inactive_metadata_only
ota_0304,oxford_text_archive,0304,Rime : 1-85 / Michelangelo Buonarroti,"Michelangelo Buonarroti, 1475-1564",1542,1542,1501_to_1700,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0304,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (1 file : ca. 89 KB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0304/rime-0304.txt?sequence=4&isAllowed=y,158d2aa4915686c7ad970d5daab41ba155bdef7f923bacc9431a9687457a1714,data/local/ilc_ota_source_audit_v1/metadata/ota_0304.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_non_sonnet_poetry,inactive_metadata_only
ota_0305,oxford_text_archive,0305,Tutte le novelle / Giovanni Verga,"Verga, Giovanni, 1840-1922",1856-1905,1856,ottocento_bridge,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0305,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (7 files : total of ca. 80 KB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0305/vergaamante-0305.txt?sequence=4&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0305/vergacavalle-0305.txt?sequence=5&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0305/vergaguerra-0305.txt?sequence=6&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0305/vergaintro-0305.txt?sequence=7&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0305/vergalupa-0305.txt?sequence=8&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0305/vergapentola-0305.txt?sequence=9&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0305/vergareveren-0305.txt?sequence=10&isAllowed=y,c1e58e885721256ba3dde421277c9cb26a606ca96d45117d015f8515bcef1b21,data/local/ilc_ota_source_audit_v1/metadata/ota_0305.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",ottocento_bridge_capped,inactive_metadata_only
ota_0352,oxford_text_archive,0352,Bucolicum carmen / Petrarch,"Petrarca, Francesco, 1304-1374",1357,1357,origins_to_1500,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0352,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (1 file : ca. 89 KB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0352/petrbucolics-0352.txt?sequence=4&isAllowed=y,f772d5d637b20401d6925b5620a7089cbcacfd4567cff35f4f61cd3f1f8cd7f3,data/local/ilc_ota_source_audit_v1/metadata/ota_0352.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_general,inactive_metadata_only
ota_0406,oxford_text_archive,0406,Seven dialect tales  / compiled by J.R. Woodhouse,"Calvino, Italo",1956,1956,post_1900,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0406,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data less than 512 KB Contains markup characters,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0406/ical-0406.txt?sequence=4&isAllowed=y,e137663cd0006bd4b42a072a74f0feffc5cbf9cd93aa39671afd71974c0193e9,data/local/ilc_ota_source_audit_v1/metadata/ota_0406.bin,conditioned_language_excluded_inactive,explicit dialect marker; outside standard queue,conditioned_language,inactive_metadata_only
ota_0407,oxford_text_archive,0407,Galateo  / compiled by J.R. Woodhouse,"Casa, Giovanni della, 1503-1556",1558,1558,1501_to_1700,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/0407,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data less than 512 KB Contains markup characters,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/0407/galateo-0407.txt?sequence=4&isAllowed=y,dd315c1c6edb6f7deeddce08aca591a0fa43659a57fed188100f5628acdca7f6,data/local/ilc_ota_source_audit_v1/metadata/ota_0407.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_general,inactive_metadata_only
