review_id,record_id,unit_id,review_type,evidence,resolution,rationale
metadata:ota_0406,ota_0406,,metadata_exclusion,explicit dialect marker; outside standard queue,conditioned_language_excluded_inactive,"fail-closed item-level terms, period, language, and primary-text policy"
metadata:ota_0408,ota_0408,,metadata_exclusion,underlying work date 1970 is after 1900,excluded_post_1900,"fail-closed item-level terms, period, language, and primary-text policy"
metadata:ota_1043,ota_1043,,metadata_exclusion,underlying work date 1923 is after 1900,excluded_post_1900,"fail-closed item-level terms, period, language, and primary-text policy"
metadata:ota_1372,ota_1372,,metadata_exclusion,item type is not Text,excluded_not_primary_text,"fail-closed item-level terms, period, language, and primary-text policy"
metadata:ota_1723,ota_1723,,metadata_exclusion,item type is not Text,excluded_not_primary_text,"fail-closed item-level terms, period, language, and primary-text policy"
metadata:ota_2426,ota_2426,,metadata_exclusion,item type is not Text,excluded_not_primary_text,"fail-closed item-level terms, period, language, and primary-text policy"
metadata:ota_2503,ota_2503,,metadata_exclusion,item type is not Text,excluded_not_primary_text,"fail-closed item-level terms, period, language, and primary-text policy"
unit:ota_0305:vergaintro-0305,ota_0305,ota_0305:vergaintro-0305,text_probe_anomaly,english_primary_text,excluded_nonstandard_or_unverified_language,"frozen quality, language, and protected-validation gates"
unit:ota_0352:petrbucolics-0352,ota_0352,ota_0352:petrbucolics-0352,text_probe_anomaly,latin_primary_text,excluded_nonstandard_or_unverified_language,"frozen quality, language, and protected-validation gates"
unit:ota_0702:index702,ota_0702,ota_0702:index702,text_probe_anomaly,documentation_or_index_apparatus,excluded_quality_or_parse_failure,"frozen quality, language, and protected-validation gates"
unit:ota_0702:pref702,ota_0702,ota_0702:pref702,text_probe_anomaly,low_alphabetic_ratio;english_primary_text,excluded_quality_or_parse_failure,"frozen quality, language, and protected-validation gates"
unit:ota_0992:bologna-0992,ota_0992,ota_0992:bologna-0992,text_probe_anomaly,low_italian_function_word_ratio;latin_primary_text,excluded_nonstandard_or_unverified_language,"frozen quality, language, and protected-validation gates"
unit:ota_1100:boiardoc-1100,ota_1100,ota_1100:boiardoc-1100,text_probe_anomaly,documentation_or_index_apparatus;english_primary_text,excluded_quality_or_parse_failure,"frozen quality, language, and protected-validation gates"
unit:ota_1390:pulcidoc-1390,ota_1390,ota_1390:pulcidoc-1390,text_probe_anomaly,documentation_or_index_apparatus;english_primary_text,excluded_quality_or_parse_failure,"frozen quality, language, and protected-validation gates"
unit:ota_A91763:A91763,ota_A91763,ota_A91763:A91763,text_probe_anomaly,english_primary_text,excluded_nonstandard_or_unverified_language,"frozen quality, language, and protected-validation gates"
