unit_id,record_id,archive_id,member_path,title,author,assigned_role,cleaned_cache_path,cleaned_character_count,cleaned_word_count,nonempty_line_count,cleaned_sha256,normalized_word_sha256,italian_function_word_ratio,alphabetic_character_ratio,quality_flags,language_flags,internal_overlap_ids,cross_overlap_ids,protected_v6_poem_ids,probe_decision,activation_status,error
ilc_bellini:LL1_1,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_1.xml,"Vincenzo Bellini a Stefano Notarbartolo, duca di Sammartino, in Catania, [maggio] 1819",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_1.txt,2777,452,84,085e7969a00c4d7897cfb6ae2e97ad5f8535fc19354b8fc0e06d00405ac9491b,a3be0c65c2f3ea4b9d564bc025880bac1cf9d1565430485e37ebd27e844cd83f,0.263274,0.959364,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_10,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_10.xml,"Vincenzo Bellini a Saverio Mercadante, in Milano, [3 novembre 1832]",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_10.txt,651,108,41,5ae63ca84926b1fa36c4042db7db57ffde4a42c63b7edb223dd04b526d84f2a7,1557f328c4c3de7ede96fc5f5cfe60bdbec3953a666a0cf2d864b7456d75bd1a,0.166667,0.959459,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_11,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_11.xml,"Vincenzo Bellini a Vincenzo Ferlito, in Venezia, 13 dicembre 1832",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_11.txt,2573,451,120,cb6215e8ef22f13ae329bf652e14fa8c0027a60e0ecef591c281198c20cdd9ca,47913dd412069c1bce372b8722f619e66d85c59493282f14a6559bea0de6e4d6,0.230599,0.958456,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_12,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_12.xml,"Vincenzo Bellini a destinatario sconosciuto, in Parigi, 23 agosto 1833",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_12.txt,184,32,12,4decc56a27f1f79dffb802fffcc09f5c8e2eaf105c2f5a0e7c6fa61546923c23,9d67a98f80025cfbba0d8348dc4aa3528e3a076bfac72f7d2b6f731ec77352a1,0.125000,0.951724,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_13.I,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_13.I.xml,"Vincenzo Bellini a destinatario sconosciuto, in Parigi, 2 febbraio 1834",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_13.I.txt,245,40,12,10bad0bf1c59b60f697ba71b87d8badf3468ff64c6101d3a032ee4a6af6b18fb,f63f555c66de6fa7af1bc2d13c4d2b8c0a78553340ead1afd7ba454f54ee0818,0.150000,0.954774,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_13.II,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_13.II.xml,"Vincenzo Bellini a Giovanni Galeota, in Parigi, 14 febbraio 1834",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_13.II.txt,1956,332,93,29302853a8d9d539ee276bc03ca80314772fda9c9b6edb5274d84fb69ec2950d,1bef365bcf90096aa5c89c8880d3ad09e1f9006dd17a66c8206276b49d0a8fa0,0.259036,0.959313,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_14,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_14.xml,"Vincenzo Bellini a Giovanni Galeota, in Parigi, [febbraio 1834]",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_14.txt,2632,449,115,2ae2dae7c0251ec1e93c3e798323aa2b810e7a36cc53cca643ccf9bfbf529e05,64fe53f249e24ea3748cb0e6f045b24bc19033021eff0ed04d0d3ffb665bf233,0.287305,0.958353,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_15,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_15.xml,"Vincenzo Bellini a Sophia Johnstone, duchessa di Cannizzaro, in Parigi, 30 aprile 1834",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_15.txt,1429,254,76,b11fcb931383396a155ccf9cf0d4d1a50d47eb47822123e03a8459242e757b84,95e8a167904538a788e65d36f89716c350f2db089817b14c0fa4d3acf0aac623,0.236220,0.963717,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_16,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_16.xml,"Vincenzo Bellini a Carlo Pepoli, in Puteaux, 26 giugno 1834",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_16.txt,498,80,33,deffdb614ab2ece4f15974dd44558d6d6e2bc5ffe6538b57d8b51fe9065b0025,4263d3651b2318e705e75fffffcf330eadc89dab7b19b384778f24cb3cdd99d2,0.150000,0.907216,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_17,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_17.xml,"Vincenzo Bellini a [Vittoria Visconti D'Aragona], in Parigi, [novembre 1834]",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_17.txt,215,38,9,add07ee9e21f9a19157a1b0f6323f122381a587c08f6b9cf166b089c481e86d7,c7dbef63abe0cdf270e7f0fb7c73758ce6fe6a79386032ebfa85a5a8ab3c4267,0.131579,0.970930,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_18,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_18.xml,"Vincenzo Bellini a Gaetano Cobianchi, in Parigi, 22 gennaio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_18.txt,466,82,22,2f8217620ddedb7992308e6173be02fd9d6ac30a6d17139913a3dbfad29731df,f213aa38582592012f8adde68af575c7daf7695a184c5a4e8fe85b7e85fe7f9b,0.219512,0.939726,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_19,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_19.xml,"Vincenzo Bellini a Vincenzo Ferlito, in Parigi, 4 febbraio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_19.txt,716,136,49,72d848cf56d230735af695fe4c646abe078b7fd9da3899feda679ff1def1b68d,128a58e8d333de515b66240dc3673c931bf6fee2d9fbefc10eaa58e56d81178e,0.279412,0.951613,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_2,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_2.xml,"Vincenzo Bellini a Giuditta Cantù Turina, in Venezia, 20 gennaio 1830",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_2.txt,1227,216,64,81ca0dc9271212891ba473647e7497bf02b516ac1a23b7534f88ef61a9333429,d1d03813e517336bf1430fabcd0ea7b2bc30405589cb167a0133a3e1978802cc,0.263889,0.961105,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_20,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_20.xml,"Vincenzo Bellini a Vincenzo Ferlito, in Parigi, 18 febbraio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_20.txt,665,120,39,286911a66dd3003eaa4994a964fb24838551d75399e3d4c2a5884fe395a12fad,cfc23a6172fc696ef55284430ef73f057e71d2881752b6eada93bb9fa02dc766,0.250000,0.965318,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_21,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_21.xml,"Vincenzo Bellini a destinatario sconosciuto, in Parigi [marzo 1835]",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_21.txt,102,19,6,aa62a8eeda9992fb10e5d8e2342585da857ea31126b9331c62328baad3227206,781d593928abf266389b01901c9a6dcb201205c39c0b1a022e5e7dffe4b9727f,0.052632,0.975610,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_22,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_22.xml,"Vincenzo Bellini ad Alberico Curioni, in Parigi, 10 maggio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_22.txt,276,53,14,81649bf6f86931aa599600fa030d187d3fd2ab4bc7afaff24fab7dbf18495aff,8ed89072329a8a9ecd6c01f7483f0deced0a19189605aeb0173c11ac4df2c366,0.320755,0.958140,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_23.I,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_23.I.xml,"Vincenzo Bellini a Giuseppe Denza, in Parigi, 10 maggio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_23.I.txt,58,9,7,eef6423d59640c24646a8f48a93fe404258080c8899e1107f62b91fde90b42ba,6f5d07e9b81e2c57420923f3736941f3d8d1b4ead5c7dcdd3c61addc34f523ec,0.000000,0.936170,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_23.II,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_23.II.xml,"Vincenzo Bellini a destinatario sconosciuto, in Parigi, 10 maggio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_23.II.txt,315,52,18,85f22129774953d8b1b59ba546f9e093f40ef247581fe9ee0275b0f8db158f5f,66cc658949313a7b7c1512ec857f51d2af9491a037e6c2c645bfc74811a6aba8,0.288462,0.972112,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_24.I,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_24.I.xml,"Vincenzo Bellini a destinatario sconosciuto, in Parigi, [maggio 1835]",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_24.I.txt,529,85,25,68c76d4845effc05e745adb8ce49ba39ff5e92c82439f70cf7d8338eef07f768,fa318d6185d04abeb9311bb23524801ef1cce3078f363e8d97d433cb0f7cc858,0.223529,0.976636,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_24.II,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_24.II.xml,"Vincenzo Bellini a destinatario sconosciuto, in Parigi, [maggio 1835]",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_24.II.txt,230,41,15,320b258b54bc662af6b9bda5c3e922a6ebc73b18c2b1a97a3de5cc64a7d1720e,b80899024c212c797512d61f649f400343703b9818956ce8d94b3cfaea51df60,0.024390,0.972067,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_25,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_25.xml,"Vincenzo Bellini a Filippo Santocanale, in Parigi, [14 maggio 1835]",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_25.txt,2633,441,102,7f2537fff78d73ff219d1d194350f066a2f231488626adbd79c39c684f0fe304,6b1979b3e43515423b812390af9f8f4b4d37170fb0847ea560621114c5b10748,0.238095,0.949600,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_26,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_26.xml,"Vincenzo Bellini a Vincenzo Ferlito, in Parigi, 18 maggio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_26.txt,3583,627,154,297152bd3c81869d15b007787cfd9fb069f5a3df235ccf6e7340f1e373a94de8,5afd7ff459beae47babcf99654f7f9d21a5f788ce24a81daf9b67880832431b2,0.232855,0.960209,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_27,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_27.xml,"Vincenzo Bellini a Passero, Parigi, 23 maggio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_27.txt,720,123,50,d51ab6a66a2b0287eb55d06322d9542869f88425a43022dd8779d817875e9b5b,30a4d0a5f8ecada016b1c1638cff39ab457f857ba5b05804abe8c986fc2e3c3f,0.219512,0.947183,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_28,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_28.xml,"Vincenzo Bellini a Pietro Ponzani, in Parigi, 30 maggio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_28.txt,741,144,46,9709097bf317501e59fd23a13b6e25dd0dbba3cb4ca6def89caace867613e2f8,137b8146ab25db15bb1ad233d3d96157f812e0f56abdfb7e662bb8f64cd485de,0.229167,0.945804,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_29,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_29.xml,"Vincenzo Bellini a Pietro Ponzani, in Parigi, 30 maggio 1835",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_29.txt,1024,182,54,9ed1795445b2daec23f44ed7bd21f8335e5d16f4aa5b5cb243ecadbe211bd9e6,dfafa9297545a504883d83fe8479ede4c52b7983a220792f68968246af080574,0.214286,0.953317,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
ilc_bellini:LL1_3,ilc_bellini,ilc_cnr_historical_corpora,encoding-main/LL1_3.xml,"Vincenzo Bellini a Giuditta Turina, in Venezia, 24 febbraio 1830",Vincenzo Bellini,ottocento_bridge_capped,data/local/ilc_ota_source_audit_v1/cleaned/ilc_bellini_LL1_3.txt,764,134,47,8f1f6843d231ee78684be6ec9216422f862482fc4c6dbfa495453c94189de830,21093971077a3c5f86ed2f2ef78448a12e30229cf791aa6d49829aaef903e4f9,0.186567,0.955372,,,,,,eligible_checkpoint_7_canonicalization_inactive,inactive_probe_only,
