review_id,checkpoint_4b_decision,review_unit_type,work_root_count,projected_wikitext_bytes,work_root_ids,representative_root_titles,scan_titles,scan_title_language_signals,scan_group_conditioned_count,scan_group_nonitalian_count,scan_group_nonstandard_hold_count,review_status,required_action,activation_status
itws-4b-review-0001,hold_multiple_source_scans,work_root,1,85923,itws:739585,"Poesie (Campanella, 1938)","Campanella, Tommaso – Poesie, 1915 – BEIC 1777758.djvu | Campanella, Tommaso – Poesie, 1938 – BEIC 1778417.djvu",,0,0,0,unresolved_hold,Select and justify one edition or define non-overlapping edition segments.,metadata_only_not_activated
itws-4b-review-0002,hold_multiple_source_scans,work_root,1,102412,itws:855643,Trattato completo di agricoltura,"Cantoni - Trattato completo di agricoltura, 1855, I.djvu | Gaetano Cantoni - Trattato completo di agricoltura, 1855.djvu",,0,0,0,unresolved_hold,Select and justify one edition or define non-overlapping edition segments.,metadata_only_not_activated
itws-4b-review-0003,hold_multiple_source_scans,work_root,1,6665,itws:279023,Scelte opere di Ugo Foscolo,Inni di Callimaco.djvu | Opere scelte di Ugo Foscolo I.djvu | Opere scelte di Ugo Foscolo II.djvu,,0,1,0,unresolved_hold,Select and justify one edition or define non-overlapping edition segments.,metadata_only_not_activated
itws-4b-review-0004,hold_no_direct_scan_link,work_root,1,801,itws:19974,8 aprile 1887,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0005,hold_no_direct_scan_link,work_root,1,998,itws:14074,A Bergamo,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0006,hold_no_direct_scan_link,work_root,1,1111,itws:3232,A Carlo Porta,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0007,hold_no_direct_scan_link,work_root,1,2780,itws:356923,A caso in terra caddero,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0008,hold_no_direct_scan_link,work_root,1,1143,itws:4161,A Ferrer,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0009,hold_no_direct_scan_link,work_root,1,1083,itws:63940,A frate Guittone,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0010,hold_no_direct_scan_link,work_root,1,1501,itws:3293,"A Giulio, lodatore di ""pazzi sonettanti"", o classicisti",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0011,hold_no_direct_scan_link,work_root,1,1139,itws:26151,A la stagion che 'l mondo foglia e fiora (Ricciardi),,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0012,hold_no_direct_scan_link,work_root,1,3001,itws:36263,A pena pare ch'io saccia cantare,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0013,hold_no_direct_scan_link,work_root,1,3816,itws:62617,A qualunque animal che vive in terra,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0014,hold_no_direct_scan_link,work_root,1,1452,itws:168357,A' piè dell'Etna,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0015,hold_no_direct_scan_link,work_root,1,1134,itws:68923,Abbi Pietà!,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0016,hold_no_direct_scan_link,work_root,1,764,itws:31908,"Abbi, musica bella",,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0017,hold_no_direct_scan_link,work_root,1,1416,itws:70228,Addio a Lugano,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0018,hold_no_direct_scan_link,work_root,1,1319,itws:8429,Addio addio amore,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0019,hold_no_direct_scan_link,work_root,1,1050,itws:4129,Addio bella addio!,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
