sample_id,work_root_id,root_title,metadata_decision,proposed_role,representative_page_id,representative_page_title,representative_revision_id,page_wikitext_bytes,rendered_html_characters,visible_text_characters,alphabetic_ratio,italian_function_word_hits,italian_function_word_ratio,primary_text_signal,inspection_decision,source_url
itws-sample-001,itws:394835,Questa in ricca tabella,historical_core_metadata_candidate,historical_general,394835,Questa in ricca tabella,3748962,601,16975,353,0.767705,19,0.275362,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Questa_in_ricca_tabella
itws-sample-002,itws:891743,Già tornano le chiome agli arboscelli,historical_core_metadata_candidate,historical_general,891743,Già tornano le chiome agli arboscelli,3696233,658,20105,1216,0.768092,47,0.213636,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Gi%C3%A0_tornano_le_chiome_agli_arboscelli
itws-sample-003,itws:746860,Poi che senza pietá da te me scacce,historical_core_metadata_candidate,historical_non_sonnet_poetry,746860,Poi che senza pietá da te me scacce,3823058,905,18355,604,0.741722,21,0.175,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Poi_che_senza_piet%C3%A1_da_te_me_scacce
itws-sample-004,itws:916455,"Oro, dolce diletto",historical_core_metadata_candidate,historical_non_sonnet_poetry,916455,"Oro, dolce diletto",3736856,672,24121,2255,0.76408,65,0.167526,True,sample_primary_text_signal_pass,"https://it.wikisource.org/wiki/Oro,_dolce_diletto"
itws-sample-005,itws:620151,Pietro Coppo Del sito de listria a Iosepho Faustino,historical_core_metadata_candidate,historical_general,620151,Pietro Coppo Del sito de listria a Iosepho Faustino,3821629,975,96804,246,0.845528,6,0.1875,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Pietro_Coppo_Del_sito_de_listria_a_Iosepho_Faustino
itws-sample-006,itws:72123,Custodi di quella fede,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,72123,Custodi di quella fede,3681445,19133,30210,18630,0.813634,814,0.270972,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Custodi_di_quella_fede
itws-sample-007,itws:20627,Notizia intorno a Didimo Chierico,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,20627,Notizia intorno a Didimo Chierico,3836866,959,30704,162,0.820988,2,0.066667,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Notizia_intorno_a_Didimo_Chierico
itws-sample-008,itws:213238,Le confessioni di un ottuagenario,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,213238,Le confessioni di un ottuagenario,3721022,1095,35643,337,0.709199,5,0.076923,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Le_confessioni_di_un_ottuagenario
itws-sample-009,itws:72115,Le armi valorose,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,72115,Le armi valorose,3720619,4424,15459,3975,0.820881,165,0.259434,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Le_armi_valorose
itws-sample-010,itws:575630,Memorie di un pulcino (1918),nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,575630,Memorie di un pulcino (1918),3730045,1052,28291,226,0.845133,5,0.15625,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Memorie_di_un_pulcino_(1918)
itws-sample-011,itws:797265,Ats di aministrazion dai Cjamerârs di Sante Marie Maiôr di Glemone,conditioned_language_candidate,conditioned_language_variant,797265,Ats di aministrazion dai Cjamerârs di Sante Marie Maiôr di Glemone,3673899,3400,15263,2799,0.733834,136,0.256604,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Ats_di_aministrazion_dai_Cjamer%C3%A2rs_di_Sante_Marie_Mai%C3%B4r_di_Glemone
itws-sample-012,itws:791875,Biello dumlo di valor,conditioned_language_candidate,conditioned_language_variant,791875,Biello dumlo di valor,3674979,2884,14042,2386,0.76865,57,0.112205,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Biello_dumlo_di_valor
itws-sample-013,itws:251387,La riprovatione,conditioned_language_candidate,conditioned_language_variant,251387,La riprovatione,3717109,468,13144,67,0.701493,3,0.272727,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/La_riprovatione
itws-sample-014,itws:1010446,Resposta a ona lettera d'on amis,conditioned_language_candidate,conditioned_language_variant,1010446,Resposta a ona lettera d'on amis,3824179,638,23203,2167,0.728196,83,0.201946,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Resposta_a_ona_lettera_d'on_amis
itws-sample-015,itws:804758,O beàz in chest mont iu agricoltórs,conditioned_language_candidate,conditioned_language_variant,804758,O beàz in chest mont iu agricoltórs,3734600,1691,12685,1141,0.78177,55,0.244444,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/O_be%C3%A0z_in_chest_mont_iu_agricolt%C3%B3rs
itws-sample-016,itws:1011183,Eldorado (Poe-Ortensi),hold_translation_edition_review,metadata_hold,1011183,Eldorado (Poe-Ortensi),3800855,593,15066,533,0.776735,26,0.268041,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Eldorado_(Poe-Ortensi)
itws-sample-017,itws:926339,Inni di Callimaco (1827),hold_translation_edition_review,metadata_hold,926339,Inni di Callimaco (1827),3809167,829,21663,117,0.846154,2,0.111111,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Inni_di_Callimaco_(1827)
itws-sample-018,itws:883172,Una mistificazione,hold_translation_edition_review,metadata_hold,883172,Una mistificazione,3829979,621,46444,17946,0.808983,761,0.262958,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Una_mistificazione
itws-sample-019,itws:265226,Deuteronomio (Diodati 1821),hold_translation_edition_review,metadata_hold,265226,Deuteronomio (Diodati 1821),3684923,1844,42849,358,0.787709,2,0.026667,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Deuteronomio_(Diodati_1821)
itws-sample-020,itws:1008162,Il crollo della casa Usher,hold_translation_edition_review,metadata_hold,1008162,Il crollo della casa Usher,3807302,655,77573,44183,0.810855,1816,0.259243,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Il_crollo_della_casa_Usher
itws-sample-021,itws:484572,Comunicato dell'11 febbraio 1965,exclude_post_1900_scope,excluded,484572,Comunicato dell'11 febbraio 1965,3679895,1513,12332,1101,0.812897,47,0.273256,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Comunicato_dell'11_febbraio_1965
itws-sample-022,itws:790773,Mors tua...,exclude_post_1900_scope,excluded,790773,Mors tua...,3731584,803,24874,184,0.793478,1,0.035714,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Mors_tua...
itws-sample-023,itws:512291,Gl'ingannati,exclude_post_1900_scope,excluded,512291,Gl'ingannati,3696251,755,21334,135,0.82963,2,0.083333,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Gl'ingannati
itws-sample-024,itws:19770,Inno alle navi italiane,exclude_post_1900_scope,excluded,19770,Inno alle navi italiane,3709456,887,12027,432,0.796296,12,0.16,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Inno_alle_navi_italiane
itws-sample-025,itws:41839,"L. 25 marzo 1985, n. 121 - Ratifica ed esecuzione dell'accordo, con protocollo addizionale, firmato a Roma il 18 febbraio 1984, che apporta modificazioni al Concordato lateranense dell'11 febbraio 1929, tra la Repubblica italiana e la Santa Sede",exclude_post_1900_scope,excluded,41839,"L. 25 marzo 1985, n. 121 - Ratifica ed esecuzione dell'accordo, con protocollo addizionale, firmato a Roma il 18 febbraio 1984, che apporta modificazioni al Concordato lateranense dell'11 febbraio 1929, tra la Repubblica italiana e la Santa Sede",3770390,23325,40524,21386,0.824231,748,0.240979,True,sample_primary_text_signal_pass,"https://it.wikisource.org/wiki/L._25_marzo_1985,_n._121_-_Ratifica_ed_esecuzione_dell'accordo,_con_protocollo_addizionale,_firmato_a_Roma_il_18_febbraio_1984,_che_apporta_modificazioni_al_Concordato_lateranense_dell'11_febbraio_1929,_tra_la_Repubblica_italiana_e_la_Santa_Sede"
itws-sample-026,itws:892657,Sentenze e detti memorabili,hold_period_or_work_identity,metadata_hold,892657,Sentenze e detti memorabili,3758876,6225,77116,2555,0.843444,117,0.309524,True,sample_primary_text_signal_pass,https://it.wikisource.org/wiki/Sentenze_e_detti_memorabili
itws-sample-027,itws:871179,La chioma,hold_period_or_work_identity,metadata_hold,871179,La chioma,3140306,49,1294,52,0.788462,3,0.3,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/La_chioma
itws-sample-028,itws:844783,"Rinascete, architetti: incendio insano",hold_period_or_work_identity,metadata_hold,844783,"Rinascete, architetti: incendio insano",3755051,656,16532,531,0.789077,15,0.159574,True,sample_primary_text_signal_pass,"https://it.wikisource.org/wiki/Rinascete,_architetti:_incendio_insano"
itws-sample-029,itws:793542,L’Argonautica,hold_period_or_work_identity,metadata_hold,793542,L’Argonautica,2808717,25,1212,28,0.857143,1,0.25,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/L%E2%80%99Argonautica
itws-sample-030,itws:42692,Aprile (Sonetti dei mesi),hold_period_or_work_identity,metadata_hold,42692,Aprile (Sonetti dei mesi),3296255,52,1319,55,0.818182,2,0.2,False,sample_requires_page_level_review,https://it.wikisource.org/wiki/Aprile_(Sonetti_dei_mesi)
