work_root_id,root_title,landing_page_url,proposed_role,period_bucket,author_evidence,hierarchy_page_count,selected_leaf_page_count,matched_main_page_count,direct_scan_title,extraction_patterns,required_proofread_page_count,matched_proofread_page_count,missing_proofread_pages,revision_mismatches,extracted_character_count,extracted_word_count,nonempty_line_count,normalized_word_sha256,quality_flags,unresolved_markup,internal_exact_duplicate_ids,internal_near_duplicate_metrics,bibit_overlap_metrics,gutenberg_previous_pool_overlap_metrics,gutenberg_pass_1b_overlap_metrics,gutenberg_resolved_overlap_metrics,existing_project_corpus_overlap_metrics,protected_v6_overlap_metrics,rendered_validation_status,rendered_validation_min_containment,checkpoint_4c_decision,review_reason,local_text_cache_path,activation_status
itws:478864,516 proverbi sul cavallo,https://it.wikisource.org/wiki/516_proverbi_sul_cavallo,nineteenth_century_bridge,nineteenth_century,Carlo Volpini,13,12,12,Volpini - 516 proverbi sul cavallo.djvu,pages_range,191,191,,,224050,37464,1531,27524b7025539d134ef5e8a09068c09fa31ed52b3174c4ae1c56edda5f2d0d76,editorial_marker;language_variety_marker;removed_wikitable;transcription_gap_template,,,,,,,,,,not_in_bounded_sample,,hold_quality_or_editorial_review,Quality or editorial signals require bounded review.,data/local/wikisource/page_extraction_v1/root_texts/itws_478864.txt,local_interim_not_activated
itws:845387,"A biondo crin, che scarmigliato e vago","https://it.wikisource.org/wiki/A_biondo_crin,_che_scarmigliato_e_vago",historical_non_sonnet_poetry,origins_through_1800,Antonio Muscettola,1,1,1,AA. VV. - Lirici marinisti.djvu,pages_range,1,1,,,571,106,16,94b1169703dd2514a4605ba9dc6a1bb927e834525fd4b351065fa81a95cc23b3,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_845387.txt,local_interim_not_activated
itws:746663,"A buona se' condotto, ser Chiavello","https://it.wikisource.org/wiki/A_buona_se'_condotto,_ser_Chiavello",historical_non_sonnet_poetry,origins_through_1800,Mino da Colle,1,1,1,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu",pages_range,1,1,,,603,122,18,d3563325626be15c79edadd03977aaaa3a9597e93ba2bb9f357f2d3e302fa5df,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_746663.txt,local_interim_not_activated
itws:13618,A Carlo Alberto di Savoia un Italiano,https://it.wikisource.org/wiki/A_Carlo_Alberto_di_Savoia_un_Italiano,nineteenth_century_bridge,nineteenth_century,Giuseppe Mazzini,3,2,2,A Carlo Alberto di Savoia un Italiano.djvu,pages_range,14,14,,,42576,7127,82,1017fbdaa31f007f840540366d169f1ad24397084ddb62d337276d0004c20c92,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_13618.txt,local_interim_not_activated
itws:886632,A Carlo Alberto Re,https://it.wikisource.org/wiki/A_Carlo_Alberto_Re,nineteenth_century_bridge,nineteenth_century,Mauro Colonnetti,1,1,1,Colonnetti - Ode a Carlo Alberto Re.djvu,pages_range,5,5,,,1726,324,53,fba30e6eafa3352a5805be824fcdb9e872dcb9b3d5a259bd754b0bfaa43b649b,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_886632.txt,local_interim_not_activated
itws:67279,"A che pur sempre piangi, anima trista","https://it.wikisource.org/wiki/A_che_pur_sempre_piangi,_anima_trista",historical_non_sonnet_poetry,origins_through_1800,Jacopo Sannazaro,1,1,1,"Sannazzaro, Iacopo – Opere volgari, 1961 – BEIC 1914951.djvu",pages_range,1,1,,,785,139,27,ca60ee51a87150d0cb9e001b8a16e28906c2e8535cafc4cb354a847124f46359,,,itws:67274,,,,,,,,not_in_bounded_sample,,hold_duplicate_review,A threshold internal or cross-corpus overlap requires canonical review.,data/local/wikisource/page_extraction_v1/root_texts/itws_67279.txt,local_interim_not_activated
itws:883542,A che stancarsi all'Oceáno in seno?,https://it.wikisource.org/wiki/A_che_stancarsi_all'Oce%C3%A1no_in_seno%3F,historical_general,origins_through_1800,Gabriello Chiabrera,1,1,1,Opere (Chiabrera).djvu,pages_range,1,1,,,2834,511,112,3a7d5affa951768e234a84071f7940431e3b0cba756b11c1f32a5c4da83fc399,,,itws:883541;itws:883543;itws:883544;itws:883546,,,,,,,,not_in_bounded_sample,,hold_duplicate_review,A threshold internal or cross-corpus overlap requires canonical review.,data/local/wikisource/page_extraction_v1/root_texts/itws_883542.txt,local_interim_not_activated
itws:562267,A che sul tergo Amor sì forti vanni,https://it.wikisource.org/wiki/A_che_sul_tergo_Amor_s%C3%AC_forti_vanni,historical_non_sonnet_poetry,origins_through_1800,Paolo Falconieri,1,1,1,"Zappi, Maratti - Rime I.pdf",pages_range,1,1,,,576,116,15,f83b487e0212dc19958a75a463cfb1fc4de6b26b2a50aa708eafdf91ef5ca660,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_562267.txt,local_interim_not_activated
itws:746042,A chi nol sa non lasci Dio provare,https://it.wikisource.org/wiki/A_chi_nol_sa_non_lasci_Dio_provare,historical_non_sonnet_poetry,origins_through_1800,Cecco Angiolieri,1,1,1,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu",pages_range,1,1,,,1160,235,32,f4e23dfb520c1e522dd92d9f15c4717f13a7aebf118d67cb84cf69f8bc3419d4,,,itws:746041,,,,,,,,not_in_bounded_sample,,hold_duplicate_review,A threshold internal or cross-corpus overlap requires canonical review.,data/local/wikisource/page_extraction_v1/root_texts/itws_746042.txt,local_interim_not_activated
itws:746103,A cosa fatta non vale pentére,https://it.wikisource.org/wiki/A_cosa_fatta_non_vale_pent%C3%A9re,historical_non_sonnet_poetry,origins_through_1800,Cecco Angiolieri,1,1,1,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu",pages_range,1,1,,,1145,217,32,cef9a3f643cf6fa845ba360da928edade74725954fe1ecb37a5ebf5b2f2eabc1,,,itws:746102,,,,,,,,not_in_bounded_sample,,hold_duplicate_review,A threshold internal or cross-corpus overlap requires canonical review.,data/local/wikisource/page_extraction_v1/root_texts/itws_746103.txt,local_interim_not_activated
itws:745999,A cui è 'n grado de l'Amor dir male,https://it.wikisource.org/wiki/A_cui_%C3%A8_'n_grado_de_l'Amor_dir_male,historical_non_sonnet_poetry,origins_through_1800,Cecco Angiolieri,1,1,1,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu",pages_range,1,1,,,1134,235,32,06d3526c3dc479c9442f00413dd02d0e6537c730c146b36f256865d545bb13ff,,,itws:745998,,,,,,,,not_in_bounded_sample,,hold_duplicate_review,A threshold internal or cross-corpus overlap requires canonical review.,data/local/wikisource/page_extraction_v1/root_texts/itws_745999.txt,local_interim_not_activated
itws:79730,A Dio (Pellico),https://it.wikisource.org/wiki/A_Dio_(Pellico),nineteenth_century_bridge,nineteenth_century,Silvio Pellico,1,1,1,Poesie inedite di Silvio Pellico I.djvu,pages_range,4,4,,,2838,545,75,8ff7edc3c1743ed5e8fe28caf885560534047c159ec4c46e75e6d7aab3195682,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_79730.txt,local_interim_not_activated
itws:742874,A Dio (Prati),https://it.wikisource.org/wiki/A_Dio_(Prati),standard_sonnets,nineteenth_century,Giovanni Prati,1,1,1,"Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu",pages_range,1,1,,,1131,209,32,3f4df918fbbc601650cef2bf58c02cd1addb637dd2b90e63258c449afb423bfb,,,itws:742873,,,,,,,,not_in_bounded_sample,,hold_duplicate_review,A threshold internal or cross-corpus overlap requires canonical review.,data/local/wikisource/page_extraction_v1/root_texts/itws_742874.txt,local_interim_not_activated
itws:893203,A duro stral di ria ventura,https://it.wikisource.org/wiki/A_duro_stral_di_ria_ventura,historical_general,origins_through_1800,Gabriello Chiabrera,1,1,1,Opere (Chiabrera).djvu,pages_range,2,2,,,891,173,30,f59b5f228d0a09bc631feb61cf34f1b777d42487577c140d7c77076107bd6b82,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_893203.txt,local_interim_not_activated
itws:742879,A Eugenia giovinetta di quattordici anni,https://it.wikisource.org/wiki/A_Eugenia_giovinetta_di_quattordici_anni,standard_sonnets,nineteenth_century,Giovanni Prati,1,1,1,"Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu",pages_range,3,3,,,1603,278,66,a8c9fbb682685c3aef60f270f1ec6b3abdae2c4d940ecc3f9e840b8274431de5,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_742879.txt,local_interim_not_activated
itws:989279,A Febo un dì chiedei,https://it.wikisource.org/wiki/A_Febo_un_d%C3%AC_chiedei,historical_non_sonnet_poetry,origins_through_1800,Pompeo Rinaldi,1,1,1,"Zappi, Maratti - Rime II.pdf",pages_range,5,5,,,3440,631,145,9e26878c168839f8c6097e85e601b36c2a05c8ae32af47194d19ce5db68bcb81,,,,,,,,,,,not_in_bounded_sample,,eligible_inactive_pending_processed_build,Extraction and overlap gates passed; activation remains a later checkpoint.,data/local/wikisource/page_extraction_v1/root_texts/itws_989279.txt,local_interim_not_activated
