work_root_id,root_title,metadata_decision,proposed_role,linking_page_count,linking_page_ids,scan_title,scan_url,scan_page_id,scan_revision_id,scan_touched_utc,scan_wikitext_bytes,scan_is_redirect,scan_exists_in_dump,scan_shared_root_count,scan_shared_candidate_count,scan_shared_conditioned_count,scan_shared_nonitalian_count,scan_shared_nonstandard_hold_count,scan_shared_existing_reference_count,scan_title_language_signals,activation_status
itws:307090,'Na precavuzzione,nineteenth_century_bridge_metadata_candidate,standard_sonnets,1,307090,Sonetti romaneschi IV.djvu,https://it.wikisource.org/wiki/Indice:Sonetti_romaneschi_IV.djvu,305744,3499202,2026-07-30T22:32:14Z,36807,False,True,404,250,0,0,0,0,romanesco,metadata_only_not_activated
itws:306812,'Na resìa bbell'e bbona,nineteenth_century_bridge_metadata_candidate,standard_sonnets,1,306812,Sonetti romaneschi III.djvu,https://it.wikisource.org/wiki/Indice:Sonetti_romaneschi_III.djvu,305743,3842978,2026-07-30T22:32:14Z,35377,False,True,403,255,0,0,0,0,romanesco,metadata_only_not_activated
itws:308456,'Na ssciacquata de bbocca,nineteenth_century_bridge_metadata_candidate,standard_sonnets,1,308456,Sonetti romaneschi V.djvu,https://it.wikisource.org/wiki/Indice:Sonetti_romaneschi_V.djvu,305745,3831587,2026-07-30T22:34:01Z,38937,False,True,404,213,0,0,0,0,romanesco,metadata_only_not_activated
itws:478864,516 proverbi sul cavallo,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,13,478864 | 478893 | 478907 | 478950 | 478966 | 479016 | 479042 | 479066 | 479067 | 479068 | 479069 | 479070 | 479612,Volpini - 516 proverbi sul cavallo.djvu,https://it.wikisource.org/wiki/Indice:Volpini_-_516_proverbi_sul_cavallo.djvu,478825,2618483,2026-07-30T07:33:11Z,1585,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:845387,"A biondo crin, che scarmigliato e vago",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,845387,AA. VV. - Lirici marinisti.djvu,https://it.wikisource.org/wiki/Indice:AA._VV._-_Lirici_marinisti.djvu,515484,2837511,2026-07-30T08:48:30Z,8794,False,True,583,173,0,0,0,0,,metadata_only_not_activated
itws:746663,"A buona se' condotto, ser Chiavello",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,746663,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",600609,3867578,2026-07-30T19:02:00Z,5834,False,True,442,381,0,0,0,33,,metadata_only_not_activated
itws:13618,A Carlo Alberto di Savoia un Italiano,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,3,13618 | 265931 | 265932,A Carlo Alberto di Savoia un Italiano.djvu,https://it.wikisource.org/wiki/Indice:A_Carlo_Alberto_di_Savoia_un_Italiano.djvu,257481,2548542,2026-07-29T23:12:51Z,429,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:886632,A Carlo Alberto Re,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,1,886632,Colonnetti - Ode a Carlo Alberto Re.djvu,https://it.wikisource.org/wiki/Indice:Colonnetti_-_Ode_a_Carlo_Alberto_Re.djvu,886617,3210195,2026-07-31T00:22:33Z,295,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:67279,"A che pur sempre piangi, anima trista",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,67279,"Sannazzaro, Iacopo – Opere volgari, 1961 – BEIC 1914951.djvu","https://it.wikisource.org/wiki/Indice:Sannazzaro,_Iacopo_%E2%80%93_Opere_volgari,_1961_%E2%80%93_BEIC_1914951.djvu",625974,3545111,2026-07-30T09:40:25Z,32765,False,True,153,142,0,0,0,1,,metadata_only_not_activated
itws:883542,A che stancarsi all'Oceáno in seno?,historical_core_metadata_candidate,historical_general,1,883542,Opere (Chiabrera).djvu,https://it.wikisource.org/wiki/Indice:Opere_(Chiabrera).djvu,281096,3593337,2026-08-03T21:27:54Z,3340,False,True,574,531,0,0,0,0,,metadata_only_not_activated
