unit_id,final_role,source_group,source_id,title,author,component_id,component_key,token_count,split,component_decision,oversize_component
bibit:record:bibit000001,historical_general,bibit,bibit000001,Tragedia di Antigone,"Alamanni, Luigi",component:a1b3053cce3525b8,author:alamanni luigi,21450,train,oversize_component_retained_training,true
bibit:record:bibit000002,historical_non_sonnet_poetry,bibit,bibit000002,Rime,"Alberti, Leon Battista",component:1c41bbb23e5df630,author:alberti battista leon,13864,train,deterministic_training_component,false
bibit:record:bibit000003,historical_general,bibit,bibit000003,Cena familiaris,"Alberti, Leon Battista",component:1c41bbb23e5df630,author:alberti battista leon,6317,train,deterministic_training_component,false
bibit:record:bibit000005,historical_general,bibit,bibit000005,De pictura [Redazione volgare],"Alberti, Leon Battista",component:1c41bbb23e5df630,author:alberti battista leon,23227,train,deterministic_training_component,false
bibit:record:bibit000006,historical_general,bibit,bibit000006,Epistola consolatoria,"Alberti, Leon Battista",component:1c41bbb23e5df630,author:alberti battista leon,3681,train,deterministic_training_component,false
bibit:record:bibit000008,historical_general,bibit,bibit000008,Naufragus,"Alberti, Leon Battista",component:1c41bbb23e5df630,author:alberti battista leon,4009,train,deterministic_training_component,false
bibit:record:bibit000009,historical_general,bibit,bibit000009,Sentenze pitagoriche,"Alberti, Leon Battista",component:1c41bbb23e5df630,author:alberti battista leon,841,train,deterministic_training_component,false
bibit:record:bibit000010,historical_general,bibit,bibit000010,I libri della famiglia,"Alberti, Leon Battista",component:1c41bbb23e5df630,author:alberti battista leon,179089,train,deterministic_training_component,false
bibit:record:bibit000012,historical_general,bibit,bibit000012,Vita,"Alfieri, Vittorio",component:5688321110169905,author:alfieri vittorio,20437,train,deterministic_training_component,false
bibit:record:bibit000013,historical_general,bibit,bibit000013,Antigone,"Alfieri, Vittorio",component:5688321110169905,author:alfieri vittorio,20081,train,deterministic_training_component,false
bibit:record:bibit000014,historical_non_sonnet_poetry,bibit,bibit000014,Agide,"Alfieri, Vittorio",component:5688321110169905,author:alfieri vittorio,21015,train,deterministic_training_component,false
bibit:record:bibit000015,historical_general,bibit,bibit000015,Bruto primo,"Alfieri, Vittorio",component:5688321110169905,author:alfieri vittorio,19658,train,deterministic_training_component,false
bibit:record:bibit000016,historical_general,bibit,bibit000016,Bruto secondo,"Alfieri, Vittorio",component:5688321110169905,author:alfieri vittorio,20764,train,deterministic_training_component,false
