ebook_id,title,authors,preliminary_role,period_bucket,selection_reasons,status,error,fetched_url,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,editorial_marker_count,cleaned_sha256,first_characters,last_characters,possible_existing_work_matches,reference_overlap_metrics,max_reference_8gram_containment,content_duplicate_signal
997,Divina Commedia di Dante: Inferno,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,stratified_role_sample:historical_non_sonnet_poetry_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/997.txt.utf-8,197952,178629,34321,4828,0,0.232948,0.755051,0,65885d72a91c40293bd3f106bba53ba5eec6c100d5732b1e09c9a5595139349a,LA DIVINA COMMEDIA di Dante Alighieri CANTICA I: INFERNO Contents INFERNO Canto I. Canto II. Canto III. Canto IV. Canto V. Canto VI. Canto VII. Canto VIII. Canto IX. Canto X. Canto XI. Canto XII. Canto XIII.,"l cammino ascoso intrammo a ritornar nel chiaro mondo; e sanza cura aver d’alcun riposo, salimmo sù, el primo e io secondo, tanto ch’i’ vidi de le cose belle che porta ’l ciel, per un pertugio tondo. E quindi uscimmo a riveder le stelle.",,,,False
999,Divina Commedia di Dante: Paradiso,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,stratified_role_sample:historical_non_sonnet_poetry_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/999.txt.utf-8,195398,176071,33586,4863,0,0.249271,0.765697,0,aa96bf7ae1b9af78abfb5562a33f27409e6a1a5975ebbb031305f96087fb8384,LA DIVINA COMMEDIA di Dante Alighieri CANTICA III: PARADISO Contents PARADISO Canto I. Canto II. Canto III. Canto IV. Canto V. Canto VI. Canto VII. Canto VIII. Canto IX. Canto X. Canto XI. Canto XII. Canto XII,"ie penne: se non che la mia mente fu percossa da un fulgore in che sua voglia venne. A l’alta fantasia qui mancò possa; ma già volgeva il mio disio e ’l velle, sì come rota ch’igualmente è mossa, l’amor che move il sole e l’altre stelle.",,,,False
3747,Orlando Furioso,"Ariosto, Lodovico",historical_non_sonnet_poetry_candidate,origins_through_1800,stratified_role_sample:historical_non_sonnet_poetry_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/3747.txt.utf-8,1590600,1571209,279769,43629,0,0.261237,0.72678,0,28cac6e7ab170868a6e72c2759509bbdc0e926a251b7d619328e8cf642210aff,"Produced by Liber Liber (http://www.liberliber.it), with extensive corrections and HTML version by Barbara Magni. ORLANDO FURIOSO DI LUDOVICO ARI","io, il ferro del pugnale a Rodomonte tutto nascose, e si levò d'impaccio. Alle squalide ripe d'Acheronte, sciolta dal corpo più freddo che giaccio, bestemmiando fuggì l'alma sdegnosa, che fu sì altiera al mondo e sì orgogliosa.",,,,False
10215,"Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana","Rovani, Giuseppe",nineteenth_century_bridge_candidate,nineteenth_century_bridge,stratified_role_sample:nineteenth_century_bridge_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/10215.txt.utf-8,1213475,1193927,201836,19276,0,0.267821,0.794185,0,9940b9ffc4c9624e69c8235f338bededb7b68ea2cb709c41795a3c914376124a,"We thank the ""Biblioteca Sormani"" di Milano that has provided the images. This book has been completed in cooperation with the Progetto Manuzio, http://www.liberliber.it Claudio Paganelli, Carlo Traverso and the Online Distributed Proofre","delle cose sparse in tutto uno scritto è inutile anzi è ridicolo affannarsi di mostrar la ragione all'ultima pagina, se il lettore, anche tra il sonno e la veglia, non seppe coglierla da per sè, quando teneva il libro fra le mani. FINE",,,,False
15139,Notizie del pubblico giardino de' semplici di Padova compilate intorno l'anno 1771,"Marsili, Giovanni",historical_general_candidate,origins_through_1800,stratified_role_sample:historical_general_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/15139.txt.utf-8,50078,30497,4346,490,0,0.233548,0.728301,0,d1cab76111db2403a9c1b3ab2ef68ac87f9d0ff9eb355b5cd7f2e33f0652adcf,Produced In Memory of Sabine Glaser NOTIZIE DEL PUBBLICO GIARDINO DE' SEMPLICI DI PADOVA,"l'anno 1810, s'alza oggidì fuori del ricinto circolare del giardino non molto lungi dalla casa del professore. L'orto di Padova non ha quindi, nemmeno per questa parte, _che invidiare a qualunque altro dei più ricchi e celebrati d'Europa_.",,,,False
17671,Poesie scelte,"Pellico, Silvio",historical_non_sonnet_poetry_candidate,nineteenth_century_bridge,stratified_role_sample:historical_non_sonnet_poetry_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/17671.txt.utf-8,292395,272909,41179,6888,0,0.220501,0.669084,0,b51340963652db8464eb57d46099ac6da6a021e8624ce978387d27814dc92d83,"Produced by Carlo Traverso, Paganelli and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by the Bibliothèque nationale de France (BnF/Gallica) at http://gallica.",115 EBELINO 169 ILDEGARDE 213 AROLDO E CLARA 251 POESIE LIRICHE 277 FINE DELL'INDICE.,,,,False
17906,Libro proibito,"Ghislanzoni, Antonio",historical_non_sonnet_poetry_candidate,nineteenth_century_bridge,stratified_role_sample:historical_non_sonnet_poetry_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/17906.txt.utf-8,120001,100670,14665,2567,0,0.227753,0.690682,0,716573a8834a25ebd1cd2952a4e26789e5e77b915866f277b679e98bb74bf52f,"Produced by Carlo Traverso, Claudio Paganelli and the Online Distributed Proofreading Team at http://www.pgdp.net BIBLIOTECA MINIMA A. GHISLANZONI LIBRO PROIBITO MILANO TIPOGRAFIA EDITRICE LOMBARDA _Stabilimento_ Via Andre","r l'estero L. __6.50.__ Dirigere l'importo in vaglia o piego assicurato ad Antonio Ghislanzoni, Lecco.--Le commissioni per la vendita spicciola si ricevono a Milano presso la Tipografia Editrice Lombarda, Via Andrea Appiani, 10. Lire 2",,,,False
19428,Le nostalgie,"Gualdo, Luigi",historical_non_sonnet_poetry_candidate,nineteenth_century_bridge,stratified_role_sample:historical_non_sonnet_poetry_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/19428.txt.utf-8,100147,80740,12947,2185,0,0.238125,0.715643,0,2b4aaa476af2dca03101d8f6d878f3b8d69c562d954f537a6a5db37bc1be1d69,"Produced by Carlo Traverso, Claudio Paganelli and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by Biblioteca Sormani - Milano) LUIGI GUALDO LE NOSTA",199 XXXVI. A Ernesto Rossi 205 XXXVII. Venere Nera 213 XXXVIII. Interno 217 XXXIX. _In fondo ai chiari abissi prezïosi_ 219,,,,False
28355,La tabernaria,"Porta, Giambattista della",historical_general_candidate,origins_through_1800,stratified_role_sample:historical_general_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/28355.txt.utf-8,159220,139647,23927,2569,0,0.216826,0.779974,0,4c263e4c8739ca9637d81ddc683cf77f5dc231b7f384f558f612a0f55df8bf0d,Produced by Claudio Paganelli and the Online Distributed Proofreading Team at https://www.pgdp.net (Images generously made available by Editore Laterza and the Biblioteca Italiana at http://www.bibliotecaitaliana.it/ScrittoriItalia),"iti tutti e bolliti, menuzzati e annegati. PEDANTE. Spectatores, valete et plaudite. FINE DEL VOLUME PRIMO. INDICE La sorella pag. 1 La carbonaria » 95 La fantesca » 191 La tabernaria » 307",,,,False
29955,"Passeggiate per l'Italia, vol. 1","Gregorovius, Ferdinand",nineteenth_century_bridge_candidate,nineteenth_century_bridge,stratified_role_sample:nineteenth_century_bridge_candidate,sample_quality_pass,,https://www.gutenberg.org/ebooks/29955.txt.utf-8,458658,439098,72740,6642,0,0.259733,0.804069,1,05a11515d29ff191d8d3c8958c0f937d698028c897a517329eb036124b712a45,"Produced by Emanuela Piasentini, Barbara Magni and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive/Canadian Libraries)",. Grafie alternative mantenute: char à banc/char-à-banc danno/dànno È/E' geni/genî medio evo/medio-evo meta/mèta opifici/opificî pendio/pendìo promontori/promontorî studi/studî tempi/tempî volta/vôlta volte/vôlte,,,,False
