ebook_id,title,authors,preliminary_role,period_bucket,inventory_status,resolution_pass,final_period_bucket,final_role,metadata_final_decision,final_resolution_status,final_activation_class,landing_page_url,fetched_url,cache_status,probe_status,error,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,possible_existing_work_matches,metadata_intra_gutenberg_duplicate_ids,intra_gutenberg_exact_duplicate_ids,intra_gutenberg_near_duplicate_metrics,prior_gutenberg_overlap_metrics,prior_gutenberg_duplicate_scope,bibit_overlap_metrics,current_corpus_overlap_metrics,cross_corpus_duplicate_scope,heldout_sonnet_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_decision
7121,Da Firenze a Digione: Impressioni di un reduce Garibaldino,"Socci, Ettore",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/7121,https://www.gutenberg.org/ebooks/7121.txt.utf-8,hit,quality_pass,,519943,500253,82151,8152,0,0.264476,0.797794,0.000418,0,,,,46ea179af0ad4e70264e58b124aa8d5d097fd903f96d06e888e94b9b8c310c9f,86,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
7781,La Vita Sul Pianeta Marte,"Schiaparelli, G. V. (Giovanni Virginio)",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/7781,https://www.gutenberg.org/ebooks/7781.txt.utf-8,hit,quality_pass,,150984,131489,21145,2031,0,0.248948,0.80701,0.006495,0,,,,60421e924b34eb4b5d2a12a6f827586f0ac25b0bed68faea0350571f4160ef43,27,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
11206,Compendio di Chimica Fisiologica,"Cominelli, A. (Alfredo)",date_and_role_review,unknown,review_missing_period_evidence,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/11206,https://www.gutenberg.org/ebooks/11206.txt.utf-8,hit,quality_pass,,148581,129021,19709,2405,0,0.234614,0.7886,0.006371,1,alphabetical_index:1,,,ea584003881005be6b6feb0184f161abff3440b762469a4755aee2e588a29f6a,22,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
11492,Il Tenente dei Lancieri: Romanzo,"Rovetta, Gerolamo",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/11492,https://www.gutenberg.org/ebooks/11492.txt.utf-8,hit,quality_pass,,229051,209631,34381,3708,0,0.272767,0.77594,4.3e-05,0,,,,4e4dbd082f0b4ee43ca17d8851fc8ab10bca802bba03a1b2da599f7062a7bb10,24,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
11644,La notte del Commendatore,"Barrili, Anton Giulio",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/11644,https://www.gutenberg.org/ebooks/11644.txt.utf-8,hit,quality_pass,,677528,658035,111190,10739,0,0.270384,0.788648,8e-06,0,,,,ae1af3c0e113738deabf1c1de61bc9f6e2fd232b1d821d96eee4d9e56595fb30,95,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
11724,Roberta,"Zùccoli, Luciano",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/11724,https://www.gutenberg.org/ebooks/11724.txt.utf-8,hit,quality_pass,,287713,268297,43278,4508,0,0.259254,0.789122,0.000142,0,,,,c8db411750ba1cae8e413e5b7a01c78372517aedd9045b0342406b13e08e73cd,42,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
12446,Il Designato: Romanzo,"Zùccoli, Luciano",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/12446,https://www.gutenberg.org/ebooks/12446.txt.utf-8,hit,quality_pass,,398231,378761,61334,6393,0,0.243552,0.793104,5.5e-05,0,,,,633082de8968163f02e1648ad38b59fa899e2076e46254ad32b26d752a125175,80,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,historical_non_sonnet_poetry_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/17687,https://www.gutenberg.org/ebooks/17687.txt.utf-8,hit,quality_pass,,109943,90539,13620,2237,0,0.226065,0.683131,0.000475,0,,,,fdc91c550eeb3ae937349fe8a3bb48695e79f083eb0977491e150e1ddc10e1a1,16,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
17836,Nel paese dei dollari: Tre anni a New-York,"Rossi, Adolfo",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/17836,https://www.gutenberg.org/ebooks/17836.txt.utf-8,hit,quality_pass,,297738,278189,45101,4507,0,0.274584,0.804917,0.001499,0,,,,59a14c1d4d63ce4a4b81aa040df54bd69edb11d421ef7552c1ed68771f7934a5,41,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
17850,La pergamena distrutta: Romanzo del secolo XVI,"Mulazzi, Virginia",date_and_role_review,unknown,review_missing_period_evidence,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/17850,https://www.gutenberg.org/ebooks/17850.txt.utf-8,hit,quality_pass,,764487,744914,119691,13721,0,0.241455,0.776691,7.4e-05,0,,,,02fa7bdb1ebcfe59659e309c4b0d911b4b872a274aecdaecc8e2d71406b116c1,122,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
