ebook_id,title,authors,preliminary_role,period_bucket,inventory_status,landing_page_url,fetched_url,cache_status,probe_status,error,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,possible_existing_work_matches,metadata_intra_gutenberg_duplicate_ids,intra_gutenberg_exact_duplicate_ids,intra_gutenberg_near_duplicate_metrics,bibit_overlap_metrics,current_corpus_overlap_metrics,cross_corpus_duplicate_scope,heldout_sonnet_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_decision
997,Divina Commedia di Dante: Inferno,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/997,https://www.gutenberg.org/ebooks/997.txt.utf-8,hit,quality_pass,,197952,178629,34321,4828,0,0.232948,0.755051,0.0,0,,,,c8fc4ecdfa94db1620ae5a9262e8fbbf4b6b445a7d9dccf5150f9db25f95ae4e,33,,,,pg1000|containment=0.999534;pg1009|containment=0.992807;pg1012|containment=0.997464,bibit:bibit000019|candidate_containment=0.982044|reference_containment=0.331268|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
998,Divina Commedia di Dante: Purgatorio,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/998,https://www.gutenberg.org/ebooks/998.txt.utf-8,hit,quality_pass,,198491,179156,34230,4860,0,0.237336,0.758127,0.0,0,,,,1da13a9d471e11f04cb8a27a0e6a0f460907f256674abd28d77c97d695962fa9,22,,,,pg1000|containment=0.999503;pg1010|containment=0.997750;pg1012|containment=0.997750,bibit:bibit000019|candidate_containment=0.981679|reference_containment=0.330334|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
999,Divina Commedia di Dante: Paradiso,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/999,https://www.gutenberg.org/ebooks/999.txt.utf-8,hit,quality_pass,,195398,176071,33586,4863,0,0.249271,0.765697,0.0,0,,,,dea524170c836afe55abdcf64498328fbe0e2e2179672d69b532c6583dec3e2c,28,,,,pg1000|containment=0.999523;pg1011|containment=0.997707;pg1012|containment=0.997707,bibit:bibit000019|candidate_containment=0.978528|reference_containment=0.323068|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
1000,La Divina Commedia di Dante: Complete,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/1000,https://www.gutenberg.org/ebooks/1000.txt.utf-8,hit,quality_pass,,553027,533690,102114,14542,0,0.239801,0.759583,0.0,0,,,,08f32dd84aa0c6a446921e7df92ed55035f48c185368cd0c90b2fb1dc606dc24,83,,,,pg997|containment=0.999534;pg998|containment=0.999503;pg999|containment=0.999523;pg1009|containment=0.992807;pg1010|containment=0.997109;pg1011|containment=0.997054;pg1012|containment=0.999059,bibit:bibit000019|candidate_containment=0.981997|reference_containment=0.984681|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/1009,https://www.gutenberg.org/ebooks/1009.txt.utf-8,hit,quality_pass,,197246,177862,34215,4757,0,0.233699,0.755203,0.0,0,,,,64501bea91c95c352a23bbe24be70bd5e55d8211dbb4e66316148cbfee52e810,34,,,,pg997|containment=0.992807;pg1000|containment=0.992807;pg1012|containment=0.993070,bibit:bibit000019|candidate_containment=0.985351|reference_containment=0.331357|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/1010,https://www.gutenberg.org/ebooks/1010.txt.utf-8,hit,quality_pass,,208386,189035,34252,4820,0,0.237388,0.718809,0.0,0,,,,11b5ad7192d22200e1ed3cebe197ce95988491d808f74f51ae2793f0a8f6a9ba,22,,,,pg998|containment=0.997750;pg1000|containment=0.997109;pg1012|containment=0.999299,bibit:bibit000019|candidate_containment=0.981048|reference_containment=0.330334|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/1011,https://www.gutenberg.org/ebooks/1011.txt.utf-8,hit,quality_pass,,205304,185960,33608,4823,0,0.249316,0.725301,0.0,0,,,,17a42281dd6677070e55adcedf165b68557d40ddf0b2cf51d1f3061849d19b7e,28,,,,pg999|containment=0.997707;pg1000|containment=0.997054;pg1012|containment=0.999464,bibit:bibit000019|candidate_containment=0.977887|reference_containment=0.323068|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
1012,La Divina Commedia di Dante,Dante Alighieri,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/1012,https://www.gutenberg.org/ebooks/1012.txt.utf-8,hit,quality_pass,,581237,561753,101992,14365,0,0.240166,0.720635,0.0,0,,,,ed0504d60ae3bf9969550af9ce7420743d81af0740a6bbd5cf0aec85a827d0a7,83,,,,pg997|containment=0.997464;pg998|containment=0.997750;pg999|containment=0.997707;pg1000|containment=0.999059;pg1009|containment=0.993070;pg1010|containment=0.999299;pg1011|containment=0.999464,bibit:bibit000019|candidate_containment=0.982123|reference_containment=0.984769|exact=false,,candidate_covered,,,,exclude_cross_corpus_duplicate_candidate
3747,Orlando Furioso,"Ariosto, Lodovico",historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/3747,https://www.gutenberg.org/ebooks/3747.txt.utf-8,hit,quality_pass,,1590600,1571209,279769,43629,0,0.261237,0.72678,0.006295,0,,,,3d2782ef5beae68ca3d17a5a35f95cd95c6f0441186072f2957c50eb05df7e0e,270,,,,,,,,,,,quality_pass_pending_editorial_activation_review
6887,Il Sacro Macello Di Valtellina,"Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/6887,https://www.gutenberg.org/ebooks/6887.txt.utf-8,hit,quality_pass,,279980,260237,41703,4015,0,0.249143,0.804002,0.005337,0,,,,67bfffb9c6bcf3d07932321b01f0a5e36868e9917d842859a907c25f65a615c3,29,,,,,,,,,,,quality_pass_pending_editorial_activation_review
