ebook_id,title,authors,author_birth_years,author_death_years,languages,subjects,bookshelves,download_count,copyright,media_type,landing_page_url,plain_text_url,preliminary_role,period_bucket,inventory_status,genre_evidence,period_evidence,language_variety_evidence,translation_evidence,existing_project_source_ids,possible_existing_work_matches,intra_gutenberg_duplicate_ids,notes
1012,La Divina Commedia di Dante,Dante Alighieri,1265,1321,it,"Epic poetry, Italian;Italian poetry -- To 1400",Banned Books from Anne Haight's list;Category: Classics of Literature;Category: Poetry;Harvard Classics;IT Poesia;Poetry,26626,False,Text,https://www.gutenberg.org/ebooks/1012,https://www.gutenberg.org/ebooks/1012.txt.utf-8,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,Epic poetry,latest catalog author death year=1321,,,,,,Metadata-only role; full-text and edition audit required before activation.
61885,"Ricordi d'infanzia e di scuola: seguìti da Bambole e marionette, Gente minima, Piccoli studenti, Adolescenti, Due di spade e due di cuori","De Amicis, Edmondo",1846,1908,it,"De Amicis, Edmondo, 1846-1908",Category: Biographies;IT Biografie,23109,False,Text,https://www.gutenberg.org/ebooks/61885,https://www.gutenberg.org/ebooks/61885.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1908,,,,,,Metadata-only role; full-text and edition audit required before activation.
38720,L'amore che torna: romanzo,"Verona, Guido da",1881,1939,it,Italian fiction,Category: Novels;Category: Romance;IT Romanzi,17165,False,Text,https://www.gutenberg.org/ebooks/38720,https://www.gutenberg.org/ebooks/38720.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1939,,,,,,Metadata-only role; full-text and edition audit required before activation.
38628,Vecchie storie d'amore,"Albertazzi, Adolfo",1865,1924,it,"Fiction;Short stories, Italian",Category: Romance;Category: Short Stories;IT Racconti,16713,False,Text,https://www.gutenberg.org/ebooks/38628,https://www.gutenberg.org/ebooks/38628.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1924,,,,,,Metadata-only role; full-text and edition audit required before activation.
25178,Damiano: Storia di una povera famiglia,"Carcano, Giulio",1812,1884,it,Fiction,Category: Novels;IT Romanzi,15687,False,Text,https://www.gutenberg.org/ebooks/25178,https://www.gutenberg.org/ebooks/25178.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1884,,,,,,Metadata-only role; full-text and edition audit required before activation.
25179,La carità del prossimo,"Bersezio, Vittorio",1830,1900,it,Fiction,Category: Novels;IT Romanzi,11482,False,Text,https://www.gutenberg.org/ebooks/25179,https://www.gutenberg.org/ebooks/25179.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1900,,,,,,Metadata-only role; full-text and edition audit required before activation.
22501,Fino a Dogali,"Oriani, Alfredo",1852,1909,it,Essays,Category: Historical Novels;Category: Novels;IT Scienze politiche,11412,False,Text,https://www.gutenberg.org/ebooks/22501,https://www.gutenberg.org/ebooks/22501.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1909,,,,,,Metadata-only role; full-text and edition audit required before activation.
25587,I drammi de' campi: Padre Don Giuseppe—La vendetta—Proprietari e fittaiuoli— Sequestro.,"Raga, Emilio",,,it,Italian fiction,Category: Novels;IT Racconti,10768,False,Text,https://www.gutenberg.org/ebooks/25587,https://www.gutenberg.org/ebooks/25587.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.
25182,Documenti Umani,"De Roberto, Federico",1861,1927,it,"Italian fiction -- 19th century;Short stories, Italian",Category: Novels;IT Racconti,8478,False,Text,https://www.gutenberg.org/ebooks/25182,https://www.gutenberg.org/ebooks/25182.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1927,,,,,,Metadata-only role; full-text and edition audit required before activation.
22642,L'Innocente,"D'Annunzio, Gabriele",1863,1938,it,Italian fiction -- 19th century,Banned Books from Anne Haight's list;Category: Novels;IT Romanzi,8473,False,Text,https://www.gutenberg.org/ebooks/22642,https://www.gutenberg.org/ebooks/22642.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1938,,,,,,Metadata-only role; full-text and edition audit required before activation.
26961,Libro della divina dottrina: Dialogo della divina provvidenza,"Catherine, of Siena, Saint",1347,1380,it,Mysticism -- Catholic Church,Category: Philosophy & Ethics;Category: Religion/Spirituality;IT Religione e Spiritualità,8179,False,Text,https://www.gutenberg.org/ebooks/26961,https://www.gutenberg.org/ebooks/26961.txt.utf-8,historical_general_candidate,origins_through_1800,already_registered_project_gutenberg_source,,latest catalog author death year=1380,,,broader:pg_caterina_dialogo_26961,broader:pg_caterina_dialogo_26961,,Metadata-only role; full-text and edition audit required before activation.
28144,I manifesti del futurismo,"Marinetti, F. T.",1876,1944,it,Futurism (Art);Futurism (Literary movement),"Category: Art;Category: Essays, Letters & Speeches;IT Letteratura",8015,False,Text,https://www.gutenberg.org/ebooks/28144,https://www.gutenberg.org/ebooks/28144.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1944,,,,,,Metadata-only role; full-text and edition audit required before activation.
25210,Distruzione: Poema Futurista,"Marinetti, F. T.",1876,1944,it,Poetry,Category: Poetry;IT Poesia,7683,False,Text,https://www.gutenberg.org/ebooks/25210,https://www.gutenberg.org/ebooks/25210.txt.utf-8,historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,Poema,latest catalog author death year=1944,,,,,,Metadata-only role; full-text and edition audit required before activation.
19517,Le avventure di Pinocchio,"Collodi, Carlo",1826,1890,it,Fairy tales;Pinocchio (Fictitious character) -- Juvenile fiction;Puppets -- Juvenile fiction,IT Letteratura per ragazzi,7393,False,Sound,https://www.gutenberg.org/ebooks/19517,https://www.gutenberg.org/files/19517/19517.txt,excluded_non_text_or_non_italian,nineteenth_century_bridge,exclude_metadata_scope,,latest catalog author death year=1890,,,,bibit:bibit000139,,Metadata-only role; full-text and edition audit required before activation.
22026,"I demagoghi: O, I misteri di Livorno","Monteverde, Cesare",,,it,Fiction,Category: Novels;IT Romanzi,7188,False,Text,https://www.gutenberg.org/ebooks/22026,https://www.gutenberg.org/ebooks/22026.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.
