ebook_id,title,authors,author_birth_years,author_death_years,subjects,bookshelves,preliminary_role,period_bucket,inventory_status,landing_page_url,plain_text_url,fetched_url,cache_status,fetch_error,raw_character_count,cleaned_character_count,gutenberg_release_years,date_evidence_json,language_variety_evidence_json,selected_evidence_kind,selected_evidence_year_start,selected_evidence_year_end,selected_evidence_text,evidence_confidence,resolved_period_bucket,resolved_role,automatic_decision,resolution_status,manual_review_reasons,resolution_pass,authoritative_evidence_json,authoritative_selected_source,authoritative_record_id,authoritative_evidence_url,authoritative_evidence_year_start,authoritative_evidence_year_end,authoritative_evidence_text,authoritative_method,authoritative_confidence,authoritative_retrieved_at,authoritative_cache_sha256s,final_period_bucket,final_role,final_decision,final_resolution_status,final_activation_class,final_exclusion_reason
7267,Cardello,"Capuana, Luigi",1839,1915,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7267,https://www.gutenberg.org/ebooks/7267.txt.utf-8,https://www.gutenberg.org/ebooks/7267.txt.utf-8,hit,,155864,136438,2005;2012,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""b73c910471d240ff676f61423067a998353213f6312eb75a9145b07e2cc7bd58"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Cardello'; total=25; inspected=25; direct_matches=23"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CUB0159117"",""url"":""https://opac.sbn.it/bid/CUB0159117"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""9b30fc17e8624527750f0ad6280a674a4b33a6391661e94ce1aa49ddf5546215"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1907,""year_end"":1907,""text"":""Capuana, Luigi | Cardello : racconto / Luigi Capuana ; illustrato da G. G. Bruno | Milano [etc.] : R. Sandron, 1907"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""85eb15750a376929bfa43942470f3db6d77f9a9b884a40e61b9b000863b74e82"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Cardello'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,5698829d7d5b6b6d38e87c370cdfb67893166a3fe4595f58a9ace6a51fd022b2;a080dc5f4e611b201d669bbd5a6160517b7524ce1e1cac8a7e42e84d7a4c7848;f4d6be0cf9e4387366dd3ac76eb1a8cd5d83cd60f8cc96667008cf35cc914245,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
7459,Il Benefattore,"Capuana, Luigi",1839,1915,Italian literature,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7459,https://www.gutenberg.org/ebooks/7459.txt.utf-8,https://www.gutenberg.org/ebooks/7459.txt.utf-8,hit,,219105,199670,2005;2012,[],"{""marker_counts"":{""sicilian"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""dcdbb83ba0cb243b3ce07a74cb27c1ae763ee80c69ea2b9403e6658842f46c71"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Il Benefattore'; total=5; inspected=5; direct_matches=5"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""PAL0061535"",""url"":""https://opac.sbn.it/bid/PAL0061535"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""83fcd8429b5cd0b24771f95ac6b6c9debb88555338eba2393c66aff746605312"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1901,""year_end"":1901,""text"":""Capuana, Luigi | Il benefattore / Luigi Capuana | Milano : C. Aliprandi, \\1901?!"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""88d7501207c03c7e499178a1cc74f080bef7a4aaf285433f205da3641ecf151a"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Il Benefattore'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,23e44f6bfb67edc837f919431a14004d23f15d7b440f316a26b9dd388d9a2edc;cb3e50cdaa9c68f8bcac076af852cc3268e207733e646bd4724fb37e8e0f78a7;fc62e8ad6d3be0e3470864a3ab7ea69d18da0e402865a3516d2db2df0ac2ca9a,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
10502,Vecchie Storie,"De Marchi, Emilio",1851,1901,Fiction;Short stories,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/10502,https://www.gutenberg.org/ebooks/10502.txt.utf-8,https://www.gutenberg.org/ebooks/10502.txt.utf-8,hit,,151799,132466,2003;2024,[],"{""marker_counts"":{""dialect"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""8499e81dddba32aa7073a8bf6cfb9ffbbbd2f69e5199c57a718d9a5b3d22e327"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Vecchie Storie'; total=2; inspected=2; direct_matches=2"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CUB0399331"",""url"":""https://opac.sbn.it/bid/CUB0399331"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""f85bb342e8e32067d06f42e42fb8b7b8ddc1e94cd82fafec500cdd51bf9e91c6"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1926,""year_end"":1926,""text"":""De Marchi, Emilio <1851-1901> | Vecchie storie / Emilio De Marchi | Milano : F.lli Treves, 1926"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""ec796238488d0a74bcfec4a247bde8d0fe043fde27aa66931c3fd6cf087294cb"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Vecchie Storie'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,bb6133f609bce2127409e2f89eb62f81c5986ab1ac9f62fbc1d1fe142f30e97d;dc5647ac3ec67520d6a8abbdee18b60555207e5c8e52162493e1dacc9a827531;f4c5d77ea6d6a0808e1609f14e611732baf090bb910c6693701af4130694c9c7,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
11305,La Campagna del 1796 nel Veneto: Parte prima: La decadenza militare della serenissima uomini ed armi,"Barbarich, Eugenio",1868,1931,Venice (Italy) -- History,Category: History - European;Category: History - Modern (1750+);Category: History - Warfare;IT Storia,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/11305,https://www.gutenberg.org/ebooks/11305.txt.utf-8,https://www.gutenberg.org/ebooks/11305.txt.utf-8,hit,,298233,278914,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1910,""year_end"":1910,""text"":""UOMINI ED ARMI | ROMA ENRICO VOGHERA, EDITORE | ---- | 1910 | Roma, 1909.--Tip. E. Voghera | INDICE | I.--Le fonti della milizia veneta"",""confidence"":""medium""}]","{""marker_counts"":{""venetian"":4},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,post_1900_edition_does_not_prove_work_first_publication,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""1911b7aef57a166ef616991610535c2ddc98ea32a59c35442a6026dec527792a"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='La Campagna del 1796 nel Veneto'; total=3; inspected=3; direct_matches=2"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""UBO0283928"",""url"":""https://opac.sbn.it/bid/UBO0283928"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""d2579dd5c37ddaa499941b55f81b2014b8c3a2abd26f2f90284445d8dff78112"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1910,""year_end"":1910,""text"":""Barbarich, Eugenio | La campagna del 1796 nel Veneto / Eugenio Barbarich | Roma : E. Voghera, 1910"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""ea377f0d4df6f3f5a258d69c890763c1a5d2107ded8d539d0ce33d444972710d"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'La Campagna del 1796 nel Veneto'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,8eae20caccc8cb5c72a29178dad0709e0b3cadac5f95b5872a409a33a9fe67e6;d0c85e9a75d6eac9df4915095e3d1f458b94a092b79f16aa2c1e7b89f0194b03;fabf3c36ea65eaed0e6a09927968dd5d23faf11b6bada5c1c8addc12ab1f9178,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
14370,Zanetto; and Cavalleria Rusticana,,,,Operas -- Librettos,Category: Plays/Films/Dramas;IT Musica;Opera,date_and_role_review,unknown,review_missing_period_evidence,https://www.gutenberg.org/ebooks/14370,https://www.gutenberg.org/ebooks/14370.txt.utf-8,https://www.gutenberg.org/ebooks/14370.txt.utf-8,hit,,71038,51458,2004;2024,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""ddb5d17e01237cd7f373a2ab656ee65b97b82af753c68579523fb1de36b9f094"",""method"":""sbn_title_author_search_no_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Zanetto; and Cavalleria Rusticana'; total=3; inspected=3; direct_matches=0"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T13:08:07+00:00"",""payload_sha256"":""ac92e1f412ad368176f55283dd310df80d2197f6052761dfa2c09d35ff18587c"",""method"":""sbn_title_author_search_no_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Zanetto'; total=114; inspected=50; direct_matches=0"",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,6db26c61f7dc0008772a33fe0e76677e56a38b4dc33d3019b7ecbf25a6a94700;a026597a1bab7172a6930507d3a1d93a5ead3d7e349c9bc196fde6b456b54307,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,no_direct_sbn_title_author_match
17838,L'aeroplano del papa: Romanzo profetico in versi liberi,"Marinetti, F. T.",1876,1944,Poetry,Category: French Literature;Category: Novels;Category: Poetry;IT Poesia,historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/17838,https://www.gutenberg.org/ebooks/17838.txt.utf-8,https://www.gutenberg.org/ebooks/17838.txt.utf-8,hit,,231080,211530,2006,"[{""kind"":""title_page_edition_year"",""year_start"":1914,""year_end"":1914,""text"":""Tradotto (scopo propaganda) oggi 1914 | EDIZIONI FUTURISTE DI \""POESIA\"" | CORSO VENEZIA, 61--MILANO | 1914 | PROPRIETÀ LETTERARIA | Stab. Tip. TAVEGGIA * Milano * Via Ospedale, 3 | MOVIMENTO FUTURISTA"",""confidence"":""medium""}]","{""marker_counts"":{""sicilian"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,post_1900_edition_does_not_prove_work_first_publication,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""1993ac3a0b94e4efb85616e914ec7969ec2f6be4caf7158b6ebf283495ff8731"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title=\""L'aeroplano del papa\""; total=3; inspected=3; direct_matches=3"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""RAV0168360"",""url"":""https://opac.sbn.it/bid/RAV0168360"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""5391f9aa79bbf59497cdb95bbdd9ca3fdb47cf9791d1ae8dba0ef532e4ad3b4a"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1914,""year_end"":1914,""text"":""Marinetti, Filippo Tommaso | L'aeroplano del Papa : romanzo profetico in versi liberi / F. T. Marinetti, futurista | Milano : Edizioni futuriste di Poesia, 1914"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":""Q3818198"",""url"":""https://www.wikidata.org/wiki/Q3818198"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""ffbc4b35f038beb6b510a0ef5268d198fdd25f9cb5d55a02e4f9f82f3895532a"",""method"":""wikidata_p577_title_author_match"",""year_start"":1912,""year_end"":1912,""text"":""L'aeroplano del Papa | romanzo scritto da Filippo Tommaso Marinetti | P577=[1912]"",""confidence"":""medium"",""decisive"":true}]",wikidata,Q3818198,https://www.wikidata.org/wiki/Q3818198,1912,1912,L'aeroplano del Papa | romanzo scritto da Filippo Tommaso Marinetti | P577=[1912],wikidata_p577_title_author_match,medium,2026-08-10T12:48:52+00:00,7a06a96c05559d6fbb997a9ef3a07d1449a469eba55f14bb5cecf75885341064;bb286a5a6839c49e48bddaae53aafc6bc28907e853ceacc24dd34ce09ccccef7;e3c7764aafad382c35d071b0d257b545a2bd789cbc1c49be887ae6403ed14d21;e5f8d86e80c9a42a0df85f741bee294f3965fd7660d2d2e016983a7dbe514587,post_1900_excluded,excluded_post_1900_original_text,exclude_post_1900_original_text,pass_1b_authoritative_resolved,excluded,authoritative_date_after_1900
18456,Enrico IV,"Pirandello, Luigi",1867,1936,Drama,Category: Plays/Films/Dramas;IT Teatro in prosa;Nobel Prizes in Literature,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/18456,https://www.gutenberg.org/ebooks/18456.txt.utf-8,https://www.gutenberg.org/ebooks/18456.txt.utf-8,hit,,137796,118514,2006,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""1c521303f9350c3924a6147a328adba464b8f7769772ebb4ad804a8cf3819776"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Enrico IV'; total=36; inspected=36; direct_matches=29"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""RLZ0221819"",""url"":""https://opac.sbn.it/bid/RLZ0221819"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""64a02759185f3796f47305b0e72db6d0b2ad4fd95c9f0fcb4274efa6a4b1e8f9"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1926,""year_end"":1926,""text"":""Pirandello, Luigi <1867-1936> | Enrico IV : Tragedia in tre atti / Luigi Pirandello | Firenze : Bemporad & figlio, 1926"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":""Q667340"",""url"":""https://www.wikidata.org/wiki/Q667340"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""337131147215bb565597788a153b8d21757873c8bb09ce85276f8119ffe52f69"",""method"":""wikidata_p577_title_author_match"",""year_start"":1922,""year_end"":1922,""text"":""Enrico IV | opera teatrale di Luigi Pirandello | P577=[1922]"",""confidence"":""medium"",""decisive"":true}]",wikidata,Q667340,https://www.wikidata.org/wiki/Q667340,1922,1922,Enrico IV | opera teatrale di Luigi Pirandello | P577=[1922],wikidata_p577_title_author_match,medium,2026-08-10T12:48:52+00:00,2a010f640027b95c5993e1a00d84228e78c66df2a5cf02f94722df787a9f63ff;30c5e313425df8f676772b75a00fed719ec0b9f3e6edbe1e5bc2c218a11d3ce4;59b08de960ac9ca23f0d86ca6e1a8b96505821991c760fbe978a7c0e87c1a2a0;6408226720bad1a6120bafe651092ac9b4c6b9009706d4924cf443e1fbce2ae4,post_1900_excluded,excluded_post_1900_original_text,exclude_post_1900_original_text,pass_1b_authoritative_resolved,excluded,authoritative_date_after_1900
18457,Sei personaggi in cerca d'autore,"Pirandello, Luigi",1867,1936,Characters and characteristics in literature -- Drama,Category: Plays/Films/Dramas;IT Teatro in prosa;Nobel Prizes in Literature,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/18457,https://www.gutenberg.org/ebooks/18457.txt.utf-8,https://www.gutenberg.org/ebooks/18457.txt.utf-8,hit,,138383,119009,2006,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""3767f0803ba50af66610a44257203b38b24225e55f779e93d41b225469622432"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title=\""Sei personaggi in cerca d'autore\""; total=287; inspected=50; direct_matches=42"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CAG0041976"",""url"":""https://opac.sbn.it/bid/CAG0041976"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""84dfaa0db533aa55b5acb94730e636df618bf90310f593c9b93c95dce321f08f"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1921,""year_end"":1921,""text"":""Pirandello, Luigi <1867-1936> | 3: Sei personaggi in cerca d'autore : commedia da fare / Luigi Pirandello | Firenze : R. Bemporad & Figlio, 1921"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":""Q641651"",""url"":""https://www.wikidata.org/wiki/Q641651"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""78c0aaa820a10f60739bdf5418d8de8175fd377bf631ad7645eb0d53494f6277"",""method"":""wikidata_p577_title_author_match"",""year_start"":1921,""year_end"":1921,""text"":""Sei personaggi in cerca d'autore | opera teatrale di Luigi Pirandello | P577=[1921]"",""confidence"":""medium"",""decisive"":true}]",wikidata,Q641651,https://www.wikidata.org/wiki/Q641651,1921,1921,Sei personaggi in cerca d'autore | opera teatrale di Luigi Pirandello | P577=[1921],wikidata_p577_title_author_match,medium,2026-08-10T12:48:52+00:00,27c5c72cf05d99b1c420bc1268c1f0927dba6f0cb494316098f744dc1892cc70;59ad58d74e79ae8cd56bc9322ef402d47a1fea22d7ef0a1d9d2d6367fee0ff47;687f52323ee58447a2ce6ab682920e800014d4c1c9afc4b00f3320f582784ede;e06584f9bdd214836b8faa7d7fe9e3912209fc7435bf555bfb43363fb463aa2a,post_1900_excluded,excluded_post_1900_original_text,exclude_post_1900_original_text,pass_1b_authoritative_resolved,excluded,authoritative_date_after_1900
19059,Col fuoco non si scherza,"De Marchi, Emilio",1851,1901,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/19059,https://www.gutenberg.org/ebooks/19059.txt.utf-8,https://www.gutenberg.org/ebooks/19059.txt.utf-8,hit,,600225,580674,2006,[],"{""marker_counts"":{""milanese"":1},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""da2c9d2bc69c8d406b6366d94ad603346bb9270feb86b729fd7a770e9430e7e8"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Col fuoco non si scherza'; total=18; inspected=18; direct_matches=18"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CUB0399285"",""url"":""https://opac.sbn.it/bid/CUB0399285"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""fc0c6f908b67a693329a6a1bf0c5f5eeab9956e7bdf1ada69bb8795d4e996a47"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1901,""year_end"":1901,""text"":""De Marchi, Emilio <1851-1901> | Col fuoco non si scherza : Romanzo / Emilio De Marchi ; Con prefazione di Gaetano Negri | Milano : Carlo Aliprandi, 1901"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""de6a1c524aa23dd8302dc9a5c1f2b8db02421b51fbbaf2ff9fdb3c01870a5d97"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Col fuoco non si scherza'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,5b6ba8a8688e410e175af11428feec3934fe6cce4e3dabef52ee84b1580b7f61;85f060f753522ce2addc8ce6352eb835c6d1515b61cdf521dbf346a170317768;b14265eadeb934c6fad4d813d4a5427b4f5b48d283ffe1ae10b3d34fc8d8cf2c,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
19883,"Speranze e glorie; Le tre capitali: Torino, Firenze, Roma","De Amicis, Edmondo",1846,1908,"Cavallotti, Felice, 1842-1898;Florence (Italy) -- Description and travel;Garibaldi, Giuseppe, 1807-1882;Italy -- History -- 19th century;Rome (Italy) -- Description and travel;Socialism -- Italy -- History -- 19th century;Statesmen -- Italy -- Biography;Turin (Italy) -- Description and travel","Category: Essays, Letters & Speeches;Category: Teaching & Education;IT Scienze politiche",date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/19883,https://www.gutenberg.org/ebooks/19883.txt.utf-8,https://www.gutenberg.org/ebooks/19883.txt.utf-8,hit,,440028,420528,2006,"[{""kind"":""title_page_edition_year"",""year_start"":1911,""year_end"":1911,""text"":""Torino--Firenze--Roma | MILANO | FRATELLI TREVES, EDITORI | 1911 | Terzo Migliaio. | PROPRIETÀ LETTERARIA. | _I diritti di riproduzione e di traduzione sono riservati"",""confidence"":""medium""}]","{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,post_1900_edition_does_not_prove_work_first_publication,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""411b1f93a6ed16812545dc9e9096277148a2c9664193ab7574fd77eeaa1997eb"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Speranze e glorie; Le tre capitali'; total=3; inspected=3; direct_matches=3"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CUB0018361"",""url"":""https://opac.sbn.it/bid/CUB0018361"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""929e2ff3847081670cf30c38fe848b11799e4185fe1d8fea0b09b9f41f44dff1"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1911,""year_end"":1911,""text"":""De Amicis, Edmondo <1846-1908> | Speranze e glorie ; Le tre capitali : Torino, Firenze, Roma / Edmondo De Amicis | Milano : Treves, 1911"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""70c2296f74b0c01b63fc9b15bfa82337a8d4acbe8eef02ffbf30e750671ba5c8"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Speranze e glorie; Le tre capitali'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,179858cd4ec5db9d023350c167f7a73157eff3990fb9d62d302797d7b0f57c1b;5160a1a2abce3cb6df9e39d95e98be18f55528ad933b0ba6e96c92aa66e7c4bc;b8e8a0d090f452da12ebf64d9f2913049684547f2110b29667cc7fb09a4365e7,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
