ebook_id,title,authors,author_birth_years,author_death_years,subjects,bookshelves,preliminary_role,period_bucket,inventory_status,landing_page_url,plain_text_url,fetched_url,cache_status,fetch_error,raw_character_count,cleaned_character_count,gutenberg_release_years,date_evidence_json,language_variety_evidence_json,selected_evidence_kind,selected_evidence_year_start,selected_evidence_year_end,selected_evidence_text,evidence_confidence,resolved_period_bucket,resolved_role,automatic_decision,resolution_status,manual_review_reasons
7121,Da Firenze a Digione: Impressioni di un reduce Garibaldino,"Socci, Ettore",1846,1905,"Garibaldi, Giuseppe, 1807-1882;Italy -- History -- 1849-1870",Category: Biographies;Category: History - European;Category: History - Warfare;IT Storia,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7121,https://www.gutenberg.org/ebooks/7121.txt.utf-8,https://www.gutenberg.org/ebooks/7121.txt.utf-8,hit,,519943,500253,2004;2013,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
7267,Cardello,"Capuana, Luigi",1839,1915,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7267,https://www.gutenberg.org/ebooks/7267.txt.utf-8,https://www.gutenberg.org/ebooks/7267.txt.utf-8,hit,,155864,136438,2005;2012,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
7459,Il Benefattore,"Capuana, Luigi",1839,1915,Italian literature,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7459,https://www.gutenberg.org/ebooks/7459.txt.utf-8,https://www.gutenberg.org/ebooks/7459.txt.utf-8,hit,,219105,199670,2005;2012,[],"{""marker_counts"":{""sicilian"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
7781,La Vita Sul Pianeta Marte,"Schiaparelli, G. V. (Giovanni Virginio)",1835,1910,Life on other planets;Mars (Planet),Category: Science - Earth/Agricultural/Farming;IT Scienza,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7781,https://www.gutenberg.org/ebooks/7781.txt.utf-8,https://www.gutenberg.org/ebooks/7781.txt.utf-8,hit,,150984,131489,2005;2013,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
10502,Vecchie Storie,"De Marchi, Emilio",1851,1901,Fiction;Short stories,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/10502,https://www.gutenberg.org/ebooks/10502.txt.utf-8,https://www.gutenberg.org/ebooks/10502.txt.utf-8,hit,,151799,132466,2003;2024,[],"{""marker_counts"":{""dialect"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
11206,Compendio di Chimica Fisiologica,"Cominelli, A. (Alfredo)",,,"Chemistry, Physical and theoretical",Category: Science - Chemistry/Biochemistry;IT Scienza,date_and_role_review,unknown,review_missing_period_evidence,https://www.gutenberg.org/ebooks/11206,https://www.gutenberg.org/ebooks/11206.txt.utf-8,https://www.gutenberg.org/ebooks/11206.txt.utf-8,hit,,148581,129021,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1896,""year_end"":1896,""text"":""PER | A. COMINELLI | NAPOLI | 1896 | AL PADRE MIO | CHE NON LEGGERÀ QUESTE PAGINE | La chimica biologica è la parte più importante della fisiologia"",""confidence"":""medium""}]","{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,edition_proves_pre_1901_eligibility_but_work_period_is_ambiguous
11305,La Campagna del 1796 nel Veneto: Parte prima: La decadenza militare della serenissima uomini ed armi,"Barbarich, Eugenio",1868,1931,Venice (Italy) -- History,Category: History - European;Category: History - Modern (1750+);Category: History - Warfare;IT Storia,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/11305,https://www.gutenberg.org/ebooks/11305.txt.utf-8,https://www.gutenberg.org/ebooks/11305.txt.utf-8,hit,,298233,278914,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1910,""year_end"":1910,""text"":""UOMINI ED ARMI | ROMA ENRICO VOGHERA, EDITORE | ---- | 1910 | Roma, 1909.--Tip. E. Voghera | INDICE | I.--Le fonti della milizia veneta"",""confidence"":""medium""}]","{""marker_counts"":{""venetian"":4},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,post_1900_edition_does_not_prove_work_first_publication
11492,Il Tenente dei Lancieri: Romanzo,"Rovetta, Gerolamo",1854,1910,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/11492,https://www.gutenberg.org/ebooks/11492.txt.utf-8,https://www.gutenberg.org/ebooks/11492.txt.utf-8,hit,,229051,209631,2004;2024,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
11644,La notte del Commendatore,"Barrili, Anton Giulio",1836,1908,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/11644,https://www.gutenberg.org/ebooks/11644.txt.utf-8,https://www.gutenberg.org/ebooks/11644.txt.utf-8,hit,,677528,658035,2004;2024,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
11724,Roberta,"Zùccoli, Luciano",1868,1929,Italian fiction -- 19th century,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/11724,https://www.gutenberg.org/ebooks/11724.txt.utf-8,https://www.gutenberg.org/ebooks/11724.txt.utf-8,hit,,287713,268297,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1919,""year_end"":1919,""text"":""ROBERTA | MILANO | FRATELLI TREVES, EDITORI | 1919. | PREFAZIONE. | Sarebbe difficile dire quali fossero esattamente le intenzioni | dell'autore di _Roberta_ allorchè egli scrisse, tra il 1896 e il 1897,"",""confidence"":""medium""}]","{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,post_1900_edition_does_not_prove_work_first_publication
