ebook_id,title,authors,author_birth_years,author_death_years,subjects,bookshelves,preliminary_role,period_bucket,inventory_status,landing_page_url,plain_text_url,fetched_url,cache_status,fetch_error,raw_character_count,cleaned_character_count,gutenberg_release_years,date_evidence_json,language_variety_evidence_json,selected_evidence_kind,selected_evidence_year_start,selected_evidence_year_end,selected_evidence_text,evidence_confidence,resolved_period_bucket,resolved_role,automatic_decision,resolution_status,manual_review_reasons
7121,Da Firenze a Digione: Impressioni di un reduce Garibaldino,"Socci, Ettore",1846,1905,"Garibaldi, Giuseppe, 1807-1882;Italy -- History -- 1849-1870",Category: Biographies;Category: History - European;Category: History - Warfare;IT Storia,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7121,https://www.gutenberg.org/ebooks/7121.txt.utf-8,https://www.gutenberg.org/ebooks/7121.txt.utf-8,hit,,519943,500253,2004;2013,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
7267,Cardello,"Capuana, Luigi",1839,1915,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7267,https://www.gutenberg.org/ebooks/7267.txt.utf-8,https://www.gutenberg.org/ebooks/7267.txt.utf-8,hit,,155864,136438,2005;2012,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
7459,Il Benefattore,"Capuana, Luigi",1839,1915,Italian literature,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7459,https://www.gutenberg.org/ebooks/7459.txt.utf-8,https://www.gutenberg.org/ebooks/7459.txt.utf-8,hit,,219105,199670,2005;2012,[],"{""marker_counts"":{""sicilian"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
7781,La Vita Sul Pianeta Marte,"Schiaparelli, G. V. (Giovanni Virginio)",1835,1910,Life on other planets;Mars (Planet),Category: Science - Earth/Agricultural/Farming;IT Scienza,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7781,https://www.gutenberg.org/ebooks/7781.txt.utf-8,https://www.gutenberg.org/ebooks/7781.txt.utf-8,hit,,150984,131489,2005;2013,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
7817,"Alessandro Manzoni, Studio Biografico: Letture fatte alla Taylorian Institution di Oxford nel maggio dell'anno 1878, notevolmente ampliate","De Gubernatis, Angelo",1840,1913,"Manzoni, Alessandro, 1785-1873",Category: Biographies;IT Biografie,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7817,https://www.gutenberg.org/ebooks/7817.txt.utf-8,https://www.gutenberg.org/ebooks/7817.txt.utf-8,hit,,532922,513235,2005;2012,"[{""kind"":""title_page_edition_year"",""year_start"":1879,""year_end"":1879,""text"":""dell'anno 1878 | NOTEVOLMENTE AMPLIATE. | FIRENZE. | 1879. | INDICE DEL VOLUME. | A FEDERICO MAX MULLER | Proemio del Libro"",""confidence"":""medium""}]","{""marker_counts"":{""milanese"":1},""sample_character_count"":20000}",title_page_edition_year,1879,1879,dell'anno 1878 | NOTEVOLMENTE AMPLIATE. | FIRENZE. | 1879. | INDICE DEL VOLUME. | A FEDERICO MAX MULLER | Proemio del Libro,medium,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,automatic_resolved,
9302,Nanà a Milano,"Arrighi, Cletto",1830,1906,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/9302,https://www.gutenberg.org/ebooks/9302.txt.utf-8,https://www.gutenberg.org/ebooks/9302.txt.utf-8,hit,,472466,452932,2005;2013,"[{""kind"":""title_page_edition_year"",""year_start"":1880,""year_end"":1880,""text"":""EDIZIONE PRIMA | ____ | MILANO | 1880 | ENTRATURA | Gli svegliarini critici dei nostri giorni sono tanto scorbellati, che | se l'autore d'un libro non ha la precauzione di spiegarsi un poco, su"",""confidence"":""medium""}]","{""marker_counts"":{""milanese"":5},""sample_character_count"":20000}",title_page_edition_year,1880,1880,"EDIZIONE PRIMA | ____ | MILANO | 1880 | ENTRATURA | Gli svegliarini critici dei nostri giorni sono tanto scorbellati, che | se l'autore d'un libro non ha la precauzione di spiegarsi un poco, su",medium,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,automatic_resolved,
9642,Poesie e novelle in versi,"Fontana, Ferdinando",1850,1919,Poetry,Category: Poetry;IT Poesia,historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/9642,https://www.gutenberg.org/ebooks/9642.txt.utf-8,https://www.gutenberg.org/ebooks/9642.txt.utf-8,hit,,174654,154984,2006;2021,"[{""kind"":""title_page_edition_year"",""year_start"":1877,""year_end"":1877,""text"":""E | NOVELLE IN VERSI | MILANO | 1877. | A ANTONIO GHISLANZONI | SCUOLA MODERNA[1] | AD ANTONIO GHISLANZONI,"",""confidence"":""medium""}]","{""marker_counts"":{},""sample_character_count"":20000}",title_page_edition_year,1877,1877,"E | NOVELLE IN VERSI | MILANO | 1877. | A ANTONIO GHISLANZONI | SCUOLA MODERNA[1] | AD ANTONIO GHISLANZONI,",medium,nineteenth_century_bridge,historical_non_sonnet_poetry_candidate,eligible_nineteenth_century_candidate,automatic_resolved,
10502,Vecchie Storie,"De Marchi, Emilio",1851,1901,Fiction;Short stories,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/10502,https://www.gutenberg.org/ebooks/10502.txt.utf-8,https://www.gutenberg.org/ebooks/10502.txt.utf-8,hit,,151799,132466,2003;2024,[],"{""marker_counts"":{""dialect"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence
11206,Compendio di Chimica Fisiologica,"Cominelli, A. (Alfredo)",,,"Chemistry, Physical and theoretical",Category: Science - Chemistry/Biochemistry;IT Scienza,date_and_role_review,unknown,review_missing_period_evidence,https://www.gutenberg.org/ebooks/11206,https://www.gutenberg.org/ebooks/11206.txt.utf-8,https://www.gutenberg.org/ebooks/11206.txt.utf-8,hit,,148581,129021,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1896,""year_end"":1896,""text"":""PER | A. COMINELLI | NAPOLI | 1896 | AL PADRE MIO | CHE NON LEGGERÀ QUESTE PAGINE | La chimica biologica è la parte più importante della fisiologia"",""confidence"":""medium""}]","{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,edition_proves_pre_1901_eligibility_but_work_period_is_ambiguous
11305,La Campagna del 1796 nel Veneto: Parte prima: La decadenza militare della serenissima uomini ed armi,"Barbarich, Eugenio",1868,1931,Venice (Italy) -- History,Category: History - European;Category: History - Modern (1750+);Category: History - Warfare;IT Storia,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/11305,https://www.gutenberg.org/ebooks/11305.txt.utf-8,https://www.gutenberg.org/ebooks/11305.txt.utf-8,hit,,298233,278914,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1910,""year_end"":1910,""text"":""UOMINI ED ARMI | ROMA ENRICO VOGHERA, EDITORE | ---- | 1910 | Roma, 1909.--Tip. E. Voghera | INDICE | I.--Le fonti della milizia veneta"",""confidence"":""medium""}]","{""marker_counts"":{""venetian"":4},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,post_1900_edition_does_not_prove_work_first_publication
