ebook_id,title,authors,author_birth_years,author_death_years,languages,subjects,bookshelves,download_count,copyright,media_type,landing_page_url,plain_text_url,preliminary_role,period_bucket,inventory_status,genre_evidence,period_evidence,language_variety_evidence,translation_evidence,existing_project_source_ids,possible_existing_work_matches,intra_gutenberg_duplicate_ids,notes,resolution_evidence_required
7121,Da Firenze a Digione: Impressioni di un reduce Garibaldino,"Socci, Ettore",1846,1905,it,"Garibaldi, Giuseppe, 1807-1882;Italy -- History -- 1849-1870",Category: Biographies;Category: History - European;Category: History - Warfare;IT Storia,383,False,Text,https://www.gutenberg.org/ebooks/7121,https://www.gutenberg.org/ebooks/7121.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1905,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
7267,Cardello,"Capuana, Luigi",1839,1915,it,Fiction,Category: Novels;IT Romanzi,316,False,Text,https://www.gutenberg.org/ebooks/7267,https://www.gutenberg.org/ebooks/7267.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1915,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
7459,Il Benefattore,"Capuana, Luigi",1839,1915,it,Italian literature,Category: Novels;IT Racconti,330,False,Text,https://www.gutenberg.org/ebooks/7459,https://www.gutenberg.org/ebooks/7459.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1915,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
7781,La Vita Sul Pianeta Marte,"Schiaparelli, G. V. (Giovanni Virginio)",1835,1910,it,Life on other planets;Mars (Planet),Category: Science - Earth/Agricultural/Farming;IT Scienza,401,False,Text,https://www.gutenberg.org/ebooks/7781,https://www.gutenberg.org/ebooks/7781.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1910,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
7817,"Alessandro Manzoni, Studio Biografico: Letture fatte alla Taylorian Institution di Oxford nel maggio dell'anno 1878, notevolmente ampliate","De Gubernatis, Angelo",1840,1913,it,"Manzoni, Alessandro, 1785-1873",Category: Biographies;IT Biografie,402,False,Text,https://www.gutenberg.org/ebooks/7817,https://www.gutenberg.org/ebooks/7817.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1913,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
9302,Nanà a Milano,"Arrighi, Cletto",1830,1906,it,Fiction,Category: Novels;IT Romanzi,301,False,Text,https://www.gutenberg.org/ebooks/9302,https://www.gutenberg.org/ebooks/9302.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1906,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
9642,Poesie e novelle in versi,"Fontana, Ferdinando",1850,1919,it,Poetry,Category: Poetry;IT Poesia,322,False,Text,https://www.gutenberg.org/ebooks/9642,https://www.gutenberg.org/ebooks/9642.txt.utf-8,historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,Poesie,latest catalog author death year=1919,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
10502,Vecchie Storie,"De Marchi, Emilio",1851,1901,it,Fiction;Short stories,Category: Novels;IT Racconti,314,False,Text,https://www.gutenberg.org/ebooks/10502,https://www.gutenberg.org/ebooks/10502.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1901,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
11206,Compendio di Chimica Fisiologica,"Cominelli, A. (Alfredo)",,,it,"Chemistry, Physical and theoretical",Category: Science - Chemistry/Biochemistry;IT Scienza,339,False,Text,https://www.gutenberg.org/ebooks/11206,https://www.gutenberg.org/ebooks/11206.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.,"author/work dates from a title page, catalog record, or authoritative bibliography"
11305,La Campagna del 1796 nel Veneto: Parte prima: La decadenza militare della serenissima uomini ed armi,"Barbarich, Eugenio",1868,1931,it,Venice (Italy) -- History,Category: History - European;Category: History - Modern (1750+);Category: History - Warfare;IT Storia,316,False,Text,https://www.gutenberg.org/ebooks/11305,https://www.gutenberg.org/ebooks/11305.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1931,,,,,,Metadata-only role; full-text and edition audit required before activation.,"work first-publication year from a title page, catalog record, or authoritative bibliography"
