candidate_id,ebook_id,title,authors,source_kind,stanza_pattern,line_count,character_start,character_end,source_text_sha256,cleaned_text_sha256,first_line,last_line,exact_reference_ids,near_reference_ids,heldout_reference_ids,duplicate_gutenberg_candidate_ids,manual_review_resolution,manual_review_rationale,candidate_decision
pg6938:char70679-71603,6938,"Rime di Tullia d'Aragona, cortigiana del secolo XVI","Aragona, Tullia d'",structural_14_line,14,14,70679,71603,2b0445b7e028c8ba02ca674f99bf732470e291aa44677117318dbcb407f885e7,b1193b2ca84476c334949adcd2379eb6dc1659bae71b2ef7ecc133121f0a9c67,"[41] ""Le meretrici non possino portare vesti di drappo e seta d'alcuna","_Legislazione toscana_, vol. I, pag. 332).",,,,,exclude_not_sonnet,"Fourteen-line detector window is a quoted statute in a footnote, not verse or a sonnet.",exclude_manual_not_sonnet
pg6938:char80613-81354,6938,"Rime di Tullia d'Aragona, cortigiana del secolo XVI","Aragona, Tullia d'",structural_14_line,8-6,14,80613,81354,80b81862d3669738e57a13658d0eedde7bce24774c4e66b74a132745a4da1ad1,7606cb59e60f66ef1ccc2093da187d56e4792a02b9383f8b0216d968e56a0c2a,"Sveglia messer Brandisio, e fagli offerta","rispettato, e l'accolse benignamente con ogni onore.",,,,,exclude_not_sonnet,"Window combines narrative ottava material and prose annotation, not a bounded sonnet.",exclude_manual_not_sonnet
pg11685:char12551-12971,11685,L'Endimione,"Metastasio, Pietro",structural_14_line,14,14,12551,12971,ea9740bc1ca2c52f74c153388671f2b9012b1095fe2ae5d7ba81a99387a8638c,b62705f784b510ec1663157deaf2814a8f8eca2c63625f886974a5679c5fc60f,DIA.,A prenderti piacer della mia pena.,,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg11685:char21724-22083,11685,L'Endimione,"Metastasio, Pietro",structural_14_line,4-4-6,14,21724,22083,0417e7bda1f0cd2f277a4512da0dd755e631eca38c2cbc38401950e978b93e5f,8a499fc37c318edde013d6ba4e7d6d175cd469af98b8f2528a0e9473834cc34d,Dall'alma mia costante,Toglimi di tua mano ancor la vita.,,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg11685:char25911-26366,11685,L'Endimione,"Metastasio, Pietro",structural_14_line,4-4-6,14,25911,26366,58fcf6fd98d1519dd1b9777773e328cf5b249c411b0c1f052504a4c93537f85c,1a67a9084c5085d17f504aa845c30ab5bf7b7bec764871f906d77db72c280f9f,"Chi provato ha la procella,",Solo per trionfar composi e finsi.,,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg11685:char27964-28402,11685,L'Endimione,"Metastasio, Pietro",structural_14_line,14,14,27964,28402,29f50317bb6763bbd51d5a138feaf7715d6af411b4afc176a9fbc6bba71f5677,c6c9a38283e4643204f13063ef61fec100d7321675325cff79270cf83e2b53dc,AMO.,In fin dall'Istro a vagheggiar ne viene.,,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg17671:char30282-30891,17671,Poesie scelte,"Pellico, Silvio",structural_14_line,14,14,30282,30891,332711c91ea71acdd05e5ba2f72915a53cca7ded25fb8fca023651435c267fa9,1f4730652cda86e9eeb716b7c26153cce2477a6a2f831f0f0c831164944a7eda,"Francesca,","M'avria... colei, che per sempre ho perduta.",,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg17671:char32896-33503,17671,Poesie scelte,"Pellico, Silvio",structural_14_line,14,14,32896,33503,05e22d9e44b96cf969c650aaa581187284b86bec6a580f6e15787c8900dd56d7,f97dc5b65dfa0203d799994ef6d06cffa80f981b7eb346cbfbf6bd70d4bb600a,Il giorno che a Ravenna io giunsi,"Quel giorno, ma t'amai fin da quel giorno.",,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg17671:char46995-47579,17671,Poesie scelte,"Pellico, Silvio",structural_14_line,14,14,46995,47579,01c319401a6f3d412c880dd22608a28d101aa3c7ce8ae899c129b692192f6a23,f90e916f9ddc6d17e67e9a25596d27d4e58ae3249f18fdd5a902e73a18715b10,Vaneggio?... Voi raccapricciate?...--Oh Guido!,A calpestarlo verrà forse!,,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg17671:char51796-52375,17671,Poesie scelte,"Pellico, Silvio",structural_14_line,14,14,51796,52375,63d2036d9d2c7afbe5024628c4a996829f60f939059b0b22f3b6eb95a97b8b8d,7dbcca5f2f79390805ad7215c4af692ef87a7f8b063c0fa770259ac6dd2c748f,Io vengo,Al rammentarlo.,,,,,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",exclude_manual_not_sonnet
pg17687:char23046-23653,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,14,14,23046,23653,13248106a7a9adf7134667e131c1f7b8baf95fed3c5c78507e61e8190899acd6,7ed87ea994d4b33b256d97ca7abc8c5d62176b220a73a3cc2a70845611dfc9ba,Innalzan l'incensier' l'aroma a spire,mentre indaga alle tombe il Villanuova.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char23660-24237,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,23660,24237,c462b9eca08da91ea169d8afb817d4f7ceaf1a9154b34311702c7c9c0b2e31e0,ceeda8142fe096ec8fe81a50fdad9eeb9524788acec7e35773460ddcd5078f00,Corse tra selve oscure e paurose,e cavalcate di Madonne e Magi.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char24631-25234,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,24631,25234,851f6bdc4596b1a15bce297a35f1e22c52eb615e5e0351654716d47a4faa0c90,56180e6bab819d0f3c7595269c25ccb91b0147f6f211c538ad3f5060cd5fdcb3,"Io son la bella Oriana e il seggio mio,",vengan le Dame in lunga carovana.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
