poem_id,title_or_first_line,author,displayed_author,source_archive,source_collection,source_subcollection,source_url,source_revision_id,source_revision_timestamp,downloaded_at_utc,source_edition,license_notes,period,form,form_evidence,count_method,attribution_status,line_count_raw,line_count_clean,raw_text_path,clean_text_path,include_in_core_pre_petrarch,include_in_expanded_with_petrarch,include_in_training,split_core_pre_petrarch,split_expanded_with_petrarch,editorial_brackets_removed,line_markers_removed,cleaning_notes,audit_notes
giacomo_oi_deo_d_amore,Oi deo d'amore,Abate di Tivoli,Abate di Tivoli,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Oi_deo_d%27amore,,,2026-06-02T17:48:11+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,correspondence,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_oi_deo_d_amore.txt,True,True,True,validation,validation,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_feruto_sono_isvarïatamente,Feruto sono isvarïatamente,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Feruto_sono_isvar%C3%AFatamente,,,2026-06-02T17:48:13+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_feruto_sono_isvarïatamente.txt,True,True,True,validation,validation,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_qual_om_riprende_altrù,Qual om riprende altrù',Abate di Tivoli,Abate di Tivoli,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Qual_om_riprende_altr%C3%B9%27,,,2026-06-02T17:48:14+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,correspondence,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_qual_om_riprende_altrù.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_cotale_gioco_mai_non_fue_veduto,Cotale gioco mai non fue veduto,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Cotale_gioco_mai_non_fue_veduto,,,2026-06-02T17:48:16+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_cotale_gioco_mai_non_fue_veduto.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_con_vostro_onore_facciovi_uno_nvito,Con vostro onore facciovi uno 'nvito,Abate di Tivoli,Abate di Tivoli,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Con_vostro_onore_facciovi_uno_%27nvito,,,2026-06-02T17:48:17+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,correspondence,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_con_vostro_onore_facciovi_uno_nvito.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_solicitando_un_poco_meo_savere,Solicitando un poco meo savere,Iacopo Mostacci,Iacopo Mostacci,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Solicitando_un_poco_meo_savere,,,2026-06-02T17:48:19+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,correspondence,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_solicitando_un_poco_meo_savere.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_però_c_amore_non_si_pò_vedere,Però c'Amore non si pò vedere,Pier della Vigna,Pier della Vigna,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Per%C3%B2_c%27Amore_non_si_p%C3%B2_vedere,,,2026-06-02T17:48:20+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,correspondence,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_però_c_amore_non_si_pò_vedere.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_amore_è_uno_desio,Amore è uno desio,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Amore_%C3%A8_uno_desio,,,2026-06-02T17:48:22+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_amore_è_uno_desio.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_lo_giglio_quand_è_colto,Lo giglio quand'è colto,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Lo_giglio_quand%27%C3%A8_colto,,,2026-06-02T17:48:23+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_lo_giglio_quand_è_colto.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_sì_come_il_sol,Sì come il sol,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/S%C3%AC_come_il_sol,,,2026-06-02T17:48:25+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_sì_come_il_sol.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_or_come_pote_sì_gran_donna_entrare,Or come pote sì gran donna entrare,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Or_come_pote_s%C3%AC_gran_donna_entrare,,,2026-06-02T17:48:26+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_or_come_pote_sì_gran_donna_entrare.txt,True,True,True,validation,validation,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_molti_amadori_la_lor_malatia,Molti amadori la lor malatia,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Molti_amadori_la_lor_malatia,,,2026-06-02T17:48:28+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_molti_amadori_la_lor_malatia.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_donna_vostri_sembianti_mi_mostraro,"Donna, vostri sembianti mi mostraro",Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,"https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Donna,_vostri_sembianti_mi_mostraro",,,2026-06-02T17:48:29+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_donna_vostri_sembianti_mi_mostraro.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
