author_label_id,raw_author_label,canonical_author_key,author_group_id,representative_author_label,resolution_status,sonnet_universe_count,new_candidate_count,v6_presence,protected_v6_presence
author_label:e3b0c44298fc1c14,,,,,generic_author_work_grouped,527,527,false,false
author_label:395ad4305cc21194,Abate di Tivoli,abate tivoli,author:52aebd97d55c202c,Abate di Tivoli,deterministic_resolved_author,3,0,true,true
author_label:039eeea89d4ed3d1,Acasto Lampeatico,acasto lampeatico,author:0d6b5047ad9531f4,Acasto Lampeatico,deterministic_resolved_author,23,23,false,false
author_label:4b040f1f554b8843,Aci Delpusiano,aci delpusiano,author:e5e0cc41849bfac5,Aci Delpusiano,deterministic_resolved_author,34,33,false,false
author_label:4cf0fc5724f6372d,Adalsio Metoneo,adalsio metoneo,author:452a90b79483e594,Adalsio Metoneo,deterministic_resolved_author,50,50,false,false
author_label:fc84cc507e32c642,Adelindo Gerenio,adelindo gerenio,author:c408c4066206116a,Adelindo Gerenio,deterministic_resolved_author,4,4,false,false
author_label:7d8840312c98ef9b,Agero Nonacride,agero nonacride,author:f89e9592930e3a94,Agero Nonacride,deterministic_resolved_author,8,8,false,false
author_label:6db0379d7858101f,Agesilo Brentico,agesilo brentico,author:0e4b5ce071c1ffaa,Agesilo Brentico,deterministic_resolved_author,21,21,false,false
author_label:74803d477b987ff7,Aglauro Cidonia,aglauro cidonia,author:674747852298d6b8,Aglauro Cidonia,deterministic_resolved_author,30,30,false,false
author_label:56f71df03877ef69,"Alamanni, Luigi",alamanni luigi,author:a704f39d47f7a21b,Luigi Alamanni,deterministic_resolved_author_alias,219,219,false,false
author_label:066d0850f3afb496,Alarco Erinnidio,alarco erinnidio,author:2bf3ec2f09588afb,Alarco Erinnidio,deterministic_resolved_author,26,26,false,false
author_label:790296ee32d0d693,Alasto Liconeo,alasto liconeo,author:4b309150b1197ad0,Alasto Liconeo,deterministic_resolved_author,3,3,false,false
author_label:294cfce15808063a,"Alberti, Francesco d'Altobianco",alberti altobianco francesco,author:49e0ad9093be0f00,"Alberti, Francesco d'Altobianco",deterministic_resolved_author,72,72,false,false
author_label:9e24e09381c899cd,"Alberti, Leon Battista",alberti battista leon,author:1bd6f5a28f5458a9,"Alberti, Leon Battista",deterministic_resolved_author,4,4,false,false
author_label:85c0b58ce3b21ec1,"Alessandri, Baldassarre Olimpo degli",alessandri baldassarre olimpo,author:fcbfc21e5bd27cbb,"Alessandri, Baldassarre Olimpo degli",deterministic_resolved_author,3,3,false,false
author_label:1b2f39ae7d045885,Alessandro Giribaldi,alessandro giribaldi,author:05ba805bac4b8282,Alessandro Giribaldi,deterministic_resolved_author,13,13,false,false
author_label:10a0d0b48dd8ee92,Alessandro Varaldo,alessandro varaldo,author:4d745c698bc05b87,Alessandro Varaldo,deterministic_resolved_author,13,13,false,false
author_label:1d27c194411810a5,Alessi Cillenio,alessi cillenio,author:031633d595dcd4b7,Alessi Cillenio,deterministic_resolved_author,54,54,false,false
author_label:7dde96f974c99800,Alfesibeo Cario,alfesibeo cario,author:2f33287f76012716,Alfesibeo Cario,deterministic_resolved_author,32,32,false,false
author_label:be47795135fdd8ea,"Alighieri, Dante",alighieri dante,author:fe33126fbf7fa7f5,Dante Alighieri,deterministic_resolved_author_alias,250,250,true,true
author_label:26ef6a9f83d72e10,Alindo Scirtoniano,alindo scirtoniano,author:d4928d6894867e14,Alindo Scirtoniano,deterministic_resolved_author,27,27,false,false
author_label:3b3258fbc472a350,Alisco Tortunio,alisco tortunio,author:cf1f3b790bc40c21,Alisco Tortunio,deterministic_resolved_author,18,18,false,false
author_label:f90a322c3b86523b,Almaspe Steniclerio,almaspe steniclerio,author:530b15945f18d763,Almaspe Steniclerio,deterministic_resolved_author,13,13,false,false
author_label:f9bb6f0a3da627a8,Altemio Leucianitico,altemio leucianitico,author:23bb4c2a7a6bffce,Altemio Leucianitico,deterministic_resolved_author,15,15,false,false
author_label:b838c4b6d00636df,Alterio Eleo,alterio eleo,author:60e397b79e7dd81f,Alterio Eleo,deterministic_resolved_author,32,32,false,false
