unit_id,source_record_id,source_element,source_author_literal,corrected_author,resolution_method,resolution_status,alias_evidence
bibit:sonnet:bibit000118:sonnet_0001,bibit000118,ancestor_div/head_suffix,Brunelleschi,Brunelleschi,source_literal_only,quarantine_unresolved_abbreviation,pinned TEI heading has no safe full-name match
bibit:sonnet:bibit000118:sonnet_0002,bibit000118,ancestor_div/head_suffix,Leonello D'Este,Leonello D'Este,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit000118:sonnet_0003,bibit000118,ancestor_div/head_suffix,Tebaldeo,"Tebaldeo, Antonio",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0004,bibit000118,ancestor_div/head_suffix,Berni,"Berni, Francesco",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0005,bibit000118,ancestor_div/head_suffix,Berni,"Berni, Francesco",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0006,bibit000118,ancestor_div/head_suffix,Guidiccioni,"Guidiccioni, Giovanni",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0008,bibit000118,ancestor_div/head_suffix,B. Tasso,"Tasso, Bernardo",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0009,bibit000118,ancestor_div/head_suffix,Della Casa,"Della Casa, Giovanni",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0010,bibit000118,ancestor_div/head_suffix,Della Casa,"Della Casa, Giovanni",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0011,bibit000118,ancestor_div/head_suffix,Della Casa,"Della Casa, Giovanni",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0012,bibit000118,ancestor_div/head_suffix,Caro,Annibale Caro,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0013,bibit000118,ancestor_div/head_suffix,T. Tasso,Torquato Tasso,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0016,bibit000118,ancestor_div/head_suffix,T.Tasso,Torquato Tasso,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus exact identity evidence in sonnets_expanded_v8_alias_evidence_v1.csv
bibit:sonnet:bibit000118:sonnet_0018,bibit000118,ancestor_div/head_suffix,Costantini,Costantini,source_literal_only,quarantine_unresolved_abbreviation,pinned TEI heading has no safe full-name match
bibit:sonnet:bibit000118:sonnet_0019,bibit000118,ancestor_div/head_suffix,C. Magno,"Magno, Celio",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0020,bibit000118,ancestor_div/head_suffix,Maggi,Carlo Maria Maggi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0021,bibit000118,ancestor_div/head_suffix,Menzini,Benedetto Menzini,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0022,bibit000118,ancestor_div/head_suffix,Menzini,Benedetto Menzini,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0023,bibit000118,ancestor_div/head_suffix,Zappi,Giambattista Felice Zappi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0024,bibit000118,ancestor_div/head_suffix,Zappi,Giambattista Felice Zappi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0025,bibit000118,ancestor_div/head_suffix,Zappi,Giambattista Felice Zappi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0026,bibit000118,ancestor_div/head_suffix,Zappi,Giambattista Felice Zappi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0027,bibit000118,ancestor_div/head_suffix,Manfredi,Eustachio Manfredi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0028,bibit000118,ancestor_div/head_suffix,Manfredi,Eustachio Manfredi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0029,bibit000118,ancestor_div/head_suffix,Ghedini,Ferdinando Antonio Ghedini,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0030,bibit000118,ancestor_div/head_suffix,Bondi,Clemente Bondi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0031,bibit000118,ancestor_div/head_suffix,Bondi,Clemente Bondi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0032,bibit000118,ancestor_div/head_suffix,Bondi,Clemente Bondi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0033,bibit000118,ancestor_div/head_suffix,Bondi,Clemente Bondi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0034,bibit000118,ancestor_div/head_suffix,Bondi,Clemente Bondi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0035,bibit000118,ancestor_div/head_suffix,Cesarotti,"Cesarotti, Melchiorre",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
