object_id,title,authors,source_archive,source_url,final_role,cleaning_policy,tei_sha256,artifact_status,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
bibit000001,Tragedia di Antigone,"Alamanni, Luigi",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000001,historical_general,preserve_rendered_tei_text,f8abb8a372e3a485d9dcfeb8c2a15953869bdf6b437a43e323ea2408d2df1453,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,0,65068,64483,65068,2f84d19395a2fa9b74f10168bf6a2406f8cdf486036356c87e298d53dbf58805
bibit000002,Rime,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000002,historical_non_sonnet_poetry,strip_editorial_square_delimiters_and_labels,7becd2d354c2c50525234be4cf8c6d4484d5963a99fe8bdff8d1282c800c70da,text_materialized,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,0,40047,39582,40047,5053a23956b1a6b4e5b4712a85e0fc5564c870dd191d8454481d579e45a85bca
bibit000003,Cena familiaris,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000003,historical_general,preserve_rendered_tei_text,6ab5f9431bdfa176b89c37cd73cb2cd56ee9491bd062303136c4ba53f2ff5400,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,65069,89652,24016,24583,01bfb4a42ecb027278e2670d3dfd4c683eed4beb255cae24447447c0675a1a76
bibit000005,De pictura [Redazione volgare],"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000005,historical_general,preserve_rendered_tei_text,2c4a74bc837ad3f50c61696f6a497e3dd9b3a6b76e36b1d1ca29825e1ba43242,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,89653,187265,96849,97612,bc198a0dcc23229cfa7484661c0413bef9e855443baf35d40bc3822538b25c3c
bibit000006,Epistola consolatoria,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000006,historical_general,preserve_rendered_tei_text,29ae77318ae014c57b8e19f70225e1557d9cf3165030af6970b196a99428fd65,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,187266,201758,14317,14492,1a8e6969a0c3ac13a106b29165cb0a262f0434408f001ce2da2f689e4e1ba65a
bibit000008,Naufragus,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000008,historical_general,preserve_rendered_tei_text,287b1b9dcae0e36ead9b8b3f4a213725217f7e983ab76b9ca1b7307c69094b7d,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,201759,217315,15412,15556,ffa99ff6f7af0100ff0d1a59a78d611806634a7401d4f2508ea6eda519b28579
bibit000009,Sentenze pitagoriche,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000009,historical_general,preserve_rendered_tei_text,eefd6bf189ebef9b6f5a17e3b241668a165853d86bba2384e921617883a042ee,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,217316,220422,3080,3106,4a8d96d93ecbd4ac0aa7c3b5a726fa57a1e70820cbc8e6b461ebe75840c9345c
bibit000010,I libri della famiglia,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000010,historical_general,preserve_rendered_tei_text,fdabe612e8d2198f06a7c5d5d9e61ef730b19512e225b78850b00690aa888490,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,220423,929955,702142,709532,35415e61d06e44d3c6fb5da2871ad75db2c1dfb890649089af09e69c923c24e6
bibit000012,Vita,"Alfieri, Vittorio",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000012,historical_general,preserve_rendered_tei_text,1fa5f6c32e79f8e09484e58b25b850c7f849e8a02b9b25404fbbf4aca39bb869,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,929956,1012205,81499,82249,4431bab9c32a7d1982ba80ca7678274b7f832daec8e3ce5b65818c89dcd96718
bibit000013,Antigone,"Alfieri, Vittorio",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000013,historical_general,preserve_rendered_tei_text,78ce4703e1cbe47cca6f3e47bba5842bc45b7e01ad7382a326f84c4d066269f3,text_materialized,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1012206,1069538,56595,57332,ee9d4c7b46273114cd330429dbbaaa604f3fa3daae0553cd1295b9a54870c01f
