attribution_id,source_group,origin_id,source_archive,title,author,source_url,rights_label,license_url,required_notice,modification_notice,upstream_attribution_artifact,activation_status
attr:bibit:bibit000001,bibit,bibit000001,Biblioteca Italiana,Tragedia di Antigone,"Alamanni, Luigi",http://www.bibliotecaitaliana.it/scheda/bibit000001,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000002,bibit,bibit000002,Biblioteca Italiana,Rime,"Alberti, Leon Battista",http://www.bibliotecaitaliana.it/scheda/bibit000002,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000003,bibit,bibit000003,Biblioteca Italiana,Cena familiaris,"Alberti, Leon Battista",http://www.bibliotecaitaliana.it/scheda/bibit000003,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000005,bibit,bibit000005,Biblioteca Italiana,De pictura [Redazione volgare],"Alberti, Leon Battista",http://www.bibliotecaitaliana.it/scheda/bibit000005,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000006,bibit,bibit000006,Biblioteca Italiana,Epistola consolatoria,"Alberti, Leon Battista",http://www.bibliotecaitaliana.it/scheda/bibit000006,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000008,bibit,bibit000008,Biblioteca Italiana,Naufragus,"Alberti, Leon Battista",http://www.bibliotecaitaliana.it/scheda/bibit000008,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000009,bibit,bibit000009,Biblioteca Italiana,Sentenze pitagoriche,"Alberti, Leon Battista",http://www.bibliotecaitaliana.it/scheda/bibit000009,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000010,bibit,bibit000010,Biblioteca Italiana,I libri della famiglia,"Alberti, Leon Battista",http://www.bibliotecaitaliana.it/scheda/bibit000010,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000012,bibit,bibit000012,Biblioteca Italiana,Vita,"Alfieri, Vittorio",http://www.bibliotecaitaliana.it/scheda/bibit000012,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000013,bibit,bibit000013,Biblioteca Italiana,Antigone,"Alfieri, Vittorio",http://www.bibliotecaitaliana.it/scheda/bibit000013,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000014,bibit,bibit000014,Biblioteca Italiana,Agide,"Alfieri, Vittorio",http://www.bibliotecaitaliana.it/scheda/bibit000014,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000015,bibit,bibit000015,Biblioteca Italiana,Bruto primo,"Alfieri, Vittorio",http://www.bibliotecaitaliana.it/scheda/bibit000015,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000016,bibit,bibit000016,Biblioteca Italiana,Bruto secondo,"Alfieri, Vittorio",http://www.bibliotecaitaliana.it/scheda/bibit000016,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000017,bibit,bibit000017,Biblioteca Italiana,Agamennone,"Alfieri, Vittorio",http://www.bibliotecaitaliana.it/scheda/bibit000017,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
attr:bibit:bibit000018,bibit,bibit000018,Biblioteca Italiana,De vulgari eloquentia,"Alighieri, Dante",http://www.bibliotecaitaliana.it/scheda/bibit000018,personal/scientific non-commercial use; public reuse requires citation,http://www.bibliotecaitaliana.it/,Credit Biblioteca Italiana and cite the work-level TEI source; commercial reuse is prohibited.,Canonical duplicate and verified embedded-sonnet spans may be removed; retained spelling and punctuation are preserved.,data/metadata/bibit_historical_attribution.md,inactive_pending_v7
