unit_id,source_group,source_id,title,author,source_archive,source_url,epoch_bucket,final_role,canonical_priority,final_decision,quarantine_status,attribution_id,logical_character_count,logical_byte_count,logical_sha256,storage_kind,storage_path,byte_start,byte_end,activation_status,training_eligible
bibit:record:bibit000001,bibit,bibit000001,Tragedia di Antigone,"Alamanni, Luigi",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000001,500,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000001,64483,65068,2f84d19395a2fa9b74f10168bf6a2406f8cdf486036356c87e298d53dbf58805,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,0,65068,inactive_pending_v7,true
bibit:record:bibit000002,bibit,bibit000002,Rime,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000002,400,historical_non_sonnet_poetry,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000002,39582,40047,5053a23956b1a6b4e5b4712a85e0fc5564c870dd191d8454481d579e45a85bca,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,0,40047,inactive_pending_v7,true
bibit:record:bibit000003,bibit,bibit000003,Cena familiaris,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000003,400,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000003,24016,24583,01bfb4a42ecb027278e2670d3dfd4c683eed4beb255cae24447447c0675a1a76,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,65069,89652,inactive_pending_v7,true
bibit:record:bibit000005,bibit,bibit000005,De pictura [Redazione volgare],"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000005,400,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000005,96849,97612,bc198a0dcc23229cfa7484661c0413bef9e855443baf35d40bc3822538b25c3c,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,89653,187265,inactive_pending_v7,true
bibit:record:bibit000006,bibit,bibit000006,Epistola consolatoria,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000006,400,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000006,14317,14492,1a8e6969a0c3ac13a106b29165cb0a262f0434408f001ce2da2f689e4e1ba65a,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,187266,201758,inactive_pending_v7,true
bibit:record:bibit000008,bibit,bibit000008,Naufragus,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000008,400,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000008,15412,15556,ffa99ff6f7af0100ff0d1a59a78d611806634a7401d4f2508ea6eda519b28579,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,201759,217315,inactive_pending_v7,true
bibit:record:bibit000009,bibit,bibit000009,Sentenze pitagoriche,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000009,400,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000009,3080,3106,4a8d96d93ecbd4ac0aa7c3b5a726fa57a1e70820cbc8e6b461ebe75840c9345c,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,217316,220422,inactive_pending_v7,true
bibit:record:bibit000010,bibit,bibit000010,I libri della famiglia,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000010,400,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000010,702142,709532,35415e61d06e44d3c6fb5da2871ad75db2c1dfb890649089af09e69c923c24e6,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,220423,929955,inactive_pending_v7,true
bibit:record:bibit000012,bibit,bibit000012,Vita,"Alfieri, Vittorio",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000012,700,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000012,81499,82249,4431bab9c32a7d1982ba80ca7678274b7f832daec8e3ce5b65818c89dcd96718,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,929956,1012205,inactive_pending_v7,true
bibit:record:bibit000013,bibit,bibit000013,Antigone,"Alfieri, Vittorio",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000013,700,historical_general,1,retain_canonical_candidate_7b,not_required,attr:bibit:bibit000013,56595,57332,ee9d4c7b46273114cd330429dbbaaa604f3fa3daae0553cd1295b9a54870c01f,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1012206,1069538,inactive_pending_v7,true
