segment_id,work_root_id,source_sha256,character_start,character_end,character_count,segment_sha256,segment_decision,final_role,reason,reference_ids,activation_status,artifact_status,output_shard_path,output_byte_start,output_byte_end,output_sha256
itws:1336:seg0001,itws:1336,0293dac4de1c3631f2ecc65ce57a0015af3d83e6d591ec6495a0f15e825849ca,0,168714,168714,0293dac4de1c3631f2ecc65ce57a0015af3d83e6d591ec6495a0f15e825849ca,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:1420:seg0001,itws:1420,5c5c0e9ba91af80859f9045c1fa3ce05a8ea1058e8467710d6dd16e50848afb2,0,1306120,1306120,5c5c0e9ba91af80859f9045c1fa3ce05a8ea1058e8467710d6dd16e50848afb2,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:1545:seg0001,itws:1545,9349bee88b0972ed84120d99afdec76ce7ae50c043a5528d877a08faa014e2e5,0,1647,1647,9349bee88b0972ed84120d99afdec76ce7ae50c043a5528d877a08faa014e2e5,exclude_source,excluded,Commons does not explicitly mark the exact scan file public domain and non-copyrighted.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:1713:seg0001,itws:1713,6fd1ade6b94d23e4c28f3e3ad5f63fc00df2e5dfe2d00fc065ac4bee9ded5081,0,1636361,1636361,6fd1ade6b94d23e4c28f3e3ad5f63fc00df2e5dfe2d00fc065ac4bee9ded5081,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:1907:seg0001,itws:1907,77e796c4902c1f25b64eeb4448aa3db19bf7b41ff4b12a0df4071e6bb53c0736,0,246971,246971,77e796c4902c1f25b64eeb4448aa3db19bf7b41ff4b12a0df4071e6bb53c0736,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2109:seg0001,itws:2109,6a3df242d303e0f029888202a25d899530430aecfdfc5f93ba37cb5f589cb163,0,142108,142108,6a3df242d303e0f029888202a25d899530430aecfdfc5f93ba37cb5f589cb163,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2144:seg0001,itws:2144,27b873bb407a4da78a9bb37404d458f079f8fbbaf0b57c1cd0b0d868755d538b,0,604179,604179,27b873bb407a4da78a9bb37404d458f079f8fbbaf0b57c1cd0b0d868755d538b,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2547:seg0001,itws:2547,58cd27f669c3b529a07a005dabb3340cbb109c3533e5a35645ccfdaf2519444d,0,504947,504947,58cd27f669c3b529a07a005dabb3340cbb109c3533e5a35645ccfdaf2519444d,exclude_source,excluded,An already resolved project source contains this Wikisource root.,bibit:bibit001233,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2566:seg0001,itws:2566,01fa460d214ca6e5c75b86fdebfc980752b3d8f397171466686a030af2f60a7f,0,658598,658598,01fa460d214ca6e5c75b86fdebfc980752b3d8f397171466686a030af2f60a7f,exclude_source,excluded,An already resolved project source contains this Wikisource root.,bibit:bibit001610,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2616:seg0001,itws:2616,99780c8fca3c3ece1bd0f3f0df472a687552e09db712505419a3477cec9d1144,0,321142,321142,99780c8fca3c3ece1bd0f3f0df472a687552e09db712505419a3477cec9d1144,exclude_source,excluded,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2800:seg0001,itws:2800,8fbb5b81e175fe4326e9d4c5f29c7ecf0c63373494ebc4383bbb6474d0473a8f,0,137898,137898,8fbb5b81e175fe4326e9d4c5f29c7ecf0c63373494ebc4383bbb6474d0473a8f,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2853:seg0001,itws:2853,2e62d167f54f2099837399dd0b8ab5be826af6bee017213fd5461ef4c7e6dde7,0,94777,94777,2e62d167f54f2099837399dd0b8ab5be826af6bee017213fd5461ef4c7e6dde7,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2926:seg0001,itws:2926,cd37c2dd448c19137615f56cfa6e8bcefda23067aee0e9ef8adbd1be698ba57e,0,10712,10712,cd37c2dd448c19137615f56cfa6e8bcefda23067aee0e9ef8adbd1be698ba57e,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:2929:seg0001,itws:2929,c6c32dd1fe20a4e3c74f360fa6784d86af174f1f7ba45b367d2bbf191f7ac55e,0,2771,2771,c6c32dd1fe20a4e3c74f360fa6784d86af174f1f7ba45b367d2bbf191f7ac55e,include_broader_text,historical_general,Retained primary text.,,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/italian_wikisource_resolved_v1/historical_general/part-0001.txt,0,2802,c6c32dd1fe20a4e3c74f360fa6784d86af174f1f7ba45b367d2bbf191f7ac55e
itws:3005:seg0001,itws:3005,9d0b1752d373d4673f65f2a7fb32f2be838ea5c61763e5fb2371297f1ef385ab,0,407664,407664,9d0b1752d373d4673f65f2a7fb32f2be838ea5c61763e5fb2371297f1ef385ab,exclude_source,excluded,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:3106:seg0001,itws:3106,fb55c4c9566d878c557142823fd1c41a5a078085005f00bdc4af1f57328350f8,0,595,595,fb55c4c9566d878c557142823fd1c41a5a078085005f00bdc4af1f57328350f8,include_broader_text,nineteenth_century_bridge,Retained primary text.,,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/italian_wikisource_resolved_v1/nineteenth_century_bridge/part-0001.txt,0,607,fb55c4c9566d878c557142823fd1c41a5a078085005f00bdc4af1f57328350f8
itws:3107:seg0001,itws:3107,e2fcec43dbfecdcc3c308eea613dcc66105744e7b6eecdd781edfae30e93cd60,0,574,574,e2fcec43dbfecdcc3c308eea613dcc66105744e7b6eecdd781edfae30e93cd60,include_broader_text,historical_non_sonnet_poetry,Retained primary text.,,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/italian_wikisource_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,0,592,e2fcec43dbfecdcc3c308eea613dcc66105744e7b6eecdd781edfae30e93cd60
itws:3133:seg0001,itws:3133,35e804370b0f6c0a4c22bb908c5841b5ae443ba6060214f0c2b6ae13533331fa,0,3473,3473,35e804370b0f6c0a4c22bb908c5841b5ae443ba6060214f0c2b6ae13533331fa,include_broader_text,nineteenth_century_bridge,Retained primary text.,,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/italian_wikisource_resolved_v1/nineteenth_century_bridge/part-0001.txt,609,4153,35e804370b0f6c0a4c22bb908c5841b5ae443ba6060214f0c2b6ae13533331fa
itws:3310:seg0001,itws:3310,6b2b0bec654a3c08c3952a7323bc37e44d6cf7ba0916e02736c279a6afcefa3e,0,212894,212894,6b2b0bec654a3c08c3952a7323bc37e44d6cf7ba0916e02736c279a6afcefa3e,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:3320:seg0001,itws:3320,a7c6bdd0359c3b45faaa775c57dcb8565b4c83df4f0ef709c5ee6508b86fedd0,0,166597,166597,a7c6bdd0359c3b45faaa775c57dcb8565b4c83df4f0ef709c5ee6508b86fedd0,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:3426:seg0001,itws:3426,97c438763e134dfc367855bf6820a44644aaccd180e8139f5dae7e67854c220a,0,69152,69152,97c438763e134dfc367855bf6820a44644aaccd180e8139f5dae7e67854c220a,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
itws:3539:seg0001,itws:3539,6896daeab6b445419c7da77480b814f00af1a9a21e4def888169fc796cddd575,0,59852,59852,6896daeab6b445419c7da77480b814f00af1a9a21e4def888169fc796cddd575,exclude_source,excluded,Unknown markup may contain or corrupt primary text.,,inactive_pending_cross_archive_freeze,not_materialized,,,,
