candidate_id,work_root_id,root_title,source_record_author,poem_author,poem_author_resolution,period_bucket,source_url,source_scan_title,source_kind,stanza_pattern,line_count,first_line,last_line,character_start,character_end,source_text_sha256,cleaned_text_sha256,exact_reference_ids,near_reference_ids,protected_v6_reference_ids,candidate_decision,final_role,activation_status,artifact_status,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
itws:14906:sonnet0001,itws:14906,Canti carnascialeschi (Machiavelli),Niccolò Machiavelli,Niccolò Machiavelli,root_metadata_proxy_pending_v7_review,origins_through_1800,https://it.wikisource.org/wiki/Canti_carnascialeschi_(Machiavelli),Opere di Niccolò Machiavelli VI.djvu,structural_14_line_in_poetry_root,14,14,"UDite, Amanti, il lamentoso lutto",Che crudeltà fuor di lor non si trova.,38,510,ba9f6c85f8c4b553dc8f5c845a1a576bf4350a2265026c45213d1ecebde452b4,ba9f6c85f8c4b553dc8f5c845a1a576bf4350a2265026c45213d1ecebde452b4,,,,eligible_standard_sonnet_inactive_pending_v7,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,sonnet_materialized_inactive,data/processed/italian_wikisource_resolved_v1/standard_sonnets/part-0001.txt,0,486,472,486,ba9f6c85f8c4b553dc8f5c845a1a576bf4350a2265026c45213d1ecebde452b4
itws:14906:sonnet0002,itws:14906,Canti carnascialeschi (Machiavelli),Niccolò Machiavelli,Niccolò Machiavelli,root_metadata_proxy_pending_v7_review,origins_through_1800,https://it.wikisource.org/wiki/Canti_carnascialeschi_(Machiavelli),Opere di Niccolò Machiavelli VI.djvu,structural_14_line_in_poetry_root,14,14,"A Queste Pine, c’hanno bei pinocchi,","Le ci volgon le rene, e famci bocchi.",1522,2069,7984887a657b5de7c41921ceddd49ded4841339669e7baa196cfca9b68fc0095,7984887a657b5de7c41921ceddd49ded4841339669e7baa196cfca9b68fc0095,,,,eligible_standard_sonnet_inactive_pending_v7,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,sonnet_materialized_inactive,data/processed/italian_wikisource_resolved_v1/standard_sonnets/part-0001.txt,487,1056,547,569,7984887a657b5de7c41921ceddd49ded4841339669e7baa196cfca9b68fc0095
itws:20130:sonnet0001,itws:20130,E tu ne' carmi avrai perenne vita (1835),Ugo Foscolo,Ugo Foscolo,root_metadata_proxy_pending_v7_review,nineteenth_century,https://it.wikisource.org/wiki/E_tu_ne'_carmi_avrai_perenne_vita_(1835),Opere scelte di Ugo Foscolo II.djvu,source_metadata_sonnet,4-4-3-3,14,E tu ne’ carmi avrai perenne vita,Spirar ambrosia l’aure innamorate.,7,508,3d2dfdae8baece947adc95d40d7e1394301a23292530dbf3b387d2cbf189c505,08f8fe66207fe76c6d43b03b0d3c36de7bd736859a6d089902181a1026588f40,v6:foscolo_e_tu_ne_carmi_avrai_perenne_vita_1835,,,exclude_canonical_sonnet_duplicate,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:20141:sonnet0001,itws:20141,"Te nudrice alle Muse, ospite e Dea (1835)",Ugo Foscolo,Ugo Foscolo,root_metadata_proxy_pending_v7_review,nineteenth_century,"https://it.wikisource.org/wiki/Te_nudrice_alle_Muse,_ospite_e_Dea_(1835)",Opere scelte di Ugo Foscolo II.djvu,source_metadata_sonnet,4-4-3-3,14,"Te, nudrice alle muse, ospite e Dea,",Sia il vincitor di tua barbarie altero.,92,635,aea0448ae2e88dbcf12d103399819cb8562d438cfa941bdd35445f34e9053f71,8a3f29c8b594b1af6776c76ef5c20e09fd455aa6417c1c19fb02945c52e6aeba,v6_protected:foscolo_te_nudrice_alle_muse_ospite_e_dea_1835,,v6_protected:foscolo_te_nudrice_alle_muse_ospite_e_dea_1835,exclude_protected_v6_sonnet,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:37028:sonnet0001,itws:37028,A Francesco Saverio Fabre,Ugo Foscolo,Ugo Foscolo,root_metadata_proxy_pending_v7_review,nineteenth_century,https://it.wikisource.org/wiki/A_Francesco_Saverio_Fabre,"Foscolo - Poesie,1856.djvu",explicit_sonnet_heading,14,14,"Vigile è il cor sul mio sdegnoso aspetto,",Il mio volto per te vince la morte.,67,606,bba918faa82672bf3f544675afc06c14be488acee32500f7bf1e44da724b8fc0,938fa06eccf6ffbc8bc60b818fe1071d83175aeb3fe59aa1fb8d224cc75e00c3,,,,eligible_standard_sonnet_inactive_pending_v7,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,sonnet_materialized_inactive,data/processed/italian_wikisource_resolved_v1/standard_sonnets/part-0001.txt,1057,1610,540,553,938fa06eccf6ffbc8bc60b818fe1071d83175aeb3fe59aa1fb8d224cc75e00c3
itws:43761:sonnet0001,itws:43761,Dolce sollievo dell'umane cure,Faustina Maratti,Faustina Maratti,root_metadata_proxy_pending_v7_review,origins_through_1800,https://it.wikisource.org/wiki/Dolce_sollievo_dell'umane_cure,"Zappi, Maratti - Rime I.pdf",explicit_sonnet_heading,14,14,"Dolce sollievo dell’umane cure,","Dolce sollievo de’ miei mali, Amore.",11,534,77119bb25388b71f15137518dd3eb09954393f1afcea8dd3924c8e27de2da479,4b7f4150e45adf285772c4fce832fab7340d1c1edc9a97ff4f9985537eeaca0c,,bibit_sonnet:bibit001063:sonnet_0042,,exclude_canonical_sonnet_duplicate,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:43781:sonnet0001,itws:43781,"Io porto, ahimè, trafitto il manco lato",Faustina Maratti,Faustina Maratti,root_metadata_proxy_pending_v7_review,origins_through_1800,"https://it.wikisource.org/wiki/Io_porto,_ahim%C3%A8,_trafitto_il_manco_lato","Zappi, Maratti - Rime I.pdf",structural_14_line_in_poetry_root,14,14,"Io porto, ahimè, trafitto il manco lato",Avrei vinta col fin viver mio.,5,546,0e206b7542b8973216c8b308e7449add2f9deb1bb06c8d835ab1e8d0b041e6de,4af3c7e872d39dd42cc02fe7f5f1f034f58779b905b0b73e17d7a43d1885ae55,,,,eligible_standard_sonnet_inactive_pending_v7,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,sonnet_materialized_inactive,data/processed/italian_wikisource_resolved_v1/standard_sonnets/part-0001.txt,1611,2174,542,563,4af3c7e872d39dd42cc02fe7f5f1f034f58779b905b0b73e17d7a43d1885ae55
itws:43787:sonnet0001,itws:43787,"Pensier, che vuoi, che in così torvo aspetto",Faustina Maratti,Faustina Maratti,root_metadata_proxy_pending_v7_review,origins_through_1800,"https://it.wikisource.org/wiki/Pensier,_che_vuoi,_che_in_cos%C3%AC_torvo_aspetto","Zappi, Maratti - Rime I.pdf",structural_14_line_in_poetry_root,14,14,"Pensier, che vuoi, che in così torvo aspetto",Quel che tue giuste e dolci leggi offese.,4,565,23ab9acc53d242e0b59aac6129b4b7e31d2e155c037573e2bc80c9c3d8705e44,958ddef4a436ae0a5dd4ab5dbefe1af07d8d058f2a3dd2fa00f3c512c4fedac5,,,,eligible_standard_sonnet_inactive_pending_v7,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,sonnet_materialized_inactive,data/processed/italian_wikisource_resolved_v1/standard_sonnets/part-0001.txt,2175,2754,562,579,958ddef4a436ae0a5dd4ab5dbefe1af07d8d058f2a3dd2fa00f3c512c4fedac5
itws:43788:sonnet0001,itws:43788,Qualora il tempo alla mia mente riede,Faustina Maratti,Faustina Maratti,root_metadata_proxy_pending_v7_review,origins_through_1800,https://it.wikisource.org/wiki/Qualora_il_tempo_alla_mia_mente_riede,"Zappi, Maratti - Rime I.pdf",structural_14_line_in_poetry_root,14,14,"Qualora il tempo alla mia mente riede,","Vinta rimango, e non ho più difesa.",3,542,3e7974fbae7b9f4bc3b22a557dfb1693028d465fcbd26c140c581bb0fc19e0af,615ebaf8a3b34efa00b662ec888fda9f16e685d73959d183d3b93bbf3af14b0a,,,,eligible_standard_sonnet_inactive_pending_v7,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,sonnet_materialized_inactive,data/processed/italian_wikisource_resolved_v1/standard_sonnets/part-0001.txt,2755,3317,540,562,615ebaf8a3b34efa00b662ec888fda9f16e685d73959d183d3b93bbf3af14b0a
itws:43789:sonnet0001,itws:43789,"Non so per qual ria sorte, o qual mio danno",Faustina Maratti,Faustina Maratti,root_metadata_proxy_pending_v7_review,origins_through_1800,"https://it.wikisource.org/wiki/Non_so_per_qual_ria_sorte,_o_qual_mio_danno","Zappi, Maratti - Rime I.pdf",structural_14_line_in_poetry_root,14,14,"Non so per qual ria sorte, o qual mio danno",Nè pur l’antica libertà rammenti.,4,556,96236f3fad297a9852d7117c30f7e72925ba4f38637b18a8aacddb89571b7db3,d42485e2795f62503e5390115dc52b7b06a68d3423d5a66383d2bc7f96d06bff,bibit_sonnet:bibit001063:sonnet_0038,,,exclude_canonical_sonnet_duplicate,standard_sonnets,inactive_pending_v7_attribution_and_split_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
