record_id,title,author,landing_page_url,reference_edition,editor,translator,digitization_credit,layout_credit,publication_credit,revision_credit,license_label,license_url,book_license_terms_url,required_notice,modification_notice,downstream_note,activation_status
ll:2344098,Delle Frascherie di Antonio Abati fasci tre,Antonio Abati,https://liberliber.it/autori/autori-a/antonio-abati/delle-frascherie-di-antonio-abati-fasci-tre/,"Delle Frascherie di Antonio Abati fasci tre / di Antonio Abati . - In Francfort [i.e. Venezia] : per li heredi Sardani, 1673. - 280, [8] p. ; 12º",,,David Ramanzini,,"Claudio Paganelli, Stefania Ronci",Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344100,Cose vedute,Giuseppe Cesare Abba,https://liberliber.it/autori/autori-a/giuseppe-cesare-abba/cose-vedute/,"Cose vedute : novelle / Giuseppe Cesare Abba ; con prefazione di Mario Pratesi. - Torino : S.T.E.N., 1912. – 288 p. : 1 ritr. ; 20 cm.",,,Paolo Alberti,Paolo Alberti,Catia Righi,Paolo Oliva,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344104,Le rive della Bormida nel 1794,Giuseppe Cesare Abba,https://liberliber.it/autori/autori-a/giuseppe-cesare-abba/le-rive-della-bormida-nel-1794/,"Le rive della Bormida nel 1794 / racconto di Giuseppe Cesare Abba. - Milano : Tipografia E. Civelli e C., 1875. - 424 p. ; 19 cm.",,,"Distributed proofreaders, http://www.pgdp.net",Claudio Paganelli,Catia Righi,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344132,Parvenze e sembianze,Adolfo Albertazzi,https://liberliber.it/autori/autori-a/adolfo-albertazzi/parvenze-e-sembianze/,"Parvenze e sembianze / Adolfo Albertazzi - Bologna : N. Zanichelli, 1892 - 233 p. ; 18 cm",,,Distributed proofreaders,Claudio Paganelli,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344134,Vecchie storie d'amore,Adolfo Albertazzi,https://liberliber.it/autori/autori-a/adolfo-albertazzi/vecchie-storie-damore/,"Vecchie storie d'amore / Adolfo Albertazzi - Bologna : Ditta Nicola Zanichelli di Cesare e Giacomo Zanichelli, 1895 - 218 p. ; 19 cm",,,Distributed proofreaders,Claudio Paganelli,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344155,Rime,Leon Battista Alberti,https://liberliber.it/autori/autori-a/leon-battista-alberti/rime/,"Opere volgari / Leon Battista Alberti ; a cura di Cecil Grayson. - Bari : Gius. Laterza & Figli. - v. ; 22 cm.Vol. 2 : Rime e trattati morali / Leon Battista Alberti. - Bari : Gius. Laterza & Figli, 1966. - 474 p. ; 22 cm. - (Scrittori d'Italia ; 234)",Cecil Grayson,,Catia Righi,Catia Righi,Catia Righi,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344213,Vita nuova,Dante Alighieri,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,"Tutte le opere / Dante Alighieri ; con indice analitico generale dei nomi di persona, luoghi e cose. - 6. ed. - [Firenze] : Barbera, 1965. - 453, CLVII p. ; 19 cm.. - [BNI] 658799.",,,Luca Tringali,Luca Tringali,Marco Calvo,Luca Tringali,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344386,Capitan Dodero,Anton Giulio Barrili,https://liberliber.it/autori/autori-b/anton-giulio-barrili/capitan-dodero/,"Capitan Dodero : novella / di Anton Giulio Barrili. 2. ed.. - Milano : E. Treves, 1872. - 131 p. ; 16 cm.",,,Paolo Alberti,Claudio Paganelli,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344389,Con Garibaldi alle porte di Roma,Anton Giulio Barrili,https://liberliber.it/autori/autori-b/anton-giulio-barrili/con-garibaldi-alle-porte-di-roma/,"Con Garibaldi alle porte di Roma : 1867 : ricordi e note / di Anton Giulio Barrili. - Milano : Treves, [1895]. - 288 p. ; 15 cm. - Data della pref.. - CUBI 58136. - [BNI] 1895 9197.",,,"Distributed proofreaders, https://www.pgdp.net/",Claudio Paganelli,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344496,Ciondolino,Luigi Bertelli (detto Vamba),https://liberliber.it/autori/autori-b/luigi-bertelli-detto-vamba/ciondolino/,"Ciondolino : Libro per ragazzi / Vamba (Luigi Bertelli) ; Con 66 tavole in tricromia e 300 disegni originali di Attilio Mussino. - Firenze : R. Bemporad e Figlio Edit. Tip., 1931. – 327 p. : ill. ; 19 cm",,,Alberto Montemagni,Alberto Montemagni,"Claudio Paganelli, Claudia Pantanetti",Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
