record_id,wordpress_page_id,title,author,landing_page_url,reference_edition,period_bucket,input_role,final_broader_role,probe_decision,final_decision,resolution_reason,extraction_policy,canonical_reference_ids,removed_reference_ids,license_label,license_url,source_cache_path,source_sha256,source_character_count,retained_broader_character_count,excluded_source_character_count,sonnet_candidate_count,eligible_sonnet_count,protected_sonnet_count,activation_status,artifact_status,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
ll:2344098,2344098,Delle Frascherie di Antonio Abati fasci tre,Antonio Abati,https://liberliber.it/autori/autori-a/antonio-abati/delle-frascherie-di-antonio-abati-fasci-tre/,"Delle Frascherie di Antonio Abati fasci tre / di Antonio Abati . - In Francfort [i.e. Venezia] : per li heredi Sardani, 1673. - 280, [8] p. ; 12º",origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,quality_pass_after_bounded_review,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344098.txt,c419b6066c992ea2920da245d4507f49a9408eaecbafdcefad1095b5ffb9a176,319209,318554,655,1,1,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,0,321279,318555,321279,e740859fb2333c4d9a2d9548e65ee5f2c81206422c9df7234aeb6cb9d98c8401
ll:2344100,2344100,Cose vedute,Giuseppe Cesare Abba,https://liberliber.it/autori/autori-a/giuseppe-cesare-abba/cose-vedute/,"Cose vedute : novelle / Giuseppe Cesare Abba ; con prefazione di Mario Pratesi. - Torino : S.T.E.N., 1912. – 288 p. : 1 ritr. ; 20 cm.",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344100.txt,1fbcda9e925b34a1cd8e3e97177aa46ad5c20b91e1ac647cb9b40e9d02fd03c6,366360,366360,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,0,369767,366360,369767,1fbcda9e925b34a1cd8e3e97177aa46ad5c20b91e1ac647cb9b40e9d02fd03c6
ll:2344104,2344104,Le rive della Bormida nel 1794,Giuseppe Cesare Abba,https://liberliber.it/autori/autori-a/giuseppe-cesare-abba/le-rive-della-bormida-nel-1794/,"Le rive della Bormida nel 1794 / racconto di Giuseppe Cesare Abba. - Milano : Tipografia E. Civelli e C., 1875. - 424 p. ; 19 cm.",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344104.txt,6d745c846c853823a9dce9143e1bba5c2e53866c994b0511a6a5e2240150d4e0,773179,773179,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,369768,1149878,773179,780110,6d745c846c853823a9dce9143e1bba5c2e53866c994b0511a6a5e2240150d4e0
ll:2344132,2344132,Parvenze e sembianze,Adolfo Albertazzi,https://liberliber.it/autori/autori-a/adolfo-albertazzi/parvenze-e-sembianze/,"Parvenze e sembianze / Adolfo Albertazzi - Bologna : N. Zanichelli, 1892 - 233 p. ; 18 cm",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344132.txt,f6983e57b844454aaddfec1eb9a6085cf96922412574ab7f25a14a4c7b873030,194390,194390,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,1149879,1346308,194390,196429,f6983e57b844454aaddfec1eb9a6085cf96922412574ab7f25a14a4c7b873030
ll:2344134,2344134,Vecchie storie d'amore,Adolfo Albertazzi,https://liberliber.it/autori/autori-a/adolfo-albertazzi/vecchie-storie-damore/,"Vecchie storie d'amore / Adolfo Albertazzi - Bologna : Ditta Nicola Zanichelli di Cesare e Giacomo Zanichelli, 1895 - 218 p. ; 19 cm",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344134.txt,4b3b35d84e50870f7fe750e789aea46619ba9a10e4de2a846b7fe45cf12d2eb4,167380,167380,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,1346309,1515185,167380,168876,4b3b35d84e50870f7fe750e789aea46619ba9a10e4de2a846b7fe45cf12d2eb4
ll:2344155,2344155,Rime,Leon Battista Alberti,https://liberliber.it/autori/autori-a/leon-battista-alberti/rime/,"Opere volgari / Leon Battista Alberti ; a cura di Cecil Grayson. - Bari : Gius. Laterza & Figli. - v. ; 22 cm.Vol. 2 : Rime e trattati morali / Leon Battista Alberti. - Bari : Gius. Laterza & Figli, 1966. - 474 p. ; 22 cm. - (Scrittori d'Italia ; 234)",origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344155.txt,483ea979c19de5098cfb5372e4c1734efbcc7616e9499a87e229ec597d2cca54,39669,39669,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,321280,361311,39669,40031,483ea979c19de5098cfb5372e4c1734efbcc7616e9499a87e229ec597d2cca54
ll:2344206,2344206,La Divina Commedia,Dante Alighieri,https://liberliber.it/autori/autori-a/dante-alighieri/la-divina-commedia-edizione-petrocchi/,"""Le opere di Dante Alighieri""; Edizione Nazionale a cura della Società Dantesca Italiana. Comprende: ""La Commedia secondo l'antica vulgata"" di Dante Alighieri, a cura di Giorgio Petrocchi, 3 volumi. A. Mondadori Editore, Milano, 1966-67.",origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,exclude_cross_corpus_duplicate_candidate,exclude_canonical_cross_corpus_duplicate,existing_corpus_has_canonical_complete_text,exclude_complete_source,bibit:bibit000019;gutenberg_previous_pool:pg1000;gutenberg_previous_pool:pg1009;gutenberg_previous_pool:pg1010;gutenberg_previous_pool:pg1011;gutenberg_previous_pool:pg1012;gutenberg_previous_pool:pg997;gutenberg_previous_pool:pg998;gutenberg_previous_pool:pg999,bibit:bibit000019;gutenberg_previous_pool:pg1000;gutenberg_previous_pool:pg1009;gutenberg_previous_pool:pg1010;gutenberg_previous_pool:pg1011;gutenberg_previous_pool:pg1012;gutenberg_previous_pool:pg997;gutenberg_previous_pool:pg998;gutenberg_previous_pool:pg999,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344206.txt,def2b41f8761f414accc12c01660a791933a12515111c808f69f3cef497f01e6,685409,0,685409,0,0,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213,2344213,Vita nuova,Dante Alighieri,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,"Tutte le opere / Dante Alighieri ; con indice analitico generale dei nomi di persona, luoghi e cose. - 6. ed. - [Firenze] : Barbera, 1965. - 453, CLVII p. ; 19 cm.. - [BNI] 658799.",origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,quarantine_protected_v6_segment_before_activation,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,v6:dante_i_a_ciascun_alma_presa_e_gentil_core;v6:dante_vi_piangete_amanti_poi_che_piange_amore;v6:dante_viii_cavalcando_l_altr_ier_per_un_cammin;v6:dante_x_tutti_li_miei_penser_parlan_d_amore;v6:dante_xi_con_l_altre_donne_mia_vista_gabbate;v6:dante_xii_ciò_che_m_incontra_ne_la_mente_more;v6:dante_xiii_spesse_fiate_vegnomi_a_la_mente;v6:dante_xix_se_tu_colui_c_hai_trattato_sovente;v6:dante_xvi_amore_e_l_cor_gentil_sono_una_cosa;v6:dante_xvii_ne_li_occhi_porta_la_mia_donna_amore;v6:dante_xviii_voi_che_portate_la_sembianza_umile;v6:dante_xxi_io_mi_senti_svegliar_dentro_a_lo_core;v6:dante_xxii_tanto_gentile_e_tanto_onesta_pare;v6:dante_xxiii_vede_perfettamente_onne_salute;v6:dante_xxiv_sì_lungiamente_m_ha_tenuto_amore;v6:dante_xxvi_venite_a_intender_li_sospiri_miei;v6:dante_xxx_era_venuta_ne_la_mente_mia;v6:dante_xxxi_videro_li_occhi_miei_quanta_pietate;v6:dante_xxxii_color_d_amore_e_di_pietà_sembianti;v6:dante_xxxiii_l_amaro_lagrimar_che_voi_faceste;v6:dante_xxxiv_gentil_pensero_che_parla_di_vui;v6:dante_xxxv_lasso_per_forza_di_molti_sospiri;v6:dante_xxxvi_deh_peregrini_che_pensosi_andate;v6:dante_xxxvii_oltre_la_spera_che_più_larga_gira,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344213.txt,74699cd4d13923d50e0d0731d04e98f3350ba97981afc7f1184d1c2c1a0660bc,104916,92693,12223,24,0,2,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,361312,455051,92717,93739,bdb1dded0a7ed32b010bcad80c045a1005b60449b7e4805ebfa452d7e080ffd0
ll:2344214,2344214,Vita nuova,Dante Alighieri,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova-edizione-bemporad-1932/,"1: La vita nuova / di Dante Alighieri ; edizione critica per cura di Michele Barbi. - Edizione nazionale delle opere di Dante / Società Dantesca Italiana – Firenze : Bemporad, 1932. - CCCIX, 177 p., 5! c. di tav. ripieg. : facs. ; 27 cm.",origins_through_1800,standard_sonnets,standard_sonnets,quarantine_protected_v6_segment_before_activation,exclude_alternate_vita_nuova_edition,canonical_liber_liber_edition_is_ll:2344213,exclude_alternate_source_edition,,ll:2344213,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344214.txt,93494ad0cfad5e3fdc93eb1a528c074381c768b1616c5307769c331cebab02bb,104357,0,104357,0,0,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344215,2344215,Vita nuova,Dante Alighieri,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova-edizione-newton-compton-1993/,"Dante Alighieri, Tutte le opere, introduzione di Italo Borzi; commenti a cura di Giovanni Fallani, Nicola Maggi e Silvio Zennaro; Grandi tascabili economici Newton; Collana: I mammut, 11; Roma, 1993",origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,quarantine_protected_v6_segment_before_activation,exclude_alternate_vita_nuova_edition,canonical_liber_liber_edition_is_ll:2344213,exclude_alternate_source_edition,,ll:2344213,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2344215.txt,d844e0b8f2e6bb8541ca899f2d6e469cd8226dc166ca7b33affe92ff6f5e1891,104308,0,104308,0,0,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
