segment_id,record_id,source_sha256,character_start,character_end,character_count,segment_sha256,segment_decision,final_role,reason,reference_ids,start_anchor,end_anchor,activation_status,artifact_status,output_shard_path,output_byte_start,output_byte_end,output_sha256
ll:2344098:seg0001,ll:2344098,c419b6066c992ea2920da245d4507f49a9408eaecbafdcefad1095b5ffb9a176,0,8339,8339,49357eecea5f03e4683722926d5046740f2a536ce92db7377cfeec6b0632f733,include_broader_text,historical_non_sonnet_poetry,retained_primary_text,,Note di edizione: Criteri seguiti per la trascrizione Si è corretto qualche evidente errore di composizione tipografica,dia ai nati Libri i Vermi. § § § § IL SIGNOR LUIGI FICIENI Al Libro.,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,0,8427,49357eecea5f03e4683722926d5046740f2a536ce92db7377cfeec6b0632f733
ll:2344098:seg0002,ll:2344098,c419b6066c992ea2920da245d4507f49a9408eaecbafdcefad1095b5ffb9a176,8339,8994,655,5265519fba15d3f75cd8dbdeba7d7fd8ec00989148a2cfbe41e8096210ce77c9,exclude_isolated_sonnet_from_broader_text,excluded,sonnet_isolated_from_broader_stage,,"Bel Cantor de l'Età, Parto secondo, Nasci con l'arco in man sott'al mio guardo, Per combattere,","lo il tuo ferir canoro, Al cupo sen de l'assettato Avaro: Poiché ogni stral, che vibri, ha punta d'oro.",inactive_pending_cross_archive_freeze,not_materialized,,,,
ll:2344098:seg0003,ll:2344098,c419b6066c992ea2920da245d4507f49a9408eaecbafdcefad1095b5ffb9a176,8994,319209,310215,4715a46e4c5cb9e2aff0b593850da3d6053d8293f12216f0a4cba4968ec71f4a,include_broader_text,historical_non_sonnet_poetry,retained_primary_text,,§ § § § LETTORE. In questo Libro di finta Critica non mi cadde in mente di pe,Senec. (193) Luc. (194) Tacit. (195) Senec. (196) Tacit. (197) Iuven. (198) Poli. (199) Plut. (200) Guar. (201) Horat.,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,8428,321279,4715a46e4c5cb9e2aff0b593850da3d6053d8293f12216f0a4cba4968ec71f4a
ll:2344100:seg0001,ll:2344100,1fbcda9e925b34a1cd8e3e97177aa46ad5c20b91e1ac647cb9b40e9d02fd03c6,0,366360,366360,1fbcda9e925b34a1cd8e3e97177aa46ad5c20b91e1ac647cb9b40e9d02fd03c6,include_broader_text,nineteenth_century_bridge,retained_primary_text,,COSE VEDUTE NOVELLE con Prefazione di Mario Pratesi S.T.E.N. Società Tipografico-Editrice Nazionale (già Roux e Viarengo,Prefazione Nunzia Le Nozze d'Arcangela Primi duoli Prendi moglie I baffi e il cuore del signor Saul Il dottor Crisante,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,0,369767,1fbcda9e925b34a1cd8e3e97177aa46ad5c20b91e1ac647cb9b40e9d02fd03c6
ll:2344104:seg0001,ll:2344104,6d745c846c853823a9dce9143e1bba5c2e53866c994b0511a6a5e2240150d4e0,0,773179,773179,6d745c846c853823a9dce9143e1bba5c2e53866c994b0511a6a5e2240150d4e0,include_broader_text,nineteenth_century_bridge,retained_primary_text,,"LE RIVE DELLA BORMIDA NEL 1794 CAPITOLO PRIMO Chi si parte dalla marina del Finale, e su pel fianco dell'Appennino va ve","nome di quel frate, come non vorrei che fosse del mio racconto, chi chiude ora il libro con una grande rifiatata. FINE.",inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,369768,1149878,6d745c846c853823a9dce9143e1bba5c2e53866c994b0511a6a5e2240150d4e0
ll:2344132:seg0001,ll:2344132,f6983e57b844454aaddfec1eb9a6085cf96922412574ab7f25a14a4c7b873030,0,194390,194390,f6983e57b844454aaddfec1eb9a6085cf96922412574ab7f25a14a4c7b873030,include_broader_text,nineteenth_century_bridge,retained_primary_text,,PARVENZE E SEMBIANZE LIBERALITÀ DI MESSER BERTRAMO D'AQUINO CHI DI GALLINA NASCE..... GREGORIO LETI SPIRITO SATIRICO - P,La novella di Fiordiligi Finito di stampare il dì 2 maggio MDCCCXCII nella tipografia di Nicola Zanichelli in Bologna.,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,1149879,1346308,f6983e57b844454aaddfec1eb9a6085cf96922412574ab7f25a14a4c7b873030
ll:2344134:seg0001,ll:2344134,4b3b35d84e50870f7fe750e789aea46619ba9a10e4de2a846b7fe45cf12d2eb4,0,167380,167380,4b3b35d84e50870f7fe750e789aea46619ba9a10e4de2a846b7fe45cf12d2eb4,include_broader_text,nineteenth_century_bridge,retained_primary_text,,VECCHIE STORIE D'AMORE BOLOGNA DITTA NICOLA ZANICHELLI (Cesare e Giacomo Zanichelli) MDCCCXCV. Le passioni umane non mut,Le fonti Nota Finito di stampare il dí 25 Febbraio MDCCCXCV nella tipografia della ditta Nicola Zanichelli in Bologna.,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,1346309,1515185,4b3b35d84e50870f7fe750e789aea46619ba9a10e4de2a846b7fe45cf12d2eb4
ll:2344155:seg0001,ll:2344155,483ea979c19de5098cfb5372e4c1734efbcc7616e9499a87e229ec597d2cca54,0,39669,39669,483ea979c19de5098cfb5372e4c1734efbcc7616e9499a87e229ec597d2cca54,include_broader_text,historical_non_sonnet_poetry,retained_primary_text,,RIME 1 Io vidi già seder nell'arme irato uomo furioso palido e tremare; e gli occhi vidi spesso lagrimare per troppo cal,gli occhi onde quel dolce riso in me nutriva fede in fra 'l suspetto piango mie sdegni e castigo i mie crucci. - FINE -,inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,321280,361311,483ea979c19de5098cfb5372e4c1734efbcc7616e9499a87e229ec597d2cca54
ll:2344206:seg0001,ll:2344206,def2b41f8761f414accc12c01660a791933a12515111c808f69f3cef497f01e6,0,685409,685409,def2b41f8761f414accc12c01660a791933a12515111c808f69f3cef497f01e6,exclude_full_source_duplicate,excluded,existing_corpus_has_canonical_complete_text,bibit:bibit000019;gutenberg_previous_pool:pg1000;gutenberg_previous_pool:pg1009;gutenberg_previous_pool:pg1010;gutenberg_previous_pool:pg1011;gutenberg_previous_pool:pg1012;gutenberg_previous_pool:pg997;gutenberg_previous_pool:pg998;gutenberg_previous_pool:pg999,LA DIVINA COMMEDIA Raffaello. Dante –––––––––– Proprietà letteraria e artistica –––––––––– Milano. – Tip. Treves. PREFAZ,"ri. CANTO XXXIII 354. Dio in gloria, disegno a penna e bistro, di Federico Zuccari. – R. Galleria degli Uffizi, 10 992.",inactive_pending_cross_archive_freeze,not_materialized,,,,
ll:2344213:seg0001,ll:2344213,74699cd4d13923d50e0d0731d04e98f3350ba97981afc7f1184d1c2c1a0660bc,0,5940,5940,069b964f464a460485d2117717d1a9e20104482697620a582334be43d8dfdac2,include_broader_text,historical_non_sonnet_poetry,retained_primary_text,,"Vita nuova di Dante Alighieri I. In quella parte del libro de la mia memoria, dinanzi a la quale poco si potrebbe legge","ro ciò che io avea nel mio sonno veduto. E cominciai allora questo sonetto, lo quale comincia: ""A ciascun'alma presa"".",inactive_pending_cross_archive_freeze,materialized_in_inactive_record,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,361312,367298,069b964f464a460485d2117717d1a9e20104482697620a582334be43d8dfdac2
