candidate_id,record_id,source_title,source_record_author,poem_author,poem_author_resolution,period_bucket,source_url,source_kind,stanza_pattern,line_count,character_start,character_end,source_text_sha256,cleaned_text_sha256,first_line,last_line,exact_reference_ids,near_reference_ids,protected_v6_reference_ids,candidate_decision,final_role,activation_status,artifact_status,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
ll:2344098:char8339-8994,ll:2344098,Delle Frascherie di Antonio Abati fasci tre,Antonio Abati,Antonio Abati,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/antonio-abati/delle-frascherie-di-antonio-abati-fasci-tre/,structural_14_line,4-4-3-3,14,8339,8994,5265519fba15d3f75cd8dbdeba7d7fd8ec00989148a2cfbe41e8096210ce77c9,1aa307a257eda92d0df7e7f856de17c112508f0140edc06352188becc852d961,"Bel Cantor de l'Età, Parto secondo,","Poiché ogni stral, che vibri, ha punta d'oro.",,,,eligible_standard_sonnet_inactive_pending_checkpoint7,standard_sonnets,inactive_pending_cross_archive_freeze,sonnet_materialized_inactive,data/processed/liber_liber_resolved_v1/standard_sonnets/part-0001.txt,0,548,540,548,1aa307a257eda92d0df7e7f856de17c112508f0140edc06352188becc852d961
ll:2344213:char5940-6461,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,5940,6461,5946dcba20b310d2f4ef4338df9d40c9f8c8f8707cc59451e65288d25ce29f81,dcb99e390fb82f2c3fee5e242e5ad8136e1434e36fa4f974a6c8adc11f995d23,"A ciascun'alma presa, e gentil core,",appresso gir lo ne vedea piangendo.,v6:dante_i_a_ciascun_alma_presa_e_gentil_core,,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char12584-13100,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,12584,13100,e1f95c952e283b7ad883d65c8a0fd152aec788f4e86a97ec46cd5b5b1fb97cb5,84ca00fbaa8186a88f4112f778d0faa2c1576c867777713e676d2d0b476aacf3,"Piangete, amanti, poi che piange Amore,",che donna fu di sì gaia sembianza.,,v6:dante_vi_piangete_amanti_poi_che_piange_amore,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char16356-16850,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,16356,16850,79320a811d4d47168c00930895ec015282e37ecdf38e1c2819a3985834b237b8,ec776caf9ee57c8b31f72af71d3e7c9f27e9b740c99e2152392a9a6ad2f9ac85,"Cavalcando l'altr'ier per un cammino,","ch'elli disparve, e non m'accorsi come.",,v6:dante_viii_cavalcando_l_altr_ier_per_un_cammin,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char25983-26490,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,25983,26490,bdd1e2832ee7b8a75a44b40e90bec84513471592aab10e9953c90f470c3b3a59,0c03964a3991bc344370fc5e99ecf5896f9967cbb2a67e6b7b0f15ba6b78f459,Tutti li miei pensier parlan d'Amore;,"madonna la Pietà, che mi difenda.",,v6:dante_x_tutti_li_miei_penser_parlan_d_amore,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char30255-30771,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,30255,30771,e9dbbe9d9d52faf45d7e9c3bcd89826ca86425b6ce23375f8580c8ba29daad9f,d1b0f03eabc16073433236244cd0710c7876921808b2de85b3243eaae71d3638,"Con l'altre donne mia vista gabbate,",li guai de li scacciati tormentosi.,,v6:dante_xi_con_l_altre_donne_mia_vista_gabbate,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char32643-33186,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,32643,33186,25ee2ad49d6264389d47534a83eedbef09d81038af753b6e9baafd688ccfd060,bf6c0d05ada5dbda90c398e3a9707727621098d990d5ae25f9630015e997f156,"Ciò che m'incontra ne la mente, more,","de li occhi, c'hanno di lor morte voglia.",v6:dante_xii_ciò_che_m_incontra_ne_la_mente_more,,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char35199-35705,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,35199,35705,94872adefb58953239b079abb41241babcd4878c1cee67c6beef43d274b40b66,a9c1ab26b882efb576cc643700e06941b46c27d63319073dba22d77b86c9a8b9,Spesse fiate vègnonmi a la mente,che fa de' polsi l'anima partire.,,v6:dante_xiii_spesse_fiate_vegnomi_a_la_mente,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char45712-46230,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,45712,46230,e84c82b6fe28d20c4b644cfcd0fc8b36fa1851634b0727461df1033645cc8380,b70ee6cb4b651d8901e2c031b71532caf5ef98dbb299532f7ce5465fa0723f1c,"Amore e 'l cor gentil sono una cosa,",E simil fàce in donna omo valente.,,v6:dante_xvi_amore_e_l_cor_gentil_sono_una_cosa,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2344213:char47261-47775,ll:2344213,Vita nuova,Dante Alighieri,Dante Alighieri,source_collection_author,origins_through_1800,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova/,source_metadata_sonnet_collection,14,14,47261,47775,fe857076dc8aea93b1c2117bac4e2ae3db5f8928ff431dee341e6d62722da553,cd642d05a4db619c30cad0caf206eb9ee13bfb09925b6dbdd1fee3afd423b1f2,"Negli occhi porta la mia donna Amore,",sì è novo miracolo e gentile.,,v6:dante_xvii_ne_li_occhi_porta_la_mia_donna_amore,,exclude_existing_corpus_sonnet_duplicate,standard_sonnets,inactive_pending_cross_archive_freeze,not_materialized_duplicate_or_protected,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
