segment_id,ebook_id,source_cleaned_sha256,character_start,character_end,character_count,segment_sha256,segment_decision,final_role,reason,reference_ids,start_anchor,end_anchor,artifact_status,artifact_kind,output_shard_path,output_byte_start,output_byte_end,output_sha256
pg997:seg0001,997,65885d72a91c40293bd3f106bba53ba5eec6c100d5732b1e09c9a5595139349a,0,178629,178629,65885d72a91c40293bd3f106bba53ba5eec6c100d5732b1e09c9a5595139349a,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,LA DIVINA COMMEDIA di Dante Alighieri CANTICA I: INFERNO Contents INFERNO Canto I. Canto II. Canto III. Can,"ndo, tanto ch’i’ vidi de le cose belle che porta ’l ciel, per un pertugio tondo. E quindi uscimmo a riveder le stelle.",not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg998:seg0001,998,667b703e6ff68d1044b95a6b15e2ea0357331f693e6d625c5d113e59310a873a,0,179156,179156,667b703e6ff68d1044b95a6b15e2ea0357331f693e6d625c5d113e59310a873a,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,LA DIVINA COMMEDIA di Dante Alighieri CANTICA II: PURGATORIO Contents PURGATORIO Canto I. Canto II. Canto III,"la santissima onda rifatto sì come piante novelle rinovellate di novella fronda, puro e disposto a salire a le stelle.",not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg999:seg0001,999,aa96bf7ae1b9af78abfb5562a33f27409e6a1a5975ebbb031305f96087fb8384,0,176071,176071,aa96bf7ae1b9af78abfb5562a33f27409e6a1a5975ebbb031305f96087fb8384,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,LA DIVINA COMMEDIA di Dante Alighieri CANTICA III: PARADISO Contents PARADISO Canto I. Canto II. Canto III.,"ma già volgeva il mio disio e ’l velle, sì come rota ch’igualmente è mossa, l’amor che move il sole e l’altre stelle.",not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg1000:seg0001,1000,807d223287131588e7bff0d5da1554efb957ed3a121cfef5c1d9a6dcbd867f37,0,533690,533690,807d223287131588e7bff0d5da1554efb957ed3a121cfef5c1d9a6dcbd867f37,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,LA DIVINA COMMEDIA di Dante Alighieri Contents INFERNO Canto I. Canto II. Canto III. Canto IV. Canto V.,"ma già volgeva il mio disio e ’l velle, sì come rota ch’igualmente è mossa, l’amor che move il sole e l’altre stelle.",not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg1009:seg0001,1009,c14beb94ada6a5a4edb97a5e3c1d6cea0de8bc97d699f8fe19ba35da15d980b0,0,177862,177862,c14beb94ada6a5a4edb97a5e3c1d6cea0de8bc97d699f8fe19ba35da15d980b0,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,LA DIVINA COMMEDIA di Dante Alighieri INFERNO Canto I Nel mezzo del cammin di nostra vita mi ritrovai per una,"ndo, tanto ch’i’ vidi de le cose belle che porta ’l ciel, per un pertugio tondo. E quindi uscimmo a riveder le stelle.",not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg1010:seg0001,1010,a544be302ef27cc4d5fd00bf2c58d088b8aad795557db96eeda6ba654b718974,0,189035,189035,a544be302ef27cc4d5fd00bf2c58d088b8aad795557db96eeda6ba654b718974,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,Produced by an anonymous Project Gutenberg volunteer. HTML version by Al Haines. LA DIVINA COMMEDIA di Dan,ft single quotation mark  = right single quotation mark  = em dash  = middot . . . = ellipsis,not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg1011:seg0001,1011,9090ab6fe2e585cd68a5a36653e099b8463bba1f238fc5097c2ce755e530e1b5,0,185960,185960,9090ab6fe2e585cd68a5a36653e099b8463bba1f238fc5097c2ce755e530e1b5,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,Produced by an anonymous Project Gutenberg volunteer. HTML version by Al Haines. LA DIVINA COMMEDIA di Dan,ft single quotation mark  = right single quotation mark  = em dash  = middot . . . = ellipsis,not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg1012:seg0001,1012,4189d26cabd4b926281d2d10bd4757b3989b5078776b538e5159ec420226f518,0,561753,561753,4189d26cabd4b926281d2d10bd4757b3989b5078776b538e5159ec420226f518,exclude_full_source_duplicate,excluded,canonical_text_already_exists,bibit:bibit000019,LA DIVINA COMMEDIA di Dante Alighieri INFERNO Inferno • Canto I Nel mezzo del cammin di nostra vita,ft single quotation mark ’ = right single quotation mark — = em dash • = middot . . . = ellipsis,not_materialized_by_segment_decision,excluded_or_quarantined_source_segment,,,,
pg3747:seg0001,3747,28cac6e7ab170868a6e72c2759509bbdc0e926a251b7d619328e8cf642210aff,0,1571209,1571209,28cac6e7ab170868a6e72c2759509bbdc0e926a251b7d619328e8cf642210aff,include_record_text,historical_non_sonnet_poetry,retained_primary_text,,"Produced by Liber Liber (http://www.liberliber.it), with extensive corrections and HTML version by Barbara Magni.","a dal corpo più freddo che giaccio, bestemmiando fuggì l'alma sdegnosa, che fu sì altiera al mondo e sì orgogliosa.",materialized_in_record_artifact,historical_non_sonnet_poetry,data/processed/project_gutenberg_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,0,1587225,28cac6e7ab170868a6e72c2759509bbdc0e926a251b7d619328e8cf642210aff
pg6887:seg0001,6887,83e350b70e7be0ff4f46e848b8e959f91766fae1591caecdc1fcaaf4fe67c4c3,0,260237,260237,83e350b70e7be0ff4f46e848b8e959f91766fae1591caecdc1fcaaf4fe67c4c3,include_record_text,nineteenth_century_bridge,retained_primary_text,,"Produced by Claudio Paganelli, Carlo Traverso, Charles Franks and the Distributed Proofreading Team. The production of t","n Bianzone, 2 in Teglio, 1 a Castione Inferiore, 1 a Cajolo, 65 nel contado di Chiavenna. (101) Relazione manoscritta.",materialized_in_record_artifact,nineteenth_century_bridge,data/processed/project_gutenberg_resolved_v1/nineteenth_century_bridge/part-0001.txt,0,261823,83e350b70e7be0ff4f46e848b8e959f91766fae1591caecdc1fcaaf4fe67c4c3
