candidate_id,ebook_id,title,source_record_authors,poem_author,poem_author_resolution,period_bucket,source_archive,source_url,source_kind,stanza_pattern,line_count,first_line,last_line,character_start,character_end,source_text_sha256,cleaned_source_text_sha256,candidate_decision,manual_review_resolution,manual_review_rationale,exact_reference_ids,near_reference_ids,heldout_reference_ids,duplicate_gutenberg_candidate_ids,final_role,activation_status,artifact_status,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_line_count,cleaned_sha256
pg6938:char70679-71603,6938,"Rime di Tullia d'Aragona, cortigiana del secolo XVI","Aragona, Tullia d'",,pending_candidate_level_attribution_audit,origins_through_1800,Project Gutenberg,https://www.gutenberg.org/ebooks/6938,structural_14_line,14,14,"[41] ""Le meretrici non possino portare vesti di drappo e seta d'alcuna","_Legislazione toscana_, vol. I, pag. 332).",70679,71603,2b0445b7e028c8ba02ca674f99bf732470e291aa44677117318dbcb407f885e7,b1193b2ca84476c334949adcd2379eb6dc1659bae71b2ef7ecc133121f0a9c67,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is a quoted statute in a footnote, not verse or a sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg6938:char80613-81354,6938,"Rime di Tullia d'Aragona, cortigiana del secolo XVI","Aragona, Tullia d'",,pending_candidate_level_attribution_audit,origins_through_1800,Project Gutenberg,https://www.gutenberg.org/ebooks/6938,structural_14_line,8-6,14,"Sveglia messer Brandisio, e fagli offerta","rispettato, e l'accolse benignamente con ogni onore.",80613,81354,80b81862d3669738e57a13658d0eedde7bce24774c4e66b74a132745a4da1ad1,7606cb59e60f66ef1ccc2093da187d56e4792a02b9383f8b0216d968e56a0c2a,exclude_manual_not_sonnet,exclude_not_sonnet,"Window combines narrative ottava material and prose annotation, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg11685:char12551-12971,11685,L'Endimione,"Metastasio, Pietro",,pending_candidate_level_attribution_audit,origins_through_1800,Project Gutenberg,https://www.gutenberg.org/ebooks/11685,structural_14_line,14,14,DIA.,A prenderti piacer della mia pena.,12551,12971,ea9740bc1ca2c52f74c153388671f2b9012b1095fe2ae5d7ba81a99387a8638c,b62705f784b510ec1663157deaf2814a8f8eca2c63625f886974a5679c5fc60f,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg11685:char21724-22083,11685,L'Endimione,"Metastasio, Pietro",,pending_candidate_level_attribution_audit,origins_through_1800,Project Gutenberg,https://www.gutenberg.org/ebooks/11685,structural_14_line,4-4-6,14,Dall'alma mia costante,Toglimi di tua mano ancor la vita.,21724,22083,0417e7bda1f0cd2f277a4512da0dd755e631eca38c2cbc38401950e978b93e5f,8a499fc37c318edde013d6ba4e7d6d175cd469af98b8f2528a0e9473834cc34d,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg11685:char25911-26366,11685,L'Endimione,"Metastasio, Pietro",,pending_candidate_level_attribution_audit,origins_through_1800,Project Gutenberg,https://www.gutenberg.org/ebooks/11685,structural_14_line,4-4-6,14,"Chi provato ha la procella,",Solo per trionfar composi e finsi.,25911,26366,58fcf6fd98d1519dd1b9777773e328cf5b249c411b0c1f052504a4c93537f85c,1a67a9084c5085d17f504aa845c30ab5bf7b7bec764871f906d77db72c280f9f,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg11685:char27964-28402,11685,L'Endimione,"Metastasio, Pietro",,pending_candidate_level_attribution_audit,origins_through_1800,Project Gutenberg,https://www.gutenberg.org/ebooks/11685,structural_14_line,14,14,AMO.,In fin dall'Istro a vagheggiar ne viene.,27964,28402,29f50317bb6763bbd51d5a138feaf7715d6af411b4afc176a9fbc6bba71f5677,c6c9a38283e4643204f13063ef61fec100d7321675325cff79270cf83e2b53dc,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg17671:char30282-30891,17671,Poesie scelte,"Pellico, Silvio",,pending_candidate_level_attribution_audit,nineteenth_century_bridge,Project Gutenberg,https://www.gutenberg.org/ebooks/17671,structural_14_line,14,14,"Francesca,","M'avria... colei, che per sempre ho perduta.",30282,30891,332711c91ea71acdd05e5ba2f72915a53cca7ded25fb8fca023651435c267fa9,1f4730652cda86e9eeb716b7c26153cce2477a6a2f831f0f0c831164944a7eda,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg17671:char32896-33503,17671,Poesie scelte,"Pellico, Silvio",,pending_candidate_level_attribution_audit,nineteenth_century_bridge,Project Gutenberg,https://www.gutenberg.org/ebooks/17671,structural_14_line,14,14,Il giorno che a Ravenna io giunsi,"Quel giorno, ma t'amai fin da quel giorno.",32896,33503,05e22d9e44b96cf969c650aaa581187284b86bec6a580f6e15787c8900dd56d7,f97dc5b65dfa0203d799994ef6d06cffa80f981b7eb346cbfbf6bd70d4bb600a,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg17671:char46995-47579,17671,Poesie scelte,"Pellico, Silvio",,pending_candidate_level_attribution_audit,nineteenth_century_bridge,Project Gutenberg,https://www.gutenberg.org/ebooks/17671,structural_14_line,14,14,Vaneggio?... Voi raccapricciate?...--Oh Guido!,A calpestarlo verrà forse!,46995,47579,01c319401a6f3d412c880dd22608a28d101aa3c7ce8ae899c129b692192f6a23,f90e916f9ddc6d17e67e9a25596d27d4e58ae3249f18fdd5a902e73a18715b10,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
pg17671:char51796-52375,17671,Poesie scelte,"Pellico, Silvio",,pending_candidate_level_attribution_audit,nineteenth_century_bridge,Project Gutenberg,https://www.gutenberg.org/ebooks/17671,structural_14_line,14,14,Io vengo,Al rammentarlo.,51796,52375,63d2036d9d2c7afbe5024628c4a996829f60f939059b0b22f3b6eb95a97b8b8d,7dbcca5f2f79390805ad7215c4af692ef87a7f8b063c0fa770259ac6dd2c748f,exclude_manual_not_sonnet,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet.",,,,,not_standard_sonnet_artifact,excluded_from_sonnet_corpus,not_materialized_exclude_manual_not_sonnet,,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
