unit_id,source_group,source_id,title,author,source_archive,source_url,epoch_bucket,original_split,final_decision,routing_status,attribution_id,line_count,logical_character_count,logical_byte_count,logical_sha256,storage_kind,storage_path,byte_start,byte_end,activation_status,training_eligible,canonical_author_key,author_group_id,author_resolution_status,work_group_id,split_group_id,v7_split,v7_split_tier,v7_split_decision,v8_rendering_policy,source_tei_sha256,source_line_text_sha256,source_storage_path,source_byte_start,source_byte_end,source_logical_sha256,supersedes_logical_sha256,v8_normalization_policy,long_s_replacement_count,base_v7_split,base_v7_training_eligible,v8_split,v8_split_group_id,v8_split_decision,v8_training_eligible
bibit:sonnet:bibit000002:sonnet_0004,bibit,bibit000002:sonnet_0004,Rime,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000002,400,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000002,14,499,509,21de7cb21ff84c921e79f31180c6c517bd5410803073304616403bd4f5e997ff,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,0,509,v8_train,true,alberti battista leon,author:1bd6f5a28f5458a9,resolved_author,work:b4b29bf0832dbbdc,split_group:ad398fd1b7f90d94,train,v7_training,group_assigned_train,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,0,510,32ca5bdacf66aeaeba0c7475f0405c80e4c61000197aa57f7def97c448362856,,long_s_u017f_to_ascii_s_v1,0,train,true,train,v8split:ddbaa3b8c7efb771,preserve_v7_assignment_after_v8_check,true
bibit:sonnet:bibit000002:sonnet_0005,bibit,bibit000002:sonnet_0005,Rime,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000002,400,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000002,14,569,574,719887b4f00fa9d09745758911dd3cfaebe8bf6e315b61431e34ddbdf38e45dd,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,510,1084,v8_train,true,alberti battista leon,author:1bd6f5a28f5458a9,resolved_author,work:b4b29bf0832dbbdc,split_group:ad398fd1b7f90d94,train,v7_training,group_assigned_train,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,511,1086,4441da1d86059fddc4da9054e7dc504032e7df647f21bdb9820662499a39387f,,long_s_u017f_to_ascii_s_v1,0,train,true,train,v8split:ddbaa3b8c7efb771,preserve_v7_assignment_after_v8_check,true
bibit:sonnet:bibit000002:sonnet_0006,bibit,bibit000002:sonnet_0006,Rime,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000002,400,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000002,14,539,542,840e629a463a0e7c5a3f09ed0c462a9afc6f6aae62b6f769fa4ed0fe3f75fc09,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,1085,1627,v8_train,true,alberti battista leon,author:1bd6f5a28f5458a9,resolved_author,work:b4b29bf0832dbbdc,split_group:ad398fd1b7f90d94,train,v7_training,group_assigned_train,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,1087,1630,0cc7d05895463a7978dda03f19157487d9033692d94dec5db19df14ff0e3e8b9,,long_s_u017f_to_ascii_s_v1,0,train,true,train,v8split:ddbaa3b8c7efb771,preserve_v7_assignment_after_v8_check,true
bibit:sonnet:bibit000002:sonnet_0007,bibit,bibit000002:sonnet_0007,Rime,"Alberti, Leon Battista",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000002,400,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000002,14,534,549,e4d1d49f57ac1fbbc0178b89e39ff2d8cc195e420edc4390c78284bd080430b7,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,1628,2177,v8_train,true,alberti battista leon,author:1bd6f5a28f5458a9,resolved_author,work:b4b29bf0832dbbdc,split_group:ad398fd1b7f90d94,train,v7_training,group_assigned_train,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,1631,2181,63b801874362700c3154f6d20639ac10432fe7fcc06257b0e936e1dae14b77fc,,long_s_u017f_to_ascii_s_v1,0,train,true,train,v8split:ddbaa3b8c7efb771,preserve_v7_assignment_after_v8_check,true
bibit:sonnet:bibit000022:sonnet_0001,bibit,bibit000022:sonnet_0001,Lettere sull'arte,"Aretino, Pietro",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000022,500,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000022,14,574,577,c33aa1e188284096e2ac6df28124390f4966eb8307abafb801512368c70fe1c0,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,2178,2755,v8_validation,false,aretino pietro,author:a99295d5c34817d6,resolved_author,work:f78a43502c08066e,split_group:94856a9f04d8304c,validation,clean_v7_grouped,clean_author_work_disjoint_validation,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,2182,2760,bf55939a22de15ea92b4a0f907d50a4ce35af5aeb4f708e0cdea02ccc46f08fd,,long_s_u017f_to_ascii_s_v1,0,validation,false,validation,v8split:ca7ff6dec66adf51,preserve_v7_assignment_after_v8_check,false
bibit:sonnet:bibit000022:sonnet_0002,bibit,bibit000022:sonnet_0002,Lettere sull'arte,"Aretino, Pietro",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000022,500,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000022,14,517,519,d282a78cbe54cd2af28f03ae2c5fc692851bc1e34fca11c9aaa0d56df4029896,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,2756,3275,v8_validation,false,aretino pietro,author:a99295d5c34817d6,resolved_author,work:f78a43502c08066e,split_group:94856a9f04d8304c,validation,clean_v7_grouped,clean_author_work_disjoint_validation,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,2761,3281,11d14578b37ef300c3a84c8348b00c391e5583afda238ebe41076a7c4e67a8b6,,long_s_u017f_to_ascii_s_v1,0,validation,false,validation,v8split:ca7ff6dec66adf51,preserve_v7_assignment_after_v8_check,false
bibit:sonnet:bibit000022:sonnet_0003,bibit,bibit000022:sonnet_0003,Lettere sull'arte,"Aretino, Pietro",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000022,500,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000022,14,539,542,d138874e43dd5b2eb1236de5924a7c727b81279aee3ccf7916bcdd283938b781,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,3276,3818,v8_validation,false,aretino pietro,author:a99295d5c34817d6,resolved_author,work:f78a43502c08066e,split_group:94856a9f04d8304c,validation,clean_v7_grouped,clean_author_work_disjoint_validation,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,3282,3825,c2700d002c1ff1b53c2e696f2d6987b677c406ca27fa57d48e983e87568865b2,,long_s_u017f_to_ascii_s_v1,0,validation,false,validation,v8split:ca7ff6dec66adf51,preserve_v7_assignment_after_v8_check,false
bibit:sonnet:bibit000022:sonnet_0004,bibit,bibit000022:sonnet_0004,Lettere sull'arte,"Aretino, Pietro",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000022,500,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000022,14,568,574,5bbafd746ae9d37533df0fc6be6cd880df9d1fdb48010a0e97ad7aad42e37cd5,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,3819,4393,v8_validation,false,aretino pietro,author:a99295d5c34817d6,resolved_author,work:f78a43502c08066e,split_group:94856a9f04d8304c,validation,clean_v7_grouped,clean_author_work_disjoint_validation,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,3826,4401,2f49a357beca75cf82c813b203c57a4614421d53c9d935bab1fc4349a23cd548,,long_s_u017f_to_ascii_s_v1,0,validation,false,validation,v8split:ca7ff6dec66adf51,preserve_v7_assignment_after_v8_check,false
bibit:sonnet:bibit000022:sonnet_0005,bibit,bibit000022:sonnet_0005,Lettere sull'arte,"Aretino, Pietro",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000022,500,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000022,14,531,536,c62fcf56fa843f64725a03193fb23fc320b910d47dadf422846257c60078527d,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,4394,4930,v8_validation,false,aretino pietro,author:a99295d5c34817d6,resolved_author,work:f78a43502c08066e,split_group:94856a9f04d8304c,validation,clean_v7_grouped,clean_author_work_disjoint_validation,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,4402,4939,2ee3d138abba39eb0b4cbc207e39a7f856593e3c1694874fb3e97ecc2dd73e4c,,long_s_u017f_to_ascii_s_v1,0,validation,false,validation,v8split:ca7ff6dec66adf51,preserve_v7_assignment_after_v8_check,false
bibit:sonnet:bibit000022:sonnet_0006,bibit,bibit000022:sonnet_0006,Lettere sull'arte,"Aretino, Pietro",Biblioteca Italiana,http://www.bibliotecaitaliana.it/scheda/bibit000022,500,,retain_canonical_candidate_7b,canonical_identity,attr:bibit:bibit000022,14,536,542,45fc185def33cbd944787756ef2aeb59ba837f27999fb42b43dec16f95c847da,v8_derived_4+4+3+3,data/processed/sonnets_expanded_v8/derived_sonnets/part-0001.txt,4931,5473,v8_validation,false,aretino pietro,author:a99295d5c34817d6,resolved_author,work:f78a43502c08066e,split_group:94856a9f04d8304c,validation,clean_v7_grouped,clean_author_work_disjoint_validation,derived_source_lines_4+4+3+3_v1,,,data/processed/bibit_resolved_v1/standard_sonnets/part-0001.txt,4940,5483,0d748bd1af73a84d7631761fc2398a65acb53a9d2867cfbf54214391d4f611c2,,long_s_u017f_to_ascii_s_v1,0,validation,false,validation,v8split:ca7ff6dec66adf51,preserve_v7_assignment_after_v8_check,false
