storage_id,unit_id,unit_kind,final_role,storage_kind,storage_path,byte_start,byte_end,logical_character_count,logical_byte_count,logical_sha256,physical_file_sha256,public_repository_status
storage:bibit:record:bibit000001,bibit:record:bibit000001,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,0,65068,64483,65068,2f84d19395a2fa9b74f10168bf6a2406f8cdf486036356c87e298d53dbf58805,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000002,bibit:record:bibit000002,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,0,40047,39582,40047,5053a23956b1a6b4e5b4712a85e0fc5564c870dd191d8454481d579e45a85bca,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000003,bibit:record:bibit000003,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,65069,89652,24016,24583,01bfb4a42ecb027278e2670d3dfd4c683eed4beb255cae24447447c0675a1a76,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000005,bibit:record:bibit000005,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,89653,187265,96849,97612,bc198a0dcc23229cfa7484661c0413bef9e855443baf35d40bc3822538b25c3c,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000006,bibit:record:bibit000006,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,187266,201758,14317,14492,1a8e6969a0c3ac13a106b29165cb0a262f0434408f001ce2da2f689e4e1ba65a,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000008,bibit:record:bibit000008,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,201759,217315,15412,15556,ffa99ff6f7af0100ff0d1a59a78d611806634a7401d4f2508ea6eda519b28579,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000009,bibit:record:bibit000009,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,217316,220422,3080,3106,4a8d96d93ecbd4ac0aa7c3b5a726fa57a1e70820cbc8e6b461ebe75840c9345c,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000010,bibit:record:bibit000010,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,220423,929955,702142,709532,35415e61d06e44d3c6fb5da2871ad75db2c1dfb890649089af09e69c923c24e6,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000012,bibit:record:bibit000012,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,929956,1012205,81499,82249,4431bab9c32a7d1982ba80ca7678274b7f832daec8e3ce5b65818c89dcd96718,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000013,bibit:record:bibit000013,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1012206,1069538,56595,57332,ee9d4c7b46273114cd330429dbbaaa604f3fa3daae0553cd1295b9a54870c01f,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000014,bibit:record:bibit000014,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,40048,102735,62077,62687,4cbe5e8205f8f13d99c44fea90a37c312555957b5fd8cacf37eda965c96c0261,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000015,bibit:record:bibit000015,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1069539,1128284,58094,58745,86968d05c5efbdbce049aed69e1c233e48656eafcb7f8e13fca8dcba74ea5e3d,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000016,bibit:record:bibit000016,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1128285,1190553,61593,62268,3fb0cd897b1f509c9793f190da7a62eb228f52627dc732f1e384a4e356a4a1ae,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000017,bibit:record:bibit000017,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1190554,1250537,59371,59983,7813241c57faf154e82210b039ef7b3ca9579cfbd9d8656d185e6b22486bb6ba,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000018,bibit:record:bibit000018,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1250538,1331287,80554,80749,f4811c8e701bcae9a7630982dc0fa3789a2c13ba3ec03e216fef9ccc5784cfc1,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000019,bibit:record:bibit000019,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,102736,638852,529428,536116,c7dc08388fa5b8ca9f8c056e75b38de4af961f12b01d63f742cb87c7d14b1ce5,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000020,bibit:record:bibit000020,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1331288,1399979,67941,68691,dcf80db3a06028c09ab402b32c09cfee48335357095d958535aa6a8a8c9c66db,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000021,bibit:record:bibit000021,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1399980,1769214,366364,369234,ff0e101aada3124ee5aabddac187f3a28603cce898102059ba691a7ea3a6d3c8,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000022,bibit:record:bibit000022,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1769215,2900573,1119313,1131358,623c5eae7047c7fb8890cc3f068d6c5569f5839317ea7e4b8c868abfbefbbb85,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000023,bibit:record:bibit000023,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,2900574,2990399,88924,89825,b5f8446729dce597bbcd29aabc23bd5b73a6840851250c037c02dd16d631068e,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000024,bibit:record:bibit000024,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,638853,746213,106116,107360,5601331537cdd78c46adb7c105dd883bcf1909bb879b3e41f2e9a62bc67075cc,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000025,bibit:record:bibit000025,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,746214,820349,72056,74135,516137a685144bb0c45961e208ee6fb2fa156dd040d50199be94af8cc2e4e6b4,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000026,bibit:record:bibit000026,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,820350,992766,170753,172416,0ffca05a7177765de0f5d1625f7ca8f60804ecf5ef9289790b447ee7e53c14da,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
