repository_relative_path,scope,git_blob_oid,sha256,artifact_class,source,source_revision,rights_evidence_reference,modifications_made_by_project,required_notices,current_tree_disposition,historical_retention_disposition,privacy_security_disposition,decision_authority_role,decision_record_id,review_date
.gitattributes,current_tree,c72e0fcbf6d37d6f65ac5bd9d13902abc111f0a5,21764e5cb6caedebaae44692d4129370d7d33f40d7bbc3ba492c7e171cde25bf,repository_support,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
.github/workflows/ci.yml,current_tree,8e707b5f457e8415fc61c741fed810de7099a0e9,0f63d00461c788730c9c98bb20fc1471568c9e0dbe026bdb48ea8ba876e3a9b2,repository_support,Leonardo_project_work_with_AI_assistance,8e707b5f457e8415fc61c741fed810de7099a0e9,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
.gitignore,current_tree,0f1e6a3e3852a65f282f8806f6f895cf16dc6c08,059991da9e997f5c6fe1c76a50ae3ab4848d97b93a1d22c0118c5e7f60281997,repository_support,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
AI_CONTRIBUTIONS.md,current_tree,76d33d3227681125a774ff42d98773dfacaab725,ed76f5f3148daa27ba8599d297c5ee4ae905275fee86377c28a3ca273b806b20,documentation,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
CHANGELOG.md,current_tree,fa61470005fcbf090fdf82e7dcbdb2f6ce752de2,258ef327c2a84aa9d0667df87a60c82e54b1489c7fb346774bcb4ce07d27d708,documentation,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
CITATION.cff,current_tree,3baf8b816d085f2e5d6238ae8dee8832882d223f,242a3da1740f1ad255208612e97f6011273f7df75f139403b3af7799dfda2961,license_or_notice,Leonardo_project_work_with_AI_assistance,3baf8b816d085f2e5d6238ae8dee8832882d223f,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
DATA_SOURCES_AND_ATTRIBUTION.md,current_tree,4b4a5a8b6674e536ca059aaffe112fcea2a1e357,b0e7d5b6ee87cfe4f16907f7315775ba3caa439b0e62f754d1e71477c770875c,documentation,Leonardo_project_work_with_AI_assistance,4b4a5a8b6674e536ca059aaffe112fcea2a1e357,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
LICENSE,current_tree,d645695673349e3947e8e5ae42332d0ac3164cd7,cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30,license_or_notice,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
LICENSE.md,current_tree,08077724b46b78747518ccdbcedf425f35b6c0e3,aea61da0186552bce49b000870e18a182a712d3603a051557dcd4b8bfde7f1d1,documentation,Leonardo_project_work_with_AI_assistance,08077724b46b78747518ccdbcedf425f35b6c0e3,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
LICENSES/CC-BY-4.0.txt,current_tree,4ea99c213c5c0c005ae4e80df8e52169d06896ec,9e5f1b3c610b9c2da5c313bf81d577a7d1acec686bdb0384edefa6df0f90cd94,license_or_notice,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
