category,poem_id,author,line_number,text,syllable_count,verse_type,observed,uncertain,uncertainty_reasons
metre_flagged,dante_i_a_ciascun_alma_presa_e_gentil_core,Dante Alighieri,4,"salute in lor segnor, cioè Amore.",10,,,True,dialefe_possible|hiatus_possible|sdrucciolo_possible
metre_flagged,dante_i_a_ciascun_alma_presa_e_gentil_core,Dante Alighieri,5,Già eran quasi che atterzate l'ore,10,,,True,dialefe_possible|hiatus_possible
metre_flagged,dante_i_a_ciascun_alma_presa_e_gentil_core,Dante Alighieri,8,cui essenza membrar mi dà orrore.,9,,,True,dialefe_possible|hiatus_possible|sdrucciolo_possible
metre_flagged,dante_i_a_ciascun_alma_presa_e_gentil_core,Dante Alighieri,10,"meo core in mano, e ne le braccia avea",12,,,True,synaeresis_possible|sdrucciolo_possible
metre_flagged,dante_i_a_ciascun_alma_presa_e_gentil_core,Dante Alighieri,14,appresso gir lo ne vedea piangendo.,12,,,True,synaeresis_possible|sdrucciolo_possible
metre_flagged,dante_viii_cavalcando_l_altr_ier_per_un_cammin,Dante Alighieri,2,"pensoso de l'andar che mi sgradia,",10,,,True,hiatus_possible
metre_flagged,dante_viii_cavalcando_l_altr_ier_per_un_cammin,Dante Alighieri,3,trovai Amore in mezzo de la via,9,,,True,hiatus_possible
metre_flagged,dante_viii_cavalcando_l_altr_ier_per_un_cammin,Dante Alighieri,5,"Ne la sembianza mi parea meschino,",12,,,True,synaeresis_possible|sdrucciolo_possible
metre_flagged,dante_viii_cavalcando_l_altr_ier_per_un_cammin,Dante Alighieri,6,come avesse perduto segnoria;,10,,,True,hiatus_possible|sdrucciolo_possible
metre_flagged,dante_viii_cavalcando_l_altr_ier_per_un_cammin,Dante Alighieri,7,"e sospirando pensoso venia,",10,,,True,hiatus_possible
metre_flagged,dante_xvi_amore_e_l_cor_gentil_sono_una_cosa,Dante Alighieri,3,e così esser l'un sanza l'altro osa,10,,,True,dialefe_possible
metre_flagged,dante_xvi_amore_e_l_cor_gentil_sono_una_cosa,Dante Alighieri,5,"Falli natura quand'è amorosa,",10,,,True,dialefe_possible|hiatus_possible|sdrucciolo_possible
